ID,shopposition,vipLv,refreshTime,timeawardcontentshop,awardcontentshop1,awardcontentshop2,awardcontentshop3,awardcontentshop4,awardcontentshop5,awardcontentshop6,awardcontentshop7,awardcontentshop8,awardcontentshop9,awardcontentshop10,awardcontentshop11,awardcontentshop12,awardcontentshop13,awardcontentshop14,awardcontentshop15,awardcontentshop16,awardcontentshop17,awardcontentshop18,awardcontentshop19,awardcontentshop20
260500,6,5,6,260500,260501,260502,260503,260504,260505,260506,260507,260508,260509,260510,260511,260512,260513,260514,260515,260516,260517,260518,260519,260520
261000,6,10,6,261000,261001,261002,261003,261004,261005,261006,261007,261008,261009,261010,261011,261012,261013,261014,261015,261016,261017,261018,261019,261020
261500,6,15,6,261500,261501,261502,261503,261504,261505,261506,261507,261508,261509,261510,261511,261512,261513,261514,261515,261516,261517,261518,261519,261520
270000,7,0,6,270000,270001,270002,270003,270004,270005,270006,270007,270008,270009,270010,270011,270012,270013,270014,270015,270016,270017,270018,270019,270020
270500,7,5,6,270500,270501,270502,270503,270504,270505,270506,270507,270508,270509,270510,270511,270512,270513,270514,270515,270516,270517,270518,270519,270520
271000,7,10,6,271000,271001,271002,271003,271004,271005,271006,271007,271008,271009,271010,271011,271012,271013,271014,271015,271016,271017,271018,271019,271020
271500,7,15,6,271500,271501,271502,271503,271504,271505,271506,271507,271508,271509,271510,271511,271512,271513,271514,271515,271516,271517,271518,271519,271520
280000,8,0,6,280000,280001,280002,280003,280004,280005,280006,280007,280008,280009,280010,280011,280012,280013,280014,280015,280016,280017,280018,280019,280020
280500,8,5,6,280500,280501,280502,280503,280504,280505,280506,280507,280508,280509,280510,280511,280512,280513,280514,280515,280516,280517,280518,280519,280520
281000,8,10,6,281000,281001,281002,281003,281004,281005,281006,281007,281008,281009,281010,281011,281012,281013,281014,281015,281016,281017,281018,281019,281020
281500,8,15,6,281500,281501,281502,281503,281504,281505,281506,281507,281508,281509,281510,281511,281512,281513,281514,281515,281516,281517,281518,281519,281520
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
