id,type,activitytype,neednum,name,icon,award1,award2,award3,begintime,endtime,daystart,dayend,lv,gold,month,viplv,time,taskid1,taskid2,taskid3,taskid4,cost
20103,2,,,,,12_1001_3,8_19_10,,,,,,,,7,3,,,,,,
20104,2,,,,,1_2_100,8_19_10,,,,,,,,7,,,,,,,
20105,2,,,,,8_19_10,8_19_10,,,,,,,,7,,,,,,,
20106,2,,,,,6_1_10,8_19_10,,,,,,,,7,,,,,,,
20107,2,,,,,8_9_20,8_19_10,,,,,,,,7,5,,,,,,
20108,2,,,,,1_1_50000,8_19_10,,,,,,,,7,,,,,,,
20109,2,,,,,1_6_1000,8_19_10,,,,,,,,7,,,,,,,
20110,2,,,,,12_1001_3,8_19_10,,,,,,,,7,3,,,,,,
20111,2,,,,,1_2_100,8_19_10,,,,,,,,7,,,,,,,
20112,2,,,,,8_19_10,8_19_10,,,,,,,,7,,,,,,,
20113,2,,,,,6_1_10,8_19_10,,,,,,,,7,,,,,,,
20114,2,,,,,8_9_20,8_19_10,,,,,,,,7,5,,,,,,
20115,2,,,,,1_1_50000,8_19_10,,,,,,,,7,,,,,,,
20116,2,,,,,1_6_1000,8_19_10,,,,,,,,7,,,,,,,
20117,2,,,,,12_1001_3,8_19_10,,,,,,,,7,3,,,,,,
20118,2,,,,,1_2_100,8_19_10,,,,,,,,7,,,,,,,
20119,2,,,,,8_19_10,8_19_10,,,,,,,,7,,,,,,,
20120,2,,,,,6_1_10,8_19_10,,,,,,,,7,,,,,,,
20121,2,,,,,8_9_20,8_19_10,,,,,,,,7,5,,,,,,
20122,2,,,,,1_1_50000,8_19_10,,,,,,,,7,,,,,,,
20123,2,,,,,1_6_1000,8_19_10,,,,,,,,7,,,,,,,
20124,2,,,,,12_1001_3,8_19_10,,,,,,,,7,3,,,,,,
20125,2,,,,,1_2_100,8_19_10,,,,,,,,7,,,,,,,
20126,2,,,,,8_19_10,8_19_10,,,,,,,,7,,,,,,,
20127,2,,,,,6_1_10,8_19_10,,,,,,,,7,,,,,,,
20128,2,,,,,8_9_20,8_19_10,,,,,,,,7,5,,,,,,
20201,2,,,,,1_1_50000,8_20_10,,,,,,,,8,,,,,,,
20202,2,,,,,1_6_1000,8_20_10,,,,,,,,8,,,,,,,
20203,2,,,,,12_1001_3,8_20_10,,,,,,,,8,3,,,,,,
20204,2,,,,,1_2_100,8_20_10,,,,,,,,8,,,,,,,
20205,2,,,,,8_20_10,8_20_10,,,,,,,,8,,,,,,,
20206,2,,,,,6_1_10,8_20_10,,,,,,,,8,,,,,,,
20207,2,,,,,8_10_20,8_20_10,,,,,,,,8,5,,,,,,
20208,2,,,,,1_1_50000,8_20_10,,,,,,,,8,,,,,,,
20209,2,,,,,1_6_1000,8_20_10,,,,,,,,8,,,,,,,
20210,2,,,,,12_1001_3,8_20_10,,,,,,,,8,3,,,,,,
20211,2,,,,,1_2_100,8_20_10,,,,,,,,8,,,,,,,
20212,2,,,,,8_20_10,8_20_10,,,,,,,,8,,,,,,,
20213,2,,,,,6_1_10,8_20_10,,,,,,,,8,,,,,,,
20214,2,,,,,8_10_20,8_20_10,,,,,,,,8,5,,,,,,
20215,2,,,,,1_1_50000,8_20_10,,,,,,,,8,,,,,,,
20216,2,,,,,1_6_1000,8_20_10,,,,,,,,8,,,,,,,
20217,2,,,,,12_1001_3,8_20_10,,,,,,,,8,3,,,,,,
20218,2,,,,,1_2_100,8_20_10,,,,,,,,8,,,,,,,
20219,2,,,,,8_20_10,8_20_10,,,,,,,,8,,,,,,,
20220,2,,,,,6_1_10,8_20_10,,,,,,,,8,,,,,,,
20221,2,,,,,8_10_20,8_20_10,,,,,,,,8,5,,,,,,
20222,2,,,,,1_1_50000,8_20_10,,,,,,,,8,,,,,,,
20223,2,,,,,1_6_1000,8_20_10,,,,,,,,8,,,,,,,
20224,2,,,,,12_1001_3,8_20_10,,,,,,,,8,3,,,,,,
20225,2,,,,,1_2_100,8_20_10,,,,,,,,8,,,,,,,
20226,2,,,,,8_20_10,8_20_10,,,,,,,,8,,,,,,,
20227,2,,,,,6_1_10,8_20_10,,,,,,,,8,,,,,,,
20228,2,,,,,8_10_20,8_20_10,,,,,,,,8,5,,,,,,
20301,2,,,,,1_1_50000,8_21_10,,,,,,,,9,,,,,,,
20302,2,,,,,1_6_1000,8_21_10,,,,,,,,9,,,,,,,
20303,2,,,,,12_1001_3,8_21_10,,,,,,,,9,3,,,,,,
20304,2,,,,,1_2_100,8_21_10,,,,,,,,9,,,,,,,
20305,2,,,,,8_21_10,8_21_10,,,,,,,,9,,,,,,,
20306,2,,,,,6_1_10,8_21_10,,,,,,,,9,,,,,,,
20307,2,,,,,8_11_20,8_21_10,,,,,,,,9,5,,,,,,
20308,2,,,,,1_1_50000,8_21_10,,,,,,,,9,,,,,,,
20309,2,,,,,1_6_1000,8_21_10,,,,,,,,9,,,,,,,
20310,2,,,,,12_1001_3,8_21_10,,,,,,,,9,3,,,,,,
20311,2,,,,,1_2_100,8_21_10,,,,,,,,9,,,,,,,
20312,2,,,,,8_21_10,8_21_10,,,,,,,,9,,,,,,,
20313,2,,,,,6_1_10,8_21_10,,,,,,,,9,,,,,,,
20314,2,,,,,8_11_20,8_21_10,,,,,,,,9,5,,,,,,
20315,2,,,,,1_1_50000,8_21_10,,,,,,,,9,,,,,,,
20316,2,,,,,1_6_1000,8_21_10,,,,,,,,9,,,,,,,
20317,2,,,,,12_1001_3,8_21_10,,,,,,,,9,3,,,,,,
20318,2,,,,,1_2_100,8_21_10,,,,,,,,9,,,,,,,
20319,2,,,,,8_21_10,8_21_10,,,,,,,,9,,,,,,,
20320,2,,,,,6_1_10,8_21_10,,,,,,,,9,,,,,,,
20321,2,,,,,8_11_20,8_21_10,,,,,,,,9,5,,,,,,
20322,2,,,,,1_1_50000,8_21_10,,,,,,,,9,,,,,,,
20323,2,,,,,1_6_1000,8_21_10,,,,,,,,9,,,,,,,
20324,2,,,,,12_1001_3,8_21_10,,,,,,,,9,3,,,,,,
20325,2,,,,,1_2_100,8_21_10,,,,,,,,9,,,,,,,
20326,2,,,,,8_21_10,8_21_10,,,,,,,,9,,,,,,,
20327,2,,,,,6_1_10,8_21_10,,,,,,,,9,,,,,,,
20328,2,,,,,8_11_20,8_21_10,,,,,,,,9,5,,,,,,
20401,2,,,,,1_1_50000,8_22_10,,,,,,,,10,,,,,,,
20402,2,,,,,1_6_1000,8_22_10,,,,,,,,10,,,,,,,
20403,2,,,,,12_1001_3,8_22_10,,,,,,,,10,3,,,,,,
20404,2,,,,,1_2_100,8_22_10,,,,,,,,10,,,,,,,
20405,2,,,,,8_22_10,8_22_10,,,,,,,,10,,,,,,,
20406,2,,,,,6_1_10,8_22_10,,,,,,,,10,,,,,,,
20407,2,,,,,8_13_20,8_22_10,,,,,,,,10,5,,,,,,
20408,2,,,,,1_1_50000,8_22_10,,,,,,,,10,,,,,,,
20409,2,,,,,1_6_1000,8_22_10,,,,,,,,10,,,,,,,
20410,2,,,,,12_1001_3,8_22_10,,,,,,,,10,3,,,,,,
20411,2,,,,,1_2_100,8_22_10,,,,,,,,10,,,,,,,
20412,2,,,,,8_22_10,8_22_10,,,,,,,,10,,,,,,,
20413,2,,,,,6_1_10,8_22_10,,,,,,,,10,,,,,,,
20414,2,,,,,8_13_20,8_22_10,,,,,,,,10,5,,,,,,
20415,2,,,,,1_1_50000,8_22_10,,,,,,,,10,,,,,,,
20416,2,,,,,1_6_1000,8_22_10,,,,,,,,10,,,,,,,
20417,2,,,,,12_1001_3,8_22_10,,,,,,,,10,3,,,,,,
20418,2,,,,,1_2_100,8_22_10,,,,,,,,10,,,,,,,
20419,2,,,,,8_22_10,8_22_10,,,,,,,,10,,,,,,,
20420,2,,,,,6_1_10,8_22_10,,,,,,,,10,,,,,,,
20421,2,,,,,8_13_20,8_22_10,,,,,,,,10,5,,,,,,
20422,2,,,,,1_1_50000,8_22_10,,,,,,,,10,,,,,,,
20423,2,,,,,1_6_1000,8_22_10,,,,,,,,10,,,,,,,
20424,2,,,,,12_1001_3,8_22_10,,,,,,,,10,3,,,,,,
20425,2,,,,,1_2_100,8_22_10,,,,,,,,10,,,,,,,
20426,2,,,,,8_22_10,8_22_10,,,,,,,,10,,,,,,,
20427,2,,,,,6_1_10,8_22_10,,,,,,,,10,,,,,,,
20428,2,,,,,8_13_20,8_22_10,,,,,,,,10,5,,,,,,
20501,2,,,,,1_1_50000,8_24_10,,,,,,,,11,,,,,,,
20502,2,,,,,1_6_1000,8_24_10,,,,,,,,11,,,,,,,
20503,2,,,,,12_1001_3,8_24_10,,,,,,,,11,3,,,,,,
20504,2,,,,,1_2_100,8_24_10,,,,,,,,11,,,,,,,
20505,2,,,,,8_24_10,8_24_10,,,,,,,,11,,,,,,,
20506,2,,,,,6_1_10,8_24_10,,,,,,,,11,,,,,,,
20507,2,,,,,8_14_20,8_24_10,,,,,,,,11,5,,,,,,
20508,2,,,,,1_1_50000,8_24_10,,,,,,,,11,,,,,,,
20509,2,,,,,1_6_1000,8_24_10,,,,,,,,11,,,,,,,
20510,2,,,,,12_1001_3,8_24_10,,,,,,,,11,3,,,,,,
20511,2,,,,,1_2_100,8_24_10,,,,,,,,11,,,,,,,
20512,2,,,,,8_24_10,8_24_10,,,,,,,,11,,,,,,,
20513,2,,,,,6_1_10,8_24_10,,,,,,,,11,,,,,,,
20514,2,,,,,8_14_20,8_24_10,,,,,,,,11,5,,,,,,
20515,2,,,,,1_1_50000,8_24_10,,,,,,,,11,,,,,,,
20516,2,,,,,1_6_1000,8_24_10,,,,,,,,11,,,,,,,
20517,2,,,,,12_1001_3,8_24_10,,,,,,,,11,3,,,,,,
20518,2,,,,,1_2_100,8_24_10,,,,,,,,11,,,,,,,
20519,2,,,,,8_24_10,8_24_10,,,,,,,,11,,,,,,,
20520,2,,,,,6_1_10,8_24_10,,,,,,,,11,,,,,,,
20521,2,,,,,8_14_20,8_24_10,,,,,,,,11,5,,,,,,
20522,2,,,,,1_1_50000,8_24_10,,,,,,,,11,,,,,,,
20523,2,,,,,1_6_1000,8_24_10,,,,,,,,11,,,,,,,
20524,2,,,,,12_1001_3,8_24_10,,,,,,,,11,3,,,,,,
20525,2,,,,,1_2_100,8_24_10,,,,,,,,11,,,,,,,
20526,2,,,,,8_24_10,8_24_10,,,,,,,,11,,,,,,,
20527,2,,,,,6_1_10,8_24_10,,,,,,,,11,,,,,,,
20528,2,,,,,8_14_20,8_24_10,,,,,,,,11,5,,,,,,
30001,3,,,在线累计10分钟,,8_5_10,,,,,,,,,,,600,,,,,
30002,3,,,在线累计30分钟,,6_1_10,1_1_20000,,,,,,,,,,1800,,,,,
30003,3,,,在线累计1小时,,8_1_20,1_1_20000,1_2_50,,,,,,,,,3600,,,,,
30004,3,,,在线累计2小时,,12_6001_3,1_1_20001,1_2_51,,,,,,,,,7200,,,,,
30005,3,,,在线累计3小时,,12_6001_3,1_1_20002,1_2_52,,,,,,,,,10800,,,,,
30006,3,,,在线累计4小时,,12_6001_3,1_1_20003,1_2_53,,,,,,,,,14400,,,,,
30007,3,,,在线累计5小时,,12_6001_3,1_1_20004,1_2_54,,,,,,,,,18000,,,,,
40001,4,,30,全服30人购买首充时,,12_6001_3,,,0,604800,,,,,,,,,,,,
40002,4,,100,全服100人购买首充时,,12_6001_3,,,0,604800,,,,,,,,,,,,
40003,4,,200,全服200人购买首充时,,12_6001_3,,,0,604800,,,,,,,,,,,,
40004,4,,300,全服300人购买首充时,,12_6001_3,,,0,604800,,,,,,,,,,,,
50001,5,,,登录第1天的奖励,#common_icon_rmb.png,12_6001_1,8_1_1,6_1_1,,,,,,,,,,,,,,
50002,5,,,登录第2天的奖励,#common_icon_rmb.png,12_5001_2,8_5_2,6_2_2,,,,,,,,,,,,,,
50003,5,,,登录第3天的奖励,#common_icon_rmb.png,12_4001_3,8_6_3,6_3_3,,,,,,,,,,,,,,
50004,5,,,登录第4天的奖励,#common_icon_rmb.png,12_3001_4,6_4_4,,,,,,,,,,,,,,,
50005,5,,,登录第5天的奖励,#common_icon_rmb.png,12_2001_5,6_5_5,,,,,,,,,,,,,,,
50006,5,,,登录第6天的奖励,#common_icon_rmb.png,12_1001_6,,,,,,,,,,,,,,,,
50007,5,,,登录第7天的奖励,#common_icon_rmb.png,12_6001_7,,,,,,,,,,,,,,,,
60001,6,,,奖励佣兵碎片1,,8_1_1,8_1_11,,,,,,,,,,86400,10001,10002,10003,10004,
60002,6,,,奖励佣兵碎片1,,8_1_2,8_1_12,,,,,,,,,,86400,20001,20002,20003,,
60003,6,,,奖励佣兵碎片1,,8_1_3,8_1_13,,,,,,,,,,86400,30001,30002,30003,,
60004,6,,,奖励佣兵碎片1,,8_1_4,8_1_14,,,,,,,,,,86400,40001,40002,40003,,
60005,6,,,奖励佣兵碎片1,,8_1_5,8_1_15,,,,,,,,,,86400,50001,50002,50003,,
60006,6,,,奖励佣兵碎片1,,8_1_6,8_1_16,,,,,,,,,,86400,60001,60002,60003,,
60007,6,,,奖励佣兵碎片1,,8_1_7,8_1_17,,,,,,,,,,86400,70001,70002,,,
70001,7,,,10点可领,,1_3_50,,,,,10,12,,,,,,,,,,50
70002,7,,,14点可领,,1_3_50,,,,,14,16,,,,,,,,,,50
70003,7,,,18点可领,,1_3_50,,,,,18,20,,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,,,,
