id,name,des,Res,quality,attr1,attr1value,attr2,attr2value,attr3,attr3value,power,combine1,count1,combine2,count2,combine3,count3,getpathId,,
4005,画虎,制笔名家所制的虎豪大楷，不易获得。,#servantEquip_4005.png,4,5,10,,,,,10,1005,4,1006,4,,,0,,
4006,金莲,寓意地涌金莲的装饰品，不易获得。,#servantEquip_4006.png,4,7,13,,,,,10,1006,4,1007,4,,,0,,
4007,招福,能招来财运的奇特摆件，不易获得。,#servantEquip_4007.png,4,23,9,,,,,9,1007,4,1008,4,,,0,,
4008,朝阳,绘有旭日东升图的象牙折扇，不易获得。,#servantEquip_4008.png,4,1,213,,,,,12,1008,4,1001,4,,,0,,
5001,青龙偃月,名匠打造的青龙偃月刀，不易获得。,#servantEquip_5001.png,4,4,14,,,,,14,1001,8,1002,8,,,0,,
5002,万象全书,诸多学者编著的古今图书之集大成者，不易获得。,#servantEquip_5002.png,4,3,26,,,,,13,1002,8,1003,8,,,0,,
5003,狮玺,翡翠打造的精品印鉴，不易获得。,#servantEquip_5003.png,4,1,199,,,,,11,1003,8,1004,8,,,0,,
5004,青衫流水,衣衫轻薄如雾，通透名贵，不易获得。,#servantEquip_5004.png,4,6,18,,,,,14,1004,8,1005,8,,,0,,
5005,山河社稷,绘有猫土山川河流的地图绘卷，不易获得。,#servantEquip_5005.png,4,5,14,,,,,14,1005,8,1006,8,,,0,,
5006,法华,象征佛家圆满、微妙无上的饰品，不易获得。,#servantEquip_5006.png,4,7,18,,,,,14,1006,8,1007,8,,,0,,
5007,如虎,勇者身份得象征，不易获得。,#servantEquip_5007.png,4,23,12,,,,,12,1007,8,1008,8,,,0,,
5008,清风,缂丝工艺制成的桐叶式宫扇，不易获得。,#servantEquip_5008.png,4,1,299,,,,,16,1008,8,1001,8,,,0,,
6001,火鸟,以火鸟造型为杖首的奇特拐杖，可遇不可求。,#servantEquip_6001.png,5,4,27,,,,,27,,,,,,,96001,,
6002,龙鸣钟,龙形浮雕环绕的青铜大钟，可遇不可求。,#servantEquip_6002.png,5,3,50,,,,,25,,,,,,,96002,,
6003,封魔,表面有神秘符印的青铜巨鼎，可遇不可求。,#servantEquip_6003.png,5,1,379,,,,,20,,,,,,,96003,,
6004,韵力核心,受神奇力量祝福的京剧猫装备，可遇不可求。,#servantEquip_6004.png,5,6,34,,,,,26,,,,,,,96004,,
6005,界玉,不知从而来的神奇玉石，可遇不可求。,#servantEquip_6005.png,5,5,27,,,,,27,,,,,,,96005,,
6006,新生,内含神秘力量的神奇果实，可遇不可求。,#servantEquip_6006.png,5,7,34,,,,,26,,,,,,,96006,,
6007,邪灵蛇像,会吸收混沌力量的奇怪蛇形石像，可遇不可求。,#servantEquip_6007.png,5,23,23,,,,,23,,,,,,,96007,,
6008,毛戏,手宗机关术所制的神奇道具，可遇不可求。,#servantEquip_6008.png,5,1,569,,,,,31,,,,,,,96008,,
