id,awardcontent,attackpower,HP,scorecost,res,,,
11292,11292101,26,122,21,#challenge_icon_event3.png,,,
11293,11293101,67,305,53,#challenge_icon_event3.png,,,
11301,11301101,0,0,10,#challenge_icon_event3.png,,,
11302,11302101,35,166,28,#challenge_icon_event3.png,,,
11303,11303101,89,415,71,#challenge_icon_event3.png,,,
20311,20311101,0,0,10,#challenge_icon_event3.png,,,
20312,20312101,37,176,30,#challenge_icon_event3.png,,,
20313,20313101,94,440,75,#challenge_icon_event3.png,,,
20321,20321101,0,0,10,#challenge_icon_event3.png,,,
20322,20322101,38,178,30,#challenge_icon_event3.png,,,
20323,20323101,95,445,76,#challenge_icon_event3.png,,,
20331,20331101,0,0,10,#challenge_icon_event4.png,,,
20332,20332101,38,180,30,#challenge_icon_event5.png,,,
20333,20333101,96,450,76,#challenge_icon_event6.png,,,
20341,20341101,0,0,10,#challenge_icon_event7.png,,,
20342,20342101,40,192,32,#challenge_icon_event8.png,,,
20343,20343101,102,480,81,#challenge_icon_event9.png,,,
20351,20351101,0,0,10,#challenge_icon_event10.png,,,
20352,20352101,49,236,39,#challenge_icon_event11.png,,,
20353,20353101,124,590,99,#challenge_icon_event12.png,,,
20361,20361101,0,0,10,#challenge_icon_event13.png,,,
20362,20362101,51,246,41,#challenge_icon_event14.png,,,
20363,20363101,129,615,103,#challenge_icon_event15.png,,,
20371,20371101,0,0,10,#challenge_icon_event16.png,,,
20372,20372101,62,298,49,#challenge_icon_event17.png,,,
20373,20373101,155,745,124,#challenge_icon_event18.png,,,
20381,20381101,0,0,10,#challenge_icon_event19.png,,,
20382,20382101,62,300,49,#challenge_icon_event20.png,,,
20383,20383101,156,750,124,#challenge_icon_event21.png,,,
20391,20391101,0,0,10,#challenge_icon_event22.png,,,
20392,20392101,64,312,51,#challenge_icon_event23.png,,,
20393,20393101,162,780,129,#challenge_icon_event24.png,,,
20401,20401101,0,0,10,#challenge_icon_event25.png,,,
20402,20402101,73,356,58,#challenge_icon_event26.png,,,
20403,20403101,184,890,147,#challenge_icon_event27.png,,,
20411,20411101,0,0,10,#challenge_icon_event28.png,,,
20412,20412101,75,366,60,#challenge_icon_event29.png,,,
20413,20413101,189,915,151,#challenge_icon_event30.png,,,
20421,20421101,0,0,10,#challenge_icon_event31.png,,,
20422,20422101,86,418,68,#challenge_icon_event32.png,,,
20423,20423101,215,1045,172,#challenge_icon_event33.png,,,
20431,20431101,0,0,10,#challenge_icon_event34.png,,,
20432,20432101,94,460,75,#challenge_icon_event35.png,,,
20433,20433101,236,1150,188,#challenge_icon_event36.png,,,
20441,20441101,0,0,10,#challenge_icon_event37.png,,,
20442,20442101,96,472,77,#challenge_icon_event38.png,,,
20443,20443101,242,1180,193,#challenge_icon_event39.png,,,
20451,20451101,0,0,10,#challenge_icon_event40.png,,,
20452,20452101,105,516,84,#challenge_icon_event41.png,,,
20453,20453101,264,1290,211,#challenge_icon_event42.png,,,
20461,20461101,0,0,10,#challenge_icon_event43.png,,,
20462,20462101,107,526,86,#challenge_icon_event44.png,,,
20463,20463101,269,1315,215,#challenge_icon_event45.png,,,
20471,20471101,0,0,10,#challenge_icon_event46.png,,,
20472,20472101,118,578,94,#challenge_icon_event47.png,,,
20473,20473101,295,1445,236,#challenge_icon_event48.png,,,
20481,20481101,0,0,10,#challenge_icon_event49.png,,,
20482,20482101,126,620,101,#challenge_icon_event50.png,,,
20483,20483101,316,1550,252,#challenge_icon_event51.png,,,
20491,20491101,0,0,10,#challenge_icon_event52.png,,,
20492,20492101,128,632,103,#challenge_icon_event53.png,,,
20493,20493101,322,1580,257,#challenge_icon_event54.png,,,
20501,20501101,0,0,10,#challenge_icon_event55.png,,,
20502,20502101,147,726,118,#challenge_icon_event56.png,,,
20503,20503101,369,1815,295,#challenge_icon_event57.png,,,
20511,20511101,0,0,10,#challenge_icon_event58.png,,,
20512,20512101,149,736,119,#challenge_icon_event59.png,,,
20513,20513101,374,1840,299,#challenge_icon_event60.png,,,
20521,20521101,0,0,10,#challenge_icon_event61.png,,,
20522,20522101,160,788,128,#challenge_icon_event62.png,,,
20523,20523101,400,1970,320,#challenge_icon_event63.png,,,
20531,20531101,0,0,10,#challenge_icon_event64.png,,,
20532,20532101,168,830,134,#challenge_icon_event65.png,,,
20533,20533101,421,2075,336,#challenge_icon_event66.png,,,
20541,20541101,0,0,10,#challenge_icon_event67.png,,,
20542,20542101,170,842,136,#challenge_icon_event68.png,,,
20543,20543101,427,2105,341,#challenge_icon_event69.png,,,
20551,20551101,0,0,10,#challenge_icon_event70.png,,,
20552,20552101,189,936,151,#challenge_icon_event71.png,,,
20553,20553101,474,2340,379,#challenge_icon_event72.png,,,
20561,20561101,0,0,10,#challenge_icon_event73.png,,,
20562,20562101,203,1006,162,#challenge_icon_event74.png,,,
20563,20563101,509,2515,407,#challenge_icon_event75.png,,,
20571,20571101,0,0,10,#challenge_icon_event76.png,,,
20572,20572101,214,1058,171,#challenge_icon_event77.png,,,
20573,20573101,535,2645,428,#challenge_icon_event78.png,,,
20581,20581101,0,0,10,#challenge_icon_event79.png,,,
20582,20582101,222,1100,177,#challenge_icon_event80.png,,,
20583,20583101,556,2750,444,#challenge_icon_event81.png,,,
20591,20591101,0,0,10,#challenge_icon_event82.png,,,
20592,20592101,224,1112,179,#challenge_icon_event83.png,,,
20593,20593101,562,2780,449,#challenge_icon_event84.png,,,
20601,20601101,0,0,10,#challenge_icon_event85.png,,,
20602,20602101,243,1206,194,#challenge_icon_event86.png,,,
20603,20603101,609,3015,487,#challenge_icon_event87.png,,,
20611,20611101,0,0,10,#challenge_icon_event88.png,,,
20612,20612101,257,1276,206,#challenge_icon_event89.png,,,
20613,20613101,644,3190,515,#challenge_icon_event90.png,,,
20621,20621101,0,0,10,#challenge_icon_event91.png,,,
20622,20622101,282,1398,225,#challenge_icon_event92.png,,,
20623,20623101,705,3495,564,#challenge_icon_event93.png,,,
20631,20631101,0,0,10,#challenge_icon_event94.png,,,
20632,20632101,290,1440,232,#challenge_icon_event95.png,,,
20633,20633101,726,3600,580,#challenge_icon_event96.png,,,
20641,20641101,0,0,10,#challenge_icon_event97.png,,,
20642,20642101,292,1452,234,#challenge_icon_event98.png,,,
20643,20643101,732,3630,585,#challenge_icon_event99.png,,,
20651,20651101,0,0,10,#challenge_icon_event100.png,,,
20652,20652101,311,1546,249,#challenge_icon_event101.png,,,
20653,20653101,779,3865,623,#challenge_icon_event102.png,,,
20661,20661101,0,0,10,#challenge_icon_event103.png,,,
20662,20662101,325,1616,260,#challenge_icon_event104.png,,,
20663,20663101,814,4040,651,#challenge_icon_event105.png,,,
20671,20671101,0,0,10,#challenge_icon_event106.png,,,
20672,20672101,350,1738,280,#challenge_icon_event107.png,,,
20673,20673101,875,4345,700,#challenge_icon_event108.png,,,
20681,20681101,0,0,10,#challenge_icon_event109.png,,,
20682,20682101,358,1780,286,#challenge_icon_event110.png,,,
20683,20683101,896,4450,716,#challenge_icon_event111.png,,,
20691,20691101,0,0,10,#challenge_icon_event112.png,,,
20692,20692101,376,1872,301,#challenge_icon_event113.png,,,
20693,20693101,942,4680,753,#challenge_icon_event114.png,,,
20701,20701101,0,0,10,#challenge_icon_event115.png,,,
20702,20702101,395,1966,316,#challenge_icon_event116.png,,,
20703,20703101,989,4915,791,#challenge_icon_event117.png,,,
20711,20711101,0,0,10,#challenge_icon_event118.png,,,
20712,20712101,409,2036,327,#challenge_icon_event119.png,,,
20713,20713101,1024,5090,819,#challenge_icon_event120.png,,,
20721,20721101,0,0,10,#challenge_icon_event121.png,,,
20722,20722101,434,2158,347,#challenge_icon_event122.png,,,
20723,20723101,1085,5395,868,#challenge_icon_event123.png,,,
20731,20731101,0,0,10,#challenge_icon_event124.png,,,
20732,20732101,442,2200,353,#challenge_icon_event125.png,,,
20733,20733101,1106,5500,884,#challenge_icon_event126.png,,,
20741,20741101,0,0,10,#challenge_icon_event127.png,,,
20742,20742101,460,2292,368,#challenge_icon_event128.png,,,
20743,20743101,1152,5730,921,#challenge_icon_event129.png,,,
20751,20751101,0,0,10,#challenge_icon_event130.png,,,
20752,20752101,497,2476,398,#challenge_icon_event131.png,,,
20753,20753101,1244,6190,995,#challenge_icon_event132.png,,,
20761,20761101,0,0,10,#challenge_icon_event133.png,,,
20762,20762101,511,2546,409,#challenge_icon_event134.png,,,
20763,20763101,1279,6365,1023,#challenge_icon_event135.png,,,
20771,20771101,0,0,10,#challenge_icon_event136.png,,,
20772,20772101,536,2668,428,#challenge_icon_event137.png,,,
20773,20773101,1340,6670,1072,#challenge_icon_event138.png,,,
20781,20781101,0,0,10,#challenge_icon_event139.png,,,
20782,20782101,544,2710,435,#challenge_icon_event140.png,,,
20783,20783101,1361,6775,1088,#challenge_icon_event141.png,,,
20791,20791101,0,0,10,#challenge_icon_event142.png,,,
20792,20792101,562,2802,450,#challenge_icon_event143.png,,,
20793,20793101,1407,7005,1125,#challenge_icon_event144.png,,,
20801,20801101,0,0,10,#challenge_icon_event145.png,,,
20802,20802101,599,2986,479,#challenge_icon_event146.png,,,
20803,20803101,1499,7465,1199,#challenge_icon_event147.png,,,
20811,20811101,0,0,10,#challenge_icon_event148.png,,,
20812,20812101,633,3156,506,#challenge_icon_event149.png,,,
20813,20813101,1584,7890,1267,#challenge_icon_event150.png,,,
20821,20821101,0,0,10,#challenge_icon_event151.png,,,
20822,20822101,658,3278,526,#challenge_icon_event152.png,,,
20823,20823101,1645,8195,1316,#challenge_icon_event153.png,,,
20831,20831101,0,0,10,#challenge_icon_event154.png,,,
20832,20832101,666,3320,533,#challenge_icon_event155.png,,,
20833,20833101,1666,8300,1332,#challenge_icon_event156.png,,,
20841,20841101,0,0,10,#challenge_icon_event157.png,,,
20842,20842101,684,3412,547,#challenge_icon_event158.png,,,
20843,20843101,1712,8530,1369,#challenge_icon_event159.png,,,
20851,20851101,0,0,10,#challenge_icon_event160.png,,,
20852,20852101,721,3596,577,#challenge_icon_event161.png,,,
20853,20853101,1804,8990,1443,#challenge_icon_event162.png,,,
20861,20861101,0,0,10,#challenge_icon_event163.png,,,
20862,20862101,755,3766,604,#challenge_icon_event164.png,,,
20863,20863101,1889,9415,1511,#challenge_icon_event165.png,,,
20871,20871101,0,0,10,#challenge_icon_event166.png,,,
20872,20872101,780,3888,624,#challenge_icon_event167.png,,,
20873,20873101,1950,9720,1560,#challenge_icon_event168.png,,,
20881,20881101,0,0,10,#challenge_icon_event169.png,,,
20882,20882101,788,3930,630,#challenge_icon_event170.png,,,
20883,20883101,1971,9825,1576,#challenge_icon_event171.png,,,
20891,20891101,0,0,10,#challenge_icon_event172.png,,,
20892,20892101,806,4022,645,#challenge_icon_event173.png,,,
20893,20893101,2017,10055,1613,#challenge_icon_event174.png,,,
20901,20901101,0,0,10,#challenge_icon_event175.png,,,
20902,20902101,843,4206,674,#challenge_icon_event176.png,,,
20903,20903101,2109,10515,1687,#challenge_icon_event177.png,,,
30901,30901101,0,0,10,#challenge_icon_event178.png,,,
30902,30902101,843,4206,674,#challenge_icon_event179.png,,,
30903,30903101,2109,10515,1687,#challenge_icon_event180.png,,,
30911,30911101,0,0,10,#challenge_icon_event181.png,,,
30912,30912101,915,4566,732,#challenge_icon_event182.png,,,
30913,30913101,2289,11415,1831,#challenge_icon_event183.png,,,
30921,30921101,0,0,10,#challenge_icon_event184.png,,,
30922,30922101,940,4688,752,#challenge_icon_event185.png,,,
30923,30923101,2350,11720,1880,#challenge_icon_event186.png,,,
30931,30931101,0,0,10,#challenge_icon_event187.png,,,
30932,30932101,948,4730,758,#challenge_icon_event188.png,,,
30933,30933101,2371,11825,1896,#challenge_icon_event189.png,,,
30941,30941101,0,0,10,#challenge_icon_event190.png,,,
30942,30942101,966,4822,773,#challenge_icon_event191.png,,,
30943,30943101,2417,12055,1933,#challenge_icon_event192.png,,,
30951,30951101,0,0,10,#challenge_icon_event193.png,,,
30952,30952101,1003,5006,802,#challenge_icon_event194.png,,,
30953,30953101,2509,12515,2007,#challenge_icon_event195.png,,,
30961,30961101,0,0,10,#challenge_icon_event196.png,,,
30962,30962101,1075,5366,860,#challenge_icon_event197.png,,,
30963,30963101,2689,13415,2151,#challenge_icon_event198.png,,,
30971,30971101,0,0,10,#challenge_icon_event199.png,,,
30972,30972101,1100,5488,880,#challenge_icon_event200.png,,,
30973,30973101,2750,13720,2200,#challenge_icon_event201.png,,,
30981,30981101,0,0,10,#challenge_icon_event202.png,,,
30982,30982101,1108,5530,886,#challenge_icon_event203.png,,,
30983,30983101,2771,13825,2216,#challenge_icon_event204.png,,,
30991,30991101,0,0,10,#challenge_icon_event205.png,,,
30992,30992101,1126,5622,901,#challenge_icon_event206.png,,,
30993,30993101,2817,14055,2253,#challenge_icon_event207.png,,,
31001,31001101,0,0,10,#challenge_icon_event208.png,,,
31002,31002101,1163,5806,930,#challenge_icon_event209.png,,,
31003,31003101,2909,14515,2327,#challenge_icon_event210.png,,,
31011,31011101,0,0,10,#challenge_icon_event211.png,,,
31012,31012101,1235,6166,988,#challenge_icon_event212.png,,,
31013,31013101,3089,15415,2471,#challenge_icon_event213.png,,,
31021,31021101,0,0,10,#challenge_icon_event214.png,,,
31022,31022101,1260,6288,1008,#challenge_icon_event215.png,,,
31023,31023101,3150,15720,2520,#challenge_icon_event216.png,,,
31031,31031101,0,0,10,#challenge_icon_event217.png,,,
31032,31032101,1268,6330,1014,#challenge_icon_event218.png,,,
31033,31033101,3171,15825,2536,#challenge_icon_event219.png,,,
31041,31041101,0,0,10,#challenge_icon_event220.png,,,
31042,31042101,1286,6422,1029,#challenge_icon_event221.png,,,
31043,31043101,3217,16055,2573,#challenge_icon_event222.png,,,
31051,31051101,0,0,10,#challenge_icon_event223.png,,,
31052,31052101,1323,6606,1058,#challenge_icon_event224.png,,,
31053,31053101,3309,16515,2647,#challenge_icon_event225.png,,,
31061,31061101,0,0,10,#challenge_icon_event226.png,,,
31062,31062101,1395,6966,1116,#challenge_icon_event227.png,,,
31063,31063101,3489,17415,2791,#challenge_icon_event228.png,,,
31071,31071101,0,0,10,#challenge_icon_event229.png,,,
31072,31072101,1420,7088,1136,#challenge_icon_event230.png,,,
31073,31073101,3550,17720,2840,#challenge_icon_event231.png,,,
31081,31081101,0,0,10,#challenge_icon_event232.png,,,
31082,31082101,1428,7130,1142,#challenge_icon_event233.png,,,
31083,31083101,3571,17825,2856,#challenge_icon_event234.png,,,
31091,31091101,0,0,10,#challenge_icon_event235.png,,,
31092,31092101,1446,7222,1157,#challenge_icon_event236.png,,,
31093,31093101,3617,18055,2893,#challenge_icon_event237.png,,,
31101,31101101,0,0,10,#challenge_icon_event238.png,,,
31102,31102101,1483,7406,1186,#challenge_icon_event239.png,,,
31103,31103101,3709,18515,2967,#challenge_icon_event240.png,,,
31111,31111101,0,0,10,#challenge_icon_event241.png,,,
31112,31112101,1555,7766,1244,#challenge_icon_event242.png,,,
31113,31113101,3889,19415,3111,#challenge_icon_event243.png,,,
31121,31121101,0,0,10,#challenge_icon_event244.png,,,
31122,31122101,1580,7888,1264,#challenge_icon_event245.png,,,
31123,31123101,3950,19720,3160,#challenge_icon_event246.png,,,
31131,31131101,0,0,10,#challenge_icon_event247.png,,,
31132,31132101,1588,7930,1270,#challenge_icon_event248.png,,,
31133,31133101,3971,19825,3176,#challenge_icon_event249.png,,,
31141,31141101,0,0,10,#challenge_icon_event250.png,,,
31142,31142101,1606,8022,1285,#challenge_icon_event251.png,,,
31143,31143101,4017,20055,3213,#challenge_icon_event252.png,,,
31151,31151101,0,0,10,#challenge_icon_event253.png,,,
31152,31152101,1643,8206,1314,#challenge_icon_event254.png,,,
31153,31153101,4109,20515,3287,#challenge_icon_event255.png,,,
31161,31161101,0,0,10,#challenge_icon_event256.png,,,
31162,31162101,1715,8566,1372,#challenge_icon_event257.png,,,
31163,31163101,4289,21415,3431,#challenge_icon_event258.png,,,
31171,31171101,0,0,10,#challenge_icon_event259.png,,,
31172,31172101,1740,8688,1392,#challenge_icon_event260.png,,,
31173,31173101,4350,21720,3480,#challenge_icon_event261.png,,,
31181,31181101,0,0,10,#challenge_icon_event262.png,,,
31182,31182101,1748,8730,1398,#challenge_icon_event263.png,,,
31183,31183101,4371,21825,3496,#challenge_icon_event264.png,,,
31191,31191101,0,0,10,#challenge_icon_event265.png,,,
31192,31192101,1766,8822,1413,#challenge_icon_event266.png,,,
31193,31193101,4417,22055,3533,#challenge_icon_event267.png,,,
31201,31201101,0,0,10,#challenge_icon_event268.png,,,
31202,31202101,1803,9006,1442,#challenge_icon_event269.png,,,
31203,31203101,4509,22515,3607,#challenge_icon_event270.png,,,
31211,31211101,0,0,10,#challenge_icon_event271.png,,,
31212,31212101,1875,9366,1500,#challenge_icon_event272.png,,,
31213,31213101,4689,23415,3751,#challenge_icon_event273.png,,,
31221,31221101,0,0,10,#challenge_icon_event274.png,,,
31222,31222101,1900,9488,1520,#challenge_icon_event275.png,,,
31223,31223101,4750,23720,3800,#challenge_icon_event276.png,,,
31231,31231101,0,0,10,#challenge_icon_event277.png,,,
31232,31232101,1908,9530,1526,#challenge_icon_event278.png,,,
31233,31233101,4771,23825,3816,#challenge_icon_event279.png,,,
31241,31241101,0,0,10,#challenge_icon_event280.png,,,
31242,31242101,1926,9622,1541,#challenge_icon_event281.png,,,
31243,31243101,4817,24055,3853,#challenge_icon_event282.png,,,
31251,31251101,0,0,10,#challenge_icon_event283.png,,,
31252,31252101,1963,9806,1570,#challenge_icon_event284.png,,,
31253,31253101,4909,24515,3927,#challenge_icon_event285.png,,,
31261,31261101,0,0,10,#challenge_icon_event286.png,,,
31262,31262101,2035,10166,1628,#challenge_icon_event287.png,,,
31263,31263101,5089,25415,4071,#challenge_icon_event288.png,,,
31271,31271101,0,0,10,#challenge_icon_event289.png,,,
31272,31272101,2060,10288,1648,#challenge_icon_event290.png,,,
31273,31273101,5150,25720,4120,#challenge_icon_event291.png,,,
31281,31281101,0,0,10,#challenge_icon_event292.png,,,
31282,31282101,2068,10330,1654,#challenge_icon_event293.png,,,
31283,31283101,5171,25825,4136,#challenge_icon_event294.png,,,
31291,31291101,0,0,10,#challenge_icon_event295.png,,,
31292,31292101,2086,10422,1669,#challenge_icon_event296.png,,,
31293,31293101,5217,26055,4173,#challenge_icon_event297.png,,,
31301,31301101,0,0,10,#challenge_icon_event298.png,,,
31302,31302101,2123,10606,1698,#challenge_icon_event299.png,,,
31303,31303101,5309,26515,4247,#challenge_icon_event300.png,,,
31311,31311101,0,0,10,#challenge_icon_event301.png,,,
31312,31312101,2195,10966,1756,#challenge_icon_event302.png,,,
31313,31313101,5489,27415,4391,#challenge_icon_event303.png,,,
31321,31321101,0,0,10,#challenge_icon_event304.png,,,
31322,31322101,2220,11088,1776,#challenge_icon_event305.png,,,
31323,31323101,5550,27720,4440,#challenge_icon_event306.png,,,
31331,31331101,0,0,10,#challenge_icon_event307.png,,,
31332,31332101,2228,11130,1782,#challenge_icon_event308.png,,,
31333,31333101,5571,27825,4456,#challenge_icon_event309.png,,,
31341,31341101,0,0,10,#challenge_icon_event310.png,,,
31342,31342101,2246,11222,1797,#challenge_icon_event311.png,,,
31343,31343101,5617,28055,4493,#challenge_icon_event312.png,,,
31351,31351101,0,0,10,#challenge_icon_event313.png,,,
31352,31352101,2283,11406,1826,#challenge_icon_event314.png,,,
31353,31353101,5709,28515,4567,#challenge_icon_event315.png,,,
31361,31361101,0,0,10,#challenge_icon_event316.png,,,
31362,31362101,2355,11766,1884,#challenge_icon_event317.png,,,
31363,31363101,5889,29415,4711,#challenge_icon_event318.png,,,
31371,31371101,0,0,10,#challenge_icon_event319.png,,,
31372,31372101,2380,11888,1904,#challenge_icon_event320.png,,,
31373,31373101,5950,29720,4760,#challenge_icon_event321.png,,,
31381,31381101,0,0,10,#challenge_icon_event322.png,,,
31382,31382101,2388,11930,1910,#challenge_icon_event323.png,,,
31383,31383101,5971,29825,4776,#challenge_icon_event324.png,,,
31391,31391101,0,0,10,#challenge_icon_event325.png,,,
31392,31392101,2406,12022,1925,#challenge_icon_event326.png,,,
31393,31393101,6017,30055,4813,#challenge_icon_event327.png,,,
31401,31401101,0,0,10,#challenge_icon_event328.png,,,
31402,31402101,2443,12206,1954,#challenge_icon_event329.png,,,
31403,31403101,6109,30515,4887,#challenge_icon_event330.png,,,
31411,31411101,0,0,10,#challenge_icon_event331.png,,,
31412,31412101,2515,12566,2012,#challenge_icon_event332.png,,,
31413,31413101,6289,31415,5031,#challenge_icon_event333.png,,,
31421,31421101,0,0,10,#challenge_icon_event334.png,,,
31422,31422101,2540,12688,2032,#challenge_icon_event335.png,,,
31423,31423101,6350,31720,5080,#challenge_icon_event336.png,,,
31431,31431101,0,0,10,#challenge_icon_event337.png,,,
31432,31432101,2548,12730,2038,#challenge_icon_event338.png,,,
31433,31433101,6371,31825,5096,#challenge_icon_event339.png,,,
31441,31441101,0,0,10,#challenge_icon_event340.png,,,
31442,31442101,2566,12822,2053,#challenge_icon_event341.png,,,
31443,31443101,6417,32055,5133,#challenge_icon_event342.png,,,
31451,31451101,0,0,10,#challenge_icon_event343.png,,,
31452,31452101,2603,13006,2082,#challenge_icon_event344.png,,,
31453,31453101,6509,32515,5207,#challenge_icon_event345.png,,,
31461,31461101,0,0,10,#challenge_icon_event346.png,,,
31462,31462101,2675,13366,2140,#challenge_icon_event347.png,,,
31463,31463101,6689,33415,5351,#challenge_icon_event348.png,,,
31471,31471101,0,0,10,#challenge_icon_event349.png,,,
31472,31472101,2700,13488,2160,#challenge_icon_event350.png,,,
31473,31473101,6750,33720,5400,#challenge_icon_event351.png,,,
31481,31481101,0,0,10,#challenge_icon_event352.png,,,
31482,31482101,2708,13530,2166,#challenge_icon_event353.png,,,
31483,31483101,6771,33825,5416,#challenge_icon_event354.png,,,
31491,31491101,0,0,10,#challenge_icon_event355.png,,,
31492,31492101,2726,13622,2181,#challenge_icon_event356.png,,,
31493,31493101,6817,34055,5453,#challenge_icon_event357.png,,,
31501,31501101,0,0,10,#challenge_icon_event358.png,,,
31502,31502101,2763,13806,2210,#challenge_icon_event359.png,,,
31503,31503101,6909,34515,5527,#challenge_icon_event360.png,,,
31511,31511101,0,0,10,#challenge_icon_event361.png,,,
31512,31512101,2835,14166,2268,#challenge_icon_event362.png,,,
31513,31513101,7089,35415,5671,#challenge_icon_event363.png,,,
31521,31521101,0,0,10,#challenge_icon_event364.png,,,
31522,31522101,2860,14288,2288,#challenge_icon_event365.png,,,
31523,31523101,7150,35720,5720,#challenge_icon_event366.png,,,
31531,31531101,0,0,10,#challenge_icon_event367.png,,,
31532,31532101,2868,14330,2294,#challenge_icon_event368.png,,,
