id,name,titleIcon,desc,bgPicture,starAwardCount1,starAwardType1,starAwardContent1,starAwardshow1,starAwardCount2,starAwardType2,starAwardContent2,starAwardshow2,starAwardCount3,starAwardType3,starAwardContent3,starAwardshow3,,stageList,starTotalCount
110,潜入机巧城,#lang_stage_chapterName10.png,,#stageMap_05.png,12,1,1101,"(3,3,5);(1,2,30)",24,1,1102,"(11,1,50);(11,4001,20);(11,4002,20)",36,1,1103,"(1,1,50000);(1,2,50)",,11001;11002;11003;11004;11005;11006;11007;11008;11009;11010;11011;11012,36
111,雪山与冰雕,#lang_stage_chapterName11.png,,#stageMap_01.png,12,1,1111,"(3,3,5);(1,2,30)",24,1,1112,"(11,1,50);(11,5001,20);(11,5002,20)",36,1,1113,"(1,1,50000);(1,2,50)",,11101;11102;11103;11104;11105;11106;11107;11108;11109;11110;11111;11112,36
112,眼宗的解放,#lang_stage_chapterName12.png,,#stageMap_02.png,12,1,1121,"(3,3,5);(1,2,30)",24,1,1122,"(11,1,50);(11,5001,20);(11,5002,20)",36,1,1123,"(1,1,50000);(1,2,50)",,11201;11202;11203;11204;11205;11206;11207;11208;11209;11210;11211;11212,36
113,密林阴影,#lang_stage_chapterName13.png,,#stageMap_03.png,12,1,1131,"(3,3,5);(1,2,30)",24,1,1132,"(11,1,50);(11,6001,20);(11,6002,20)",36,1,1133,"(1,1,50000);(1,2,50)",,11301;11302;11303;11304;11305;11306;11307;11308;11309;11310;11311;11312,36
114,共同修炼,#lang_stage_chapterName14.png,,#stageMap_04.png,12,1,1141,"(3,3,5);(1,2,30)",24,1,1142,"(11,1,50);(11,6001,20);(11,6002,20)",36,1,1143,"(1,1,50000);(1,2,50)",,11401;11402;11403;11404;11405;11406;11407;11408;11409;11410;11411;11412,36
115,修炼的成果,#lang_stage_chapterName15.png,,#stageMap_05.png,12,1,1151,"(3,3,5);(1,2,30)",24,1,1152,"(11,1,50);(11,7001,20);(11,7002,20)",36,1,1153,"(1,1,50000);(1,2,50)",,11501;11502;11503;11504;11505;11506;11507;11508;11509;11510;11511;11512,36
116,幕后黑手,#lang_stage_chapterName16.png,,#stageMap_01.png,12,1,1161,"(3,3,5);(1,2,30)",24,1,1162,"(11,1,50);(11,7001,20);(11,7002,20)",36,1,1163,"(1,1,50000);(1,2,50)",,11601;11602;11603;11604;11605;11606;11607;11608;11609;11610;11611;11612,36
117,危机的重逢,#lang_stage_chapterName17.png,,#stageMap_02.png,12,1,1171,"(3,3,5);(1,2,30)",24,1,1172,"(11,1,50);(11,8001,20);(11,8002,20)",36,1,1173,"(1,1,50000);(1,2,50)",,11701;11702;11703;11704;11705;11706;11707;11708;11709;11710;11711;11712,36
118,破坏侵蚀,#lang_stage_chapterName18.png,,#stageMap_03.png,12,1,1181,"(3,3,5);(1,2,30)",24,1,1182,"(11,1,50);(11,8001,20);(11,8002,20)",36,1,1183,"(1,1,50000);(1,2,50)",,11801;11802;11803;11804;11805;11806;11807;11808;11809;11810;11811;11812,36
119,通向打宗,#lang_stage_chapterName19.png,,#stageMap_04.png,12,1,1191,"(3,3,5);(1,2,30)",24,1,1192,"(11,1,50);(11,8001,20);(11,8002,20)",36,1,1193,"(1,1,50000);(1,2,50)",,11901;11902;11903;11904;11905;11906;11907;11908;11909;11910;11911;11912,36
120,韵之证明,#lang_stage_chapterName20.png,,#stageMap_05.png,12,1,1201,"(3,3,5);(1,2,30)",24,1,1202,"(11,1,50);(11,8001,20);(11,8002,20)",36,1,1203,"(1,1,50000);(1,2,50)",,12001;12002;12003;12004;12005;12006;12007;12008;12009;12010;12011;12012,36
203,守护的心,#lang_stage_chapterName3.png,,#stageMap_03.png,12,1,2031,"(13,2051,1);(1,2,30)",24,1,2032,"(1,3,30);(1,1,50000)",36,1,2033,"(1,2,50);(10,1,20)",,20301;20302;20303;20304;20305;20306;20307;20308;20309;20310;20311;20312,36
204,分宗试炼,#lang_stage_chapterName4.png,,#stageMap_04.png,12,1,2041,"(13,2051,1);(1,2,30)",24,1,2042,"(1,3,30);(1,1,50000)",36,1,2043,"(1,2,50);(10,1,20)",,20401;20402;20403;20404;20405;20406;20407;20408;20409;20410;20411;20412,36
205,捍卫历史,#lang_stage_chapterName5.png,,#stageMap_05.png,12,1,2051,"(13,2051,1);(1,2,30)",24,1,2052,"(1,3,30);(1,1,50000)",36,1,2053,"(1,2,50);(10,1,20)",,20501;20502;20503;20504;20505;20506;20507;20508;20509;20510;20511;20512,36
206,少女的心结,#lang_stage_chapterName6.png,,#stageMap_01.png,12,1,2061,"(13,2553,1);(1,2,30)",24,1,2062,"(1,3,30);(1,1,50000)",36,1,2063,"(1,2,50);(10,1,20)",,20601;20602;20603;20604;20605;20606;20607;20608;20609;20610;20611;20612,36
207,探寻督宗,#lang_stage_chapterName7.png,,#stageMap_02.png,12,1,2071,"(13,3055,1);(1,2,30)",24,1,2072,"(1,3,30);(1,1,50000)",36,1,2073,"(1,2,50);(10,1,20)",,20701;20702;20703;20704;20705;20706;20707;20708;20709;20710;20711;20712,36
208,迷失的正义,#lang_stage_chapterName8.png,,#stageMap_03.png,12,1,2081,"(13,3551,1);(1,2,30)",24,1,2082,"(1,3,30);(1,1,50000)",36,1,2083,"(1,2,50);(10,1,20)",,20801;20802;20803;20804;20805;20806;20807;20808;20809;20810;20811;20812,36
209,执念的凶犯,#lang_stage_chapterName9.png,,#stageMap_04.png,12,1,2091,"(13,4053,1);(1,2,30)",24,1,2092,"(1,3,30);(1,1,50000)",36,1,2093,"(1,2,50);(10,1,20)",,20901;20902;20903;20904;20905;20906;20907;20908;20909;20910;20911;20912,36
210,潜入机巧城,#lang_stage_chapterName10.png,,#stageMap_05.png,12,1,2101,"(13,4555,1);(1,2,30)",24,1,2102,"(1,3,30);(1,1,50000)",36,1,2103,"(1,2,50);(10,1,20)",,21001;21002;21003;21004;21005;21006;21007;21008;21009;21010;21011;21012,36
211,雪山与冰雕,#lang_stage_chapterName11.png,,#stageMap_01.png,12,1,2111,"(13,5051,1);(1,2,30)",24,1,2112,"(1,3,30);(1,1,50000)",36,1,2113,"(1,2,50);(10,1,20)",,21101;21102;21103;21104;21105;21106;21107;21108;21109;21110;21111;21112,36
212,眼宗的解放,#lang_stage_chapterName12.png,,#stageMap_02.png,12,1,2121,"(13,5553,1);(1,2,30)",24,1,2122,"(1,3,30);(1,1,50000)",36,1,2123,"(1,2,50);(10,1,20)",,21201;21202;21203;21204;21205;21206;21207;21208;21209;21210;21211;21212,36
213,密林阴影,#lang_stage_chapterName13.png,,#stageMap_03.png,12,1,2131,"(13,6055,1);(1,2,30)",24,1,2132,"(1,3,30);(1,1,50000)",36,1,2133,"(1,2,50);(10,1,20)",,21301;21302;21303;21304;21305;21306;21307;21308;21309;21310;21311;21312,36
214,共同修炼,#lang_stage_chapterName14.png,,#stageMap_04.png,12,1,2141,"(13,6551,1);(1,2,30)",24,1,2142,"(1,3,30);(1,1,50000)",36,1,2143,"(1,2,50);(10,1,20)",,21401;21402;21403;21404;21405;21406;21407;21408;21409;21410;21411;21412,36
215,修炼的成果,#lang_stage_chapterName15.png,,#stageMap_05.png,12,1,2151,"(13,7053,1);(1,2,30)",24,1,2152,"(1,3,30);(1,1,50000)",36,1,2153,"(1,2,50);(10,1,20)",,21501;21502;21503;21504;21505;21506;21507;21508;21509;21510;21511;21512,36
216,幕后黑手,#lang_stage_chapterName16.png,,#stageMap_01.png,12,1,2161,"(13,7555,1);(1,2,30)",24,1,2162,"(1,3,30);(1,1,50000)",36,1,2163,"(1,2,50);(10,1,20)",,21601;21602;21603;21604;21605;21606;21607;21608;21609;21610;21611;21612,36
217,危机的重逢,#lang_stage_chapterName17.png,,#stageMap_02.png,12,1,2171,"(13,7555,1);(1,2,30)",24,1,2172,"(1,3,30);(1,1,50000)",36,1,2173,"(1,2,50);(10,1,20)",,21701;21702;21703;21704;21705;21706;21707;21708;21709;21710;21711;21712,36
218,破坏侵蚀,#lang_stage_chapterName18.png,,#stageMap_03.png,12,1,2181,"(13,7555,1);(1,2,30)",24,1,2182,"(1,3,30);(1,1,50000)",36,1,2183,"(1,2,50);(10,1,20)",,21801;21802;21803;21804;21805;21806;21807;21808;21809;21810;21811;21812,36
,,,,,,,,,,,,,,,,,,,
