VIPlevel,times,cost,gaincoin
12,30,30,35000
12,31,35,40000
12,32,35,40000
12,33,35,40000
12,34,35,40000
12,35,35,40000
12,36,40,45000
12,37,40,45000
12,38,40,45000
12,39,40,45000
12,40,40,45000
13,1,5,10000
13,2,5,10000
13,3,5,10000
13,4,5,10000
13,5,5,10000
13,6,10,15000
13,7,10,15000
13,8,10,15000
13,9,10,15000
13,10,10,15000
13,11,15,20000
13,12,15,20000
13,13,15,20000
13,14,15,20000
13,15,15,20000
13,16,20,25000
13,17,20,25000
13,18,20,25000
13,19,20,25000
13,20,20,25000
13,21,25,30000
13,22,25,30000
13,23,25,30000
13,24,25,30000
13,25,25,30000
13,26,30,35000
13,27,30,35000
13,28,30,35000
13,29,30,35000
13,30,30,35000
13,31,35,40000
13,32,35,40000
13,33,35,40000
13,34,35,40000
13,35,35,40000
13,36,40,45000
13,37,40,45000
13,38,40,45000
13,39,40,45000
13,40,40,45000
14,1,5,10000
14,2,5,10000
14,3,5,10000
14,4,5,10000
14,5,5,10000
14,6,10,15000
14,7,10,15000
14,8,10,15000
14,9,10,15000
14,10,10,15000
14,11,15,20000
14,12,15,20000
14,13,15,20000
14,14,15,20000
14,15,15,20000
14,16,20,25000
14,17,20,25000
14,18,20,25000
14,19,20,25000
14,20,20,25000
14,21,25,30000
14,22,25,30000
14,23,25,30000
14,24,25,30000
14,25,25,30000
14,26,30,35000
14,27,30,35000
14,28,30,35000
14,29,30,35000
14,30,30,35000
14,31,35,40000
14,32,35,40000
14,33,35,40000
14,34,35,40000
14,35,35,40000
14,36,40,45000
14,37,40,45000
14,38,40,45000
14,39,40,45000
14,40,40,45000
