id,name,res,attrType1,attrValue1,attrType2,attrValue2,attrType3,attrValue3,attrType4,attrValue4,attrType5,attrValue5,quality,combine1,amount1,combine2,amount2,combine3,amount3,combine4,amount4,power,getpathId,desc
154,坚韧之源,#hoarstone_icon_stoneEquip_12.png,3,84,25,30,,,,,,,5,113,12,114,12,112,6,,,63,0,提升84霸体、30韧性的符文本源
155,复苏之源,#hoarstone_icon_stoneEquip_1.png,10,71,25,30,,,,,,,5,114,10,115,10,111,10,,,163,0,提升71霸体回复、30韧性的符文本源
156,活力之源,#hoarstone_icon_stoneEquip_2.png,1,1018,25,30,,,,,,,5,115,10,116,20,,,,,76,0,提升1018生命、30韧性的符文本源
211,生命碎片2,#hoarstone_icon_stoneEquip_3.png,1,135,,,,,,,,,1,,,,,,,,,7,16211,提升135生命的符文碎片
212,狂暴碎片2,#hoarstone_icon_stoneEquip_4.png,23,4,,,,,,,,,1,,,,,,,,,4,16212,提升4暴击率的符文碎片
213,能量碎片2,#hoarstone_icon_stoneEquip_5.png,3,6,,,,,,,,,1,,,,,,,,,3,16213,提升6霸体的符文碎片
214,坚韧碎片2,#hoarstone_icon_stoneEquip_6.png,25,3,,,,,,,,,1,,,,,,,,,2,16214,提升3韧性的符文碎片
215,复苏碎片2,#hoarstone_icon_stoneEquip_7.png,10,8,,,,,,,,,1,,,,,,,,,16,16215,提升8霸体回复的符文碎片
216,活力碎片2,#hoarstone_icon_stoneEquip_8.png,1,111,,,,,,,,,1,,,,,,,,,6,16216,提升111生命的符文碎片
221,生命符文,#hoarstone_icon_stoneEquip_9.png,1,185,,,,,,,,,2,211,1,214,1,,,,,10,0,提升185生命的符文
222,狂暴符文,#hoarstone_icon_stoneEquip_10.png,23,6,,,,,,,,,2,212,1,215,1,,,,,6,0,提升6暴击率的符文
223,能量符文,#hoarstone_icon_stoneEquip_11.png,3,10,,,,,,,,,2,213,1,216,1,,,,,5,0,提升10霸体的符文
224,坚韧符文,#hoarstone_icon_stoneEquip_12.png,25,5,,,,,,,,,2,214,3,,,,,,,4,0,提升5韧性的符文
225,复苏符文,#hoarstone_icon_stoneEquip_1.png,10,13,,,,,,,,,2,215,3,,,,,,,26,0,提升13霸体回复的符文
226,活力符文,#hoarstone_icon_stoneEquip_2.png,1,185,,,,,,,,,2,216,3,,,,,,,10,0,提升185生命的符文
227,无面符文,#hoarstone_icon_stoneEquip_3.png,1,0,,,,,,,,,2,211,3,,,,,,,0,0,提升0生命的符文
228,无面符文,#hoarstone_icon_stoneEquip_4.png,1,0,,,,,,,,,2,212,3,,,,,,,0,0,提升0生命的符文
229,无面符文,#hoarstone_icon_stoneEquip_5.png,1,0,,,,,,,,,2,213,3,,,,,,,0,0,提升0生命的符文
231,狂暴精华,#hoarstone_icon_stoneEquip_6.png,1,370,23,12,,,,,,,3,211,3,212,3,,,,,32,0,提升370生命、12暴击率的符文精华
232,活力精华,#hoarstone_icon_stoneEquip_7.png,1,370,3,20,,,,,,,3,211,3,213,3,,,,,30,0,提升370生命、20霸体的符文精华
233,坚韧精华,#hoarstone_icon_stoneEquip_8.png,1,370,25,11,,,,,,,3,216,3,214,3,,,,,28,0,提升370生命、11韧性的符文精华
241,生命精华,#hoarstone_icon_stoneEquip_9.png,1,617,,,,,,,,,4,211,5,214,5,215,5,,,33,0,提升617生命的符文精华
242,能量精华,#hoarstone_icon_stoneEquip_10.png,3,34,,,,,,,,,4,212,5,213,5,216,5,,,17,0,提升34霸体的符文精华
251,生命核心,#hoarstone_icon_stoneEquip_11.png,1,1021,23,33,,,,,,,5,211,10,212,10,214,10,,,88,0,提升1021生命、33暴击率的符文核心
252,狂暴核心,#hoarstone_icon_stoneEquip_12.png,3,87,23,33,,,,,,,5,212,10,213,10,216,10,,,77,0,提升87霸体、33暴击率的符文核心
253,能量核心,#hoarstone_icon_stoneEquip_1.png,1,1042,3,54,,,,,,,5,211,10,213,10,215,10,,,83,0,提升1042生命、54霸体的符文核心
254,坚韧之源,#hoarstone_icon_stoneEquip_2.png,3,84,25,30,,,,,,,5,213,12,214,12,212,6,,,63,0,提升84霸体、30韧性的符文本源
255,复苏之源,#hoarstone_icon_stoneEquip_3.png,10,71,25,30,,,,,,,5,214,10,215,10,211,10,,,163,0,提升71霸体回复、30韧性的符文本源
256,活力之源,#hoarstone_icon_stoneEquip_4.png,1,1018,25,30,,,,,,,5,215,10,216,20,,,,,76,0,提升1018生命、30韧性的符文本源
311,生命碎片3,#hoarstone_icon_stoneEquip_5.png,1,135,,,,,,,,,1,,,,,,,,,7,16311,提升135生命的符文碎片
312,狂暴碎片3,#hoarstone_icon_stoneEquip_6.png,23,4,,,,,,,,,1,,,,,,,,,4,16312,提升4暴击率的符文碎片
313,能量碎片3,#hoarstone_icon_stoneEquip_7.png,3,6,,,,,,,,,1,,,,,,,,,3,16313,提升6霸体的符文碎片
314,坚韧碎片3,#hoarstone_icon_stoneEquip_8.png,25,3,,,,,,,,,1,,,,,,,,,2,16314,提升3韧性的符文碎片
315,复苏碎片3,#hoarstone_icon_stoneEquip_9.png,10,8,,,,,,,,,1,,,,,,,,,16,16315,提升8霸体回复的符文碎片
316,活力碎片3,#hoarstone_icon_stoneEquip_10.png,1,111,,,,,,,,,1,,,,,,,,,6,16316,提升111生命的符文碎片
321,生命符文,#hoarstone_icon_stoneEquip_11.png,1,185,,,,,,,,,2,311,1,314,1,,,,,10,0,提升185生命的符文
322,狂暴符文,#hoarstone_icon_stoneEquip_12.png,23,6,,,,,,,,,2,312,1,315,1,,,,,6,0,提升6暴击率的符文
323,能量符文,#hoarstone_icon_stoneEquip_1.png,3,10,,,,,,,,,2,313,1,316,1,,,,,5,0,提升10霸体的符文
324,坚韧符文,#hoarstone_icon_stoneEquip_2.png,25,5,,,,,,,,,2,314,3,,,,,,,4,0,提升5韧性的符文
325,复苏符文,#hoarstone_icon_stoneEquip_3.png,10,13,,,,,,,,,2,315,3,,,,,,,26,0,提升13霸体回复的符文
326,活力符文,#hoarstone_icon_stoneEquip_4.png,1,185,,,,,,,,,2,316,3,,,,,,,10,0,提升185生命的符文
327,无面符文,#hoarstone_icon_stoneEquip_5.png,1,0,,,,,,,,,2,311,3,,,,,,,0,0,提升0生命的符文
328,无面符文,#hoarstone_icon_stoneEquip_6.png,1,0,,,,,,,,,2,312,3,,,,,,,0,0,提升0生命的符文
329,无面符文,#hoarstone_icon_stoneEquip_7.png,1,0,,,,,,,,,2,313,3,,,,,,,0,0,提升0生命的符文
331,狂暴精华,#hoarstone_icon_stoneEquip_8.png,1,370,23,12,,,,,,,3,311,3,312,3,,,,,32,0,提升370生命、12暴击率的符文精华
332,活力精华,#hoarstone_icon_stoneEquip_9.png,1,370,3,20,,,,,,,3,311,3,313,3,,,,,30,0,提升370生命、20霸体的符文精华
333,坚韧精华,#hoarstone_icon_stoneEquip_10.png,1,370,25,11,,,,,,,3,316,3,314,3,,,,,28,0,提升370生命、11韧性的符文精华
341,生命精华,#hoarstone_icon_stoneEquip_11.png,1,617,,,,,,,,,4,311,5,314,5,315,5,,,33,0,提升617生命的符文精华
342,能量精华,#hoarstone_icon_stoneEquip_12.png,3,34,,,,,,,,,4,312,5,313,5,316,5,,,17,0,提升34霸体的符文精华
351,生命核心,#hoarstone_icon_stoneEquip_1.png,1,1021,23,33,,,,,,,5,311,10,312,10,314,10,,,88,0,提升1021生命、33暴击率的符文核心
352,狂暴核心,#hoarstone_icon_stoneEquip_2.png,3,87,23,33,,,,,,,5,312,10,313,10,316,10,,,77,0,提升87霸体、33暴击率的符文核心
353,能量核心,#hoarstone_icon_stoneEquip_3.png,1,1042,3,54,,,,,,,5,311,10,313,10,315,10,,,83,0,提升1042生命、54霸体的符文核心
354,坚韧之源,#hoarstone_icon_stoneEquip_4.png,3,84,25,30,,,,,,,5,313,12,314,12,312,6,,,63,0,提升84霸体、30韧性的符文本源
355,复苏之源,#hoarstone_icon_stoneEquip_5.png,10,71,25,30,,,,,,,5,314,10,315,10,311,10,,,163,0,提升71霸体、回复30韧性的符文本源
356,活力之源,#hoarstone_icon_stoneEquip_6.png,1,1018,25,30,,,,,,,5,315,10,316,20,,,,,76,0,提升1018生命、30韧性的符文本源
411,生命碎片4,#hoarstone_icon_stoneEquip_7.png,1,135,,,,,,,,,1,,,,,,,,,7,16411,提升135生命的符文碎片
412,狂暴碎片4,#hoarstone_icon_stoneEquip_8.png,23,4,,,,,,,,,1,,,,,,,,,4,16412,提升4暴击率的符文碎片
413,能量碎片4,#hoarstone_icon_stoneEquip_9.png,3,6,,,,,,,,,1,,,,,,,,,3,16413,提升6霸体的符文碎片
414,坚韧碎片4,#hoarstone_icon_stoneEquip_10.png,25,3,,,,,,,,,1,,,,,,,,,2,16414,提升3韧性的符文碎片
415,复苏碎片4,#hoarstone_icon_stoneEquip_11.png,10,8,,,,,,,,,1,,,,,,,,,16,16415,提升8霸体回复的符文碎片
416,活力碎片4,#hoarstone_icon_stoneEquip_12.png,1,111,,,,,,,,,1,,,,,,,,,6,16416,提升111生命的符文碎片
421,生命符文,#hoarstone_icon_stoneEquip_1.png,1,185,,,,,,,,,2,411,1,414,1,,,,,10,0,提升185生命的符文
422,狂暴符文,#hoarstone_icon_stoneEquip_2.png,23,6,,,,,,,,,2,412,1,415,1,,,,,6,0,提升6暴击率的符文
423,能量符文,#hoarstone_icon_stoneEquip_3.png,3,10,,,,,,,,,2,413,1,416,1,,,,,5,0,提升10霸体的符文
424,坚韧符文,#hoarstone_icon_stoneEquip_4.png,25,5,,,,,,,,,2,414,3,,,,,,,4,0,提升5韧性的符文
425,复苏符文,#hoarstone_icon_stoneEquip_5.png,10,13,,,,,,,,,2,415,3,,,,,,,26,0,提升13霸体回复的符文
426,活力符文,#hoarstone_icon_stoneEquip_6.png,1,185,,,,,,,,,2,416,3,,,,,,,10,0,提升185生命的符文
427,无面符文,#hoarstone_icon_stoneEquip_7.png,1,0,,,,,,,,,2,411,3,,,,,,,0,0,提升0生命的符文
428,无面符文,#hoarstone_icon_stoneEquip_8.png,1,0,,,,,,,,,2,412,3,,,,,,,0,0,提升0生命的符文
429,无面符文,#hoarstone_icon_stoneEquip_9.png,1,0,,,,,,,,,2,413,3,,,,,,,0,0,提升0生命的符文
431,狂暴精华,#hoarstone_icon_stoneEquip_10.png,1,370,23,12,,,,,,,3,411,3,412,3,,,,,32,0,提升370生命、12暴击率的符文精华
432,活力精华,#hoarstone_icon_stoneEquip_11.png,1,370,3,20,,,,,,,3,411,3,413,3,,,,,30,0,提升370生命、20霸体的符文精华
433,坚韧精华,#hoarstone_icon_stoneEquip_12.png,1,370,25,11,,,,,,,3,416,3,414,3,,,,,28,0,提升370生命、11韧性的符文精华
441,生命精华,#hoarstone_icon_stoneEquip_1.png,1,617,,,,,,,,,4,411,5,414,5,415,5,,,33,0,提升617生命的符文精华
442,能量精华,#hoarstone_icon_stoneEquip_2.png,3,34,,,,,,,,,4,412,5,413,5,416,5,,,17,0,提升34霸体的符文精华
451,生命核心,#hoarstone_icon_stoneEquip_3.png,1,1021,23,33,,,,,,,5,411,10,412,10,414,10,,,88,0,提升1021生命、33暴击率的符文核心
452,狂暴核心,#hoarstone_icon_stoneEquip_4.png,3,87,23,33,,,,,,,5,412,10,413,10,416,10,,,77,0,提升87霸体、33暴击率的符文核心
453,能量核心,#hoarstone_icon_stoneEquip_5.png,1,1042,3,54,,,,,,,5,411,10,413,10,415,10,,,83,0,提升1042生命、54霸体的符文核心
454,坚韧之源,#hoarstone_icon_stoneEquip_6.png,3,84,25,30,,,,,,,5,413,12,414,12,412,6,,,63,0,提升84霸体、30韧性的符文本源
455,复苏之源,#hoarstone_icon_stoneEquip_7.png,10,71,25,30,,,,,,,5,414,10,415,10,411,10,,,163,0,提升71霸体回复、30韧性的符文本源
456,活力之源,#hoarstone_icon_stoneEquip_8.png,1,1018,25,30,,,,,,,5,415,10,416,20,,,,,76,0,提升1018生命、30韧性的符文本源
511,生命碎片5,#hoarstone_icon_stoneEquip_9.png,1,135,,,,,,,,,1,,,,,,,,,7,16511,提升135生命的符文碎片
512,狂暴碎片5,#hoarstone_icon_stoneEquip_10.png,23,4,,,,,,,,,1,,,,,,,,,4,16512,提升4暴击率的符文碎片
513,能量碎片5,#hoarstone_icon_stoneEquip_11.png,3,6,,,,,,,,,1,,,,,,,,,3,16513,提升6霸体的符文碎片
514,坚韧碎片5,#hoarstone_icon_stoneEquip_12.png,25,3,,,,,,,,,1,,,,,,,,,2,16514,提升3韧性的符文碎片
515,复苏碎片5,#hoarstone_icon_stoneEquip_1.png,10,8,,,,,,,,,1,,,,,,,,,16,16515,提升8霸体回复的符文碎片
516,活力碎片5,#hoarstone_icon_stoneEquip_2.png,1,111,,,,,,,,,1,,,,,,,,,6,16516,提升111生命的符文碎片
521,生命符文,#hoarstone_icon_stoneEquip_3.png,1,185,,,,,,,,,2,511,1,514,1,,,,,10,0,提升185生命的符文
522,狂暴符文,#hoarstone_icon_stoneEquip_4.png,23,6,,,,,,,,,2,512,1,515,1,,,,,6,0,提升6暴击率的符文
523,能量符文,#hoarstone_icon_stoneEquip_5.png,3,10,,,,,,,,,2,513,1,516,1,,,,,5,0,提升10霸体的符文
524,坚韧符文,#hoarstone_icon_stoneEquip_6.png,25,5,,,,,,,,,2,514,3,,,,,,,4,0,提升5韧性的符文
525,复苏符文,#hoarstone_icon_stoneEquip_7.png,10,13,,,,,,,,,2,515,3,,,,,,,26,0,提升13霸体回复的符文
526,活力符文,#hoarstone_icon_stoneEquip_8.png,1,185,,,,,,,,,2,516,3,,,,,,,10,0,提升185生命的符文
527,无面符文,#hoarstone_icon_stoneEquip_9.png,1,0,,,,,,,,,2,511,3,,,,,,,0,0,提升0生命的符文
528,无面符文,#hoarstone_icon_stoneEquip_10.png,1,0,,,,,,,,,2,512,3,,,,,,,0,0,提升0生命的符文
529,无面符文,#hoarstone_icon_stoneEquip_11.png,1,0,,,,,,,,,2,513,3,,,,,,,0,0,提升0生命的符文
531,狂暴精华,#hoarstone_icon_stoneEquip_12.png,1,370,23,12,,,,,,,3,511,3,512,3,,,,,32,0,提升370生命、12暴击率的符文精华
532,活力精华,#hoarstone_icon_stoneEquip_1.png,1,370,3,20,,,,,,,3,511,3,513,3,,,,,30,0,提升370生命、20霸体的符文精华
533,坚韧精华,#hoarstone_icon_stoneEquip_2.png,1,370,25,11,,,,,,,3,516,3,514,3,,,,,28,0,提升370生命、11韧性的符文精华
541,生命精华,#hoarstone_icon_stoneEquip_3.png,1,617,,,,,,,,,4,511,5,514,5,515,5,,,33,0,提升617生命、的符文精华
542,能量精华,#hoarstone_icon_stoneEquip_4.png,3,34,,,,,,,,,4,512,5,513,5,516,5,,,17,0,提升34霸体的符文精华
551,生命核心,#hoarstone_icon_stoneEquip_5.png,1,1021,23,33,,,,,,,5,511,10,512,10,514,10,,,88,0,提升1021生命、33暴击率的符文核心
552,狂暴核心,#hoarstone_icon_stoneEquip_6.png,3,87,23,33,,,,,,,5,512,10,513,10,516,10,,,77,0,提升87霸体、33暴击率的符文核心
553,能量核心,#hoarstone_icon_stoneEquip_7.png,1,1042,3,54,,,,,,,5,511,10,513,10,515,10,,,83,0,提升1042生命、54霸体的符文核心
554,坚韧之源,#hoarstone_icon_stoneEquip_8.png,3,84,25,30,,,,,,,5,513,12,514,12,512,6,,,63,0,提升84霸体、30韧性的符文本源
555,复苏之源,#hoarstone_icon_stoneEquip_9.png,10,71,25,30,,,,,,,5,514,10,515,10,511,10,,,163,0,提升71霸体回复、30韧性的符文本源
556,活力之源,#hoarstone_icon_stoneEquip_10.png,1,1018,25,30,,,,,,,5,515,10,516,20,,,,,76,0,提升1018生命、30韧性的符文本源
611,生命碎片6,#hoarstone_icon_stoneEquip_11.png,1,135,,,,,,,,,1,,,,,,,,,7,16611,提升135生命的符文碎片
612,狂暴碎片6,#hoarstone_icon_stoneEquip_12.png,23,4,,,,,,,,,1,,,,,,,,,4,16612,提升4暴击率的符文碎片
613,能量碎片6,#hoarstone_icon_stoneEquip_1.png,3,6,,,,,,,,,1,,,,,,,,,3,16613,提升6霸体的符文碎片
614,坚韧碎片6,#hoarstone_icon_stoneEquip_2.png,25,3,,,,,,,,,1,,,,,,,,,2,16614,提升3韧性的符文碎片
615,复苏碎片6,#hoarstone_icon_stoneEquip_3.png,10,8,,,,,,,,,1,,,,,,,,,16,16615,提升8霸体回复的符文碎片
616,活力碎片6,#hoarstone_icon_stoneEquip_4.png,1,111,,,,,,,,,1,,,,,,,,,6,16616,提升111生命的符文碎片
621,生命符文,#hoarstone_icon_stoneEquip_5.png,1,185,,,,,,,,,2,611,1,614,1,,,,,10,0,提升185生命的符文
622,狂暴符文,#hoarstone_icon_stoneEquip_6.png,23,6,,,,,,,,,2,612,1,615,1,,,,,6,0,提升6暴击率的符文
623,能量符文,#hoarstone_icon_stoneEquip_7.png,3,10,,,,,,,,,2,613,1,616,1,,,,,5,0,提升10霸体的符文
624,坚韧符文,#hoarstone_icon_stoneEquip_8.png,25,5,,,,,,,,,2,614,3,,,,,,,4,0,提升5韧性的符文
625,复苏符文,#hoarstone_icon_stoneEquip_9.png,10,13,,,,,,,,,2,615,3,,,,,,,26,0,提升13霸体回复的符文
626,活力符文,#hoarstone_icon_stoneEquip_10.png,1,185,,,,,,,,,2,616,3,,,,,,,10,0,提升185生命的符文
627,无面符文,#hoarstone_icon_stoneEquip_11.png,1,0,,,,,,,,,2,611,3,,,,,,,0,0,提升0生命的符文
628,无面符文,#hoarstone_icon_stoneEquip_12.png,1,0,,,,,,,,,2,612,3,,,,,,,0,0,提升0生命的符文
629,无面符文,#hoarstone_icon_stoneEquip_1.png,1,0,,,,,,,,,2,613,3,,,,,,,0,0,提升0生命的符文
631,狂暴精华,#hoarstone_icon_stoneEquip_2.png,1,370,23,12,,,,,,,3,611,3,612,3,,,,,32,0,提升370生命、12暴击率的符文精华
632,活力精华,#hoarstone_icon_stoneEquip_3.png,1,370,3,20,,,,,,,3,611,3,613,3,,,,,30,0,提升370生命、20霸体的符文精华
633,坚韧精华,#hoarstone_icon_stoneEquip_4.png,1,370,25,11,,,,,,,3,616,3,614,3,,,,,28,0,提升370生命、11韧性的符文精华
641,生命精华,#hoarstone_icon_stoneEquip_5.png,1,617,,,,,,,,,4,611,5,614,5,615,5,,,33,0,提升617生命的符文精华
642,能量精华,#hoarstone_icon_stoneEquip_6.png,3,34,,,,,,,,,4,612,5,613,5,616,5,,,17,0,提升34霸体的符文精华
651,生命核心,#hoarstone_icon_stoneEquip_7.png,1,1021,23,33,,,,,,,5,611,10,612,10,614,10,,,88,0,提升1021生命、33暴击率的符文核心
652,狂暴核心,#hoarstone_icon_stoneEquip_8.png,3,87,23,33,,,,,,,5,612,10,613,10,616,10,,,77,0,提升87霸体、33暴击率的符文核心
653,能量核心,#hoarstone_icon_stoneEquip_9.png,1,1042,3,54,,,,,,,5,611,10,613,10,615,10,,,83,0,提升1042生命、54霸体的符文核心
654,坚韧之源,#hoarstone_icon_stoneEquip_10.png,3,84,25,30,,,,,,,5,613,12,614,12,612,6,,,63,0,提升84霸体、30韧性的符文本源
655,复苏之源,#hoarstone_icon_stoneEquip_11.png,10,71,25,30,,,,,,,5,614,10,615,10,611,10,,,163,0,提升71霸体回复、30韧性的符文本源
656,活力之源,#hoarstone_icon_stoneEquip_12.png,1,1018,25,30,,,,,,,5,615,10,616,20,,,,,76,0,提升1018生命、30韧性的符文本源
