id,idx,level,power,nextLevelAddPower,costCoin,costPiece,attrToType1,attrToValue1,attrToType2,attrToValue2,attrToType3,attrToValue3,attrToType4,attrToValue4,attrToType5,attrToValue5,toMax,attrType1,attrValue1,attrType2,attrValue2,attrType3,attrValue3,attrType4,attrValue4,attrType5,attrValue5
2017,2,17,171,13,8040,804,4,102,6,90,,,,,,,2544,4,8,6,6,,,,,,
2018,2,18,184,13,8480,848,4,110,6,96,,,,,,,1740,4,8,6,6,,,,,,
2019,2,19,197,13,8920,892,4,118,6,102,,,,,,,892,4,9,6,6,,,,,,
2020,2,20,210,,,,4,127,6,108,,,,,,,0,,,,,,,,,,
3000,3,0,0,7,300000,0,,,,,,,,,,,15892,,,,,,,,,,
3001,3,1,7,7,1000,100,5,4,7,4,,,,,,,15892,5,4,7,5,,,,,,
3002,3,2,15,7,1320,132,5,8,7,9,,,,,,,15792,5,4,7,4,,,,,,
3003,3,3,22,8,1640,164,5,12,7,13,,,,,,,15660,5,5,7,5,,,,,,
3004,3,4,31,9,1960,196,5,17,7,18,,,,,,,15496,5,4,7,4,,,,,,
3005,3,5,38,9,2280,228,5,21,7,22,,,,,,,15300,5,5,7,5,,,,,,
3006,3,6,47,9,2600,260,5,26,7,27,,,,,,,15072,5,5,7,5,,,,,,
3007,3,7,56,9,2920,292,5,31,7,32,,,,,,,14812,5,6,7,5,,,,,,
3008,3,8,65,9,3240,324,5,37,7,37,,,,,,,14520,5,5,7,5,,,,,,
3009,3,9,74,10,3560,356,5,42,7,42,,,,,,,14196,5,6,7,5,,,,,,
3010,3,10,84,10,3880,388,5,48,7,47,,,,,,,13840,5,5,7,5,,,,,,
3011,3,11,93,10,4200,420,5,53,7,52,,,,,,,13452,5,7,7,6,,,,,,
3012,3,12,105,10,4520,452,5,60,7,58,,,,,,,13032,5,6,7,5,,,,,,
3013,3,13,115,10,4840,484,5,66,7,63,,,,,,,12580,5,6,7,5,,,,,,
3014,3,14,124,12,5160,516,5,72,7,68,,,,,,,12096,5,7,7,6,,,,,,
3015,3,15,136,12,5480,548,5,79,7,74,,,,,,,11580,5,7,7,5,,,,,,
3016,3,16,147,12,5800,580,5,86,7,79,,,,,,,11032,5,7,7,6,,,,,,
3017,3,17,158,12,6120,612,5,93,7,85,,,,,,,10452,5,7,7,6,,,,,,
3018,3,18,170,12,6440,644,5,100,7,91,,,,,,,9840,5,7,7,6,,,,,,
3019,3,19,182,13,6760,676,5,107,7,97,,,,,,,9196,5,8,7,6,,,,,,
3020,3,20,194,13,7080,708,5,115,7,103,,,,,,,8520,5,8,7,6,,,,,,
3021,3,21,207,13,7400,740,5,123,7,109,,,,,,,7812,5,7,7,6,,,,,,
3022,3,22,219,13,7720,772,5,130,7,115,,,,,,,7072,5,9,7,6,,,,,,
3023,3,23,232,13,8040,804,5,139,7,121,,,,,,,6300,5,8,7,6,,,,,,
3024,3,24,245,14,8360,836,5,147,7,127,,,,,,,5496,5,9,7,7,,,,,,
3025,3,25,259,14,8680,868,5,156,7,134,,,,,,,4660,5,8,7,6,,,,,,
3026,3,26,272,14,9000,900,5,164,7,140,,,,,,,3792,5,9,7,7,,,,,,
3027,3,27,286,14,9320,932,5,173,7,147,,,,,,,2892,5,9,7,7,,,,,,
3028,3,28,301,14,9640,964,5,182,7,154,,,,,,,1960,5,10,7,6,,,,,,
3029,3,29,315,15,9960,996,5,192,7,160,,,,,,,996,5,9,7,7,,,,,,
3030,3,30,330,,,,5,201,7,167,,,,,,,0,,,,,,,,,,
4000,4,0,0,8,400000,0,,,,,,,,,,,26130,,,,,,,,,,
4001,4,1,8,9,1000,100,4,4,5,4,,,,,,,26130,4,5,5,4,,,,,,
4002,4,2,17,9,1300,130,4,9,5,8,,,,,,,26030,4,5,5,4,,,,,,
4003,4,3,26,9,1600,160,4,14,5,12,,,,,,,25900,4,4,5,5,,,,,,
4004,4,4,35,10,1900,190,4,18,5,17,,,,,,,25740,4,6,5,4,,,,,,
4005,4,5,45,10,2200,220,4,24,5,21,,,,,,,25550,4,5,5,5,,,,,,
4006,4,6,55,11,2500,250,4,29,5,26,,,,,,,25330,4,6,5,5,,,,,,
4007,4,7,66,11,2800,280,4,35,5,31,,,,,,,25080,4,5,5,6,,,,,,
4008,4,8,77,11,3100,310,4,40,5,37,,,,,,,24800,4,6,5,5,,,,,,
4009,4,9,88,12,3400,340,4,46,5,42,,,,,,,24490,4,7,5,6,,,,,,
4010,4,10,101,12,3700,370,4,53,5,48,,,,,,,24150,4,6,5,5,,,,,,
4011,4,11,112,13,4000,400,4,59,5,53,,,,,,,23780,4,7,5,7,,,,,,
4012,4,12,126,13,4300,430,4,66,5,60,,,,,,,23380,4,6,5,6,,,,,,
4013,4,13,138,13,4600,460,4,72,5,66,,,,,,,22950,4,8,5,6,,,,,,
4014,4,14,152,14,4900,490,4,80,5,72,,,,,,,22490,4,7,5,7,,,,,,
4015,4,15,166,15,5200,520,4,87,5,79,,,,,,,22000,4,7,5,7,,,,,,
4016,4,16,180,15,5500,550,4,94,5,86,,,,,,,21480,4,8,5,7,,,,,,
4017,4,17,195,15,5800,580,4,102,5,93,,,,,,,20930,4,8,5,7,,,,,,
4018,4,18,210,15,6100,610,4,110,5,100,,,,,,,20350,4,8,5,7,,,,,,
4019,4,19,225,16,6400,640,4,118,5,107,,,,,,,19740,4,9,5,8,,,,,,
4020,4,20,242,17,6700,670,4,127,5,115,,,,,,,19100,4,8,5,8,,,,,,
4021,4,21,258,17,7000,700,4,135,5,123,,,,,,,18430,4,9,5,7,,,,,,
4022,4,22,274,17,7300,730,4,144,5,130,,,,,,,17730,4,9,5,9,,,,,,
4023,4,23,292,17,7600,760,4,153,5,139,,,,,,,17000,4,9,5,8,,,,,,
4024,4,24,309,18,7900,790,4,162,5,147,,,,,,,16240,4,10,5,9,,,,,,
4025,4,25,328,19,8200,820,4,172,5,156,,,,,,,15450,4,9,5,8,,,,,,
4026,4,26,345,19,8500,850,4,181,5,164,,,,,,,14630,4,10,5,9,,,,,,
4027,4,27,364,19,8800,880,4,191,5,173,,,,,,,13780,4,10,5,9,,,,,,
4028,4,28,383,19,9100,910,4,201,5,182,,,,,,,12900,4,10,5,10,,,,,,
4029,4,29,403,21,9400,940,4,211,5,192,,,,,,,11990,4,11,5,9,,,,,,
4030,4,30,423,21,9700,970,4,222,5,201,,,,,,,11050,4,11,5,10,,,,,,
4031,4,31,444,21,10000,1000,4,233,5,211,,,,,,,10080,4,11,5,10,,,,,,
4032,4,32,465,21,10300,1030,4,244,5,221,,,,,,,9080,4,11,5,10,,,,,,
4033,4,33,486,21,10600,1060,4,255,5,231,,,,,,,8050,4,11,5,10,,,,,,
4034,4,34,507,23,10900,1090,4,266,5,241,,,,,,,6990,4,12,5,11,,,,,,
4035,4,35,530,23,11200,1120,4,278,5,252,,,,,,,5900,4,11,5,11,,,,,,
4036,4,36,552,23,11500,1150,4,289,5,263,,,,,,,4780,4,12,5,10,,,,,,
4037,4,37,574,23,11800,1180,4,301,5,273,,,,,,,3630,4,13,5,12,,,,,,
4038,4,38,599,23,12100,1210,4,314,5,285,,,,,,,2450,4,12,5,11,,,,,,
4039,4,39,622,24,12400,1240,4,326,5,296,,,,,,,1240,4,13,5,11,,,,,,
4040,4,40,646,,,,4,339,5,307,,,,,,,0,,,,,,,,,,
5000,5,0,0,8,500000,0,,,,,,,,,,,34300,,,,,,,,,,
5001,5,1,8,9,1000,100,4,4,6,5,,,,,,,34300,4,5,6,4,,,,,,
5002,5,2,16,9,1250,125,4,9,6,9,,,,,,,34200,4,5,6,5,,,,,,
5003,5,3,25,9,1500,150,4,14,6,14,,,,,,,34075,4,4,6,5,,,,,,
5004,5,4,33,9,1750,175,4,18,6,19,,,,,,,33925,4,6,6,5,,,,,,
5005,5,5,42,9,2000,200,4,24,6,24,,,,,,,33750,4,5,6,5,,,,,,
5006,5,6,51,10,2250,225,4,29,6,29,,,,,,,33550,4,6,6,5,,,,,,
5007,5,7,61,10,2500,250,4,35,6,34,,,,,,,33325,4,5,6,5,,,,,,
5008,5,8,70,10,2750,275,4,40,6,39,,,,,,,33075,4,6,6,5,,,,,,
5009,5,9,80,10,3000,300,4,46,6,44,,,,,,,32800,4,7,6,6,,,,,,
5010,5,10,92,10,3250,325,4,53,6,50,,,,,,,32500,4,6,6,5,,,,,,
5011,5,11,101,12,3500,350,4,59,6,55,,,,,,,32175,4,7,6,6,,,,,,
5012,5,12,113,12,3750,375,4,66,6,61,,,,,,,31825,4,6,6,5,,,,,,
5013,5,13,123,12,4000,400,4,72,6,66,,,,,,,31450,4,8,6,6,,,,,,
5014,5,14,135,12,4250,425,4,80,6,72,,,,,,,31050,4,7,6,6,,,,,,
5015,5,15,147,13,4500,450,4,87,6,78,,,,,,,30625,4,7,6,6,,,,,,
5016,5,16,159,13,4750,475,4,94,6,84,,,,,,,30175,4,8,6,6,,,,,,
5017,5,17,171,13,5000,500,4,102,6,90,,,,,,,29700,4,8,6,6,,,,,,
5018,5,18,184,13,5250,525,4,110,6,96,,,,,,,29200,4,8,6,6,,,,,,
5019,5,19,197,13,5500,550,4,118,6,102,,,,,,,28675,4,9,6,6,,,,,,
5020,5,20,210,14,5750,575,4,127,6,108,,,,,,,28125,4,8,6,6,,,,,,
5021,5,21,223,14,6000,600,4,135,6,114,,,,,,,27550,4,9,6,7,,,,,,
5022,5,22,237,14,6250,625,4,144,6,121,,,,,,,26950,4,9,6,6,,,,,,
5023,5,23,251,14,6500,650,4,153,6,127,,,,,,,26325,4,9,6,7,,,,,,
5024,5,24,265,14,6750,675,4,162,6,134,,,,,,,25675,4,10,6,7,,,,,,
5025,5,25,281,15,7000,700,4,172,6,141,,,,,,,25000,4,9,6,7,,,,,,
5026,5,26,295,15,7250,725,4,181,6,148,,,,,,,24300,4,10,6,7,,,,,,
5027,5,27,310,15,7500,750,4,191,6,155,,,,,,,23575,4,10,6,7,,,,,,
5028,5,28,326,15,7750,775,4,201,6,162,,,,,,,22825,4,10,6,7,,,,,,
5029,5,29,341,16,8000,800,4,211,6,169,,,,,,,22050,4,11,6,7,,,,,,
5030,5,30,358,16,8250,825,4,222,6,176,,,,,,,21250,4,11,6,7,,,,,,
5031,5,31,374,16,8500,850,4,233,6,183,,,,,,,20425,4,11,6,7,,,,,,
5032,5,32,390,16,8750,875,4,244,6,190,,,,,,,19575,4,11,6,8,,,,,,
5033,5,33,407,17,9000,900,4,255,6,198,,,,,,,18700,4,11,6,7,,,,,,
5034,5,34,424,18,9250,925,4,266,6,205,,,,,,,17800,4,12,6,8,,,,,,
5035,5,35,442,18,9500,950,4,278,6,213,,,,,,,16875,4,11,6,8,,,,,,
5036,5,36,459,18,9750,975,4,289,6,221,,,,,,,15925,4,12,6,8,,,,,,
5037,5,37,477,18,10000,1000,4,301,6,229,,,,,,,14950,4,13,6,7,,,,,,
5038,5,38,496,18,10250,1025,4,314,6,236,,,,,,,13950,4,12,6,8,,,,,,
5039,5,39,514,19,10500,1050,4,326,6,244,,,,,,,12925,4,13,6,9,,,,,,
5040,5,40,534,19,10750,1075,4,339,6,253,,,,,,,11875,4,13,6,8,,,,,,
5041,5,41,553,19,11000,1100,4,352,6,261,,,,,,,10800,4,13,6,8,,,,,,
5042,5,42,572,19,11250,1125,4,365,6,269,,,,,,,9700,4,13,6,8,,,,,,
5043,5,43,591,20,11500,1150,4,378,6,277,,,,,,,8575,4,14,6,9,,,,,,
5044,5,44,612,21,11750,1175,4,392,6,286,,,,,,,7425,4,13,6,8,,,,,,
5045,5,45,631,21,12000,1200,4,405,6,294,,,,,,,6250,4,14,6,9,,,,,,
5046,5,46,652,21,12250,1225,4,419,6,303,,,,,,,5050,4,14,6,9,,,,,,
5047,5,47,673,21,12500,1250,4,433,6,312,,,,,,,3825,4,15,6,9,,,,,,
5048,5,48,695,22,12750,1275,4,448,6,321,,,,,,,2575,4,14,6,8,,,,,,
5049,5,49,715,22,13000,1300,4,462,6,329,,,,,,,1300,4,15,6,9,,,,,,
5050,5,50,737,,,,4,477,6,338,,,,,,,0,,,,,,,,,,
6000,6,0,0,7,600000,0,,,,,,,,,,,45253,,,,,,,,,,
6001,6,1,7,7,1000,100,5,4,7,4,,,,,,,45253,5,4,7,5,,,,,,
6002,6,2,15,7,1230,123,5,8,7,9,,,,,,,45153,5,4,7,4,,,,,,
6003,6,3,22,8,1460,146,5,12,7,13,,,,,,,45030,5,5,7,5,,,,,,
6004,6,4,31,9,1690,169,5,17,7,18,,,,,,,44884,5,4,7,4,,,,,,
6005,6,5,38,9,1920,192,5,21,7,22,,,,,,,44715,5,5,7,5,,,,,,
6006,6,6,47,9,2150,215,5,26,7,27,,,,,,,44523,5,5,7,5,,,,,,
6007,6,7,56,9,2380,238,5,31,7,32,,,,,,,44308,5,6,7,5,,,,,,
6008,6,8,65,9,2610,261,5,37,7,37,,,,,,,44070,5,5,7,5,,,,,,
6009,6,9,74,10,2840,284,5,42,7,42,,,,,,,43809,5,6,7,5,,,,,,
6010,6,10,84,10,3070,307,5,48,7,47,,,,,,,43525,5,5,7,5,,,,,,
6011,6,11,93,10,3300,330,5,53,7,52,,,,,,,43218,5,7,7,6,,,,,,
6012,6,12,105,10,3530,353,5,60,7,58,,,,,,,42888,5,6,7,5,,,,,,
6013,6,13,115,10,3760,376,5,66,7,63,,,,,,,42535,5,6,7,5,,,,,,
6014,6,14,124,12,3990,399,5,72,7,68,,,,,,,42159,5,7,7,6,,,,,,
6015,6,15,136,12,4220,422,5,79,7,74,,,,,,,41760,5,7,7,5,,,,,,
6016,6,16,147,12,4450,445,5,86,7,79,,,,,,,41338,5,7,7,6,,,,,,
6017,6,17,158,12,4680,468,5,93,7,85,,,,,,,40893,5,7,7,6,,,,,,
6018,6,18,170,12,4910,491,5,100,7,91,,,,,,,40425,5,7,7,6,,,,,,
6019,6,19,182,13,5140,514,5,107,7,97,,,,,,,39934,5,8,7,6,,,,,,
6020,6,20,194,13,5370,537,5,115,7,103,,,,,,,39420,5,8,7,6,,,,,,
6021,6,21,207,13,5600,560,5,123,7,109,,,,,,,38883,5,7,7,6,,,,,,
6022,6,22,219,13,5830,583,5,130,7,115,,,,,,,38323,5,9,7,6,,,,,,
6023,6,23,232,13,6060,606,5,139,7,121,,,,,,,37740,5,8,7,6,,,,,,
6024,6,24,245,14,6290,629,5,147,7,127,,,,,,,37134,5,9,7,7,,,,,,
6025,6,25,259,14,6520,652,5,156,7,134,,,,,,,36505,5,8,7,6,,,,,,
6026,6,26,272,14,6750,675,5,164,7,140,,,,,,,35853,5,9,7,7,,,,,,
6027,6,27,286,14,6980,698,5,173,7,147,,,,,,,35178,5,9,7,7,,,,,,
6028,6,28,301,14,7210,721,5,182,7,154,,,,,,,34480,5,10,7,6,,,,,,
6029,6,29,315,15,7440,744,5,192,7,160,,,,,,,33759,5,9,7,7,,,,,,
6030,6,30,330,15,7670,767,5,201,7,167,,,,,,,33015,5,10,7,7,,,,,,
6031,6,31,345,15,7900,790,5,211,7,174,,,,,,,32248,5,10,7,7,,,,,,
6032,6,32,360,15,8130,813,5,221,7,181,,,,,,,31458,5,10,7,7,,,,,,
6033,6,33,376,15,8360,836,5,231,7,188,,,,,,,30645,5,10,7,7,,,,,,
6034,6,34,391,16,8590,859,5,241,7,195,,,,,,,29809,5,11,7,7,,,,,,
6035,6,35,408,16,8820,882,5,252,7,202,,,,,,,28950,5,11,7,8,,,,,,
6036,6,36,425,16,9050,905,5,263,7,210,,,,,,,28068,5,10,7,7,,,,,,
6037,6,37,440,17,9280,928,5,273,7,217,,,,,,,27163,5,12,7,8,,,,,,
6038,6,38,458,17,9510,951,5,285,7,225,,,,,,,26235,5,11,7,7,,,,,,
6039,6,39,475,17,9740,974,5,296,7,232,,,,,,,25284,5,11,7,8,,,,,,
6040,6,40,492,18,9970,997,5,307,7,240,,,,,,,24310,5,12,7,8,,,,,,
6041,6,41,510,18,10200,1020,5,319,7,248,,,,,,,23313,5,12,7,8,,,,,,
6042,6,42,528,18,10430,1043,5,331,7,256,,,,,,,22293,5,12,7,8,,,,,,
6043,6,43,546,18,10660,1066,5,343,7,264,,,,,,,21250,5,12,7,8,,,,,,
6044,6,44,564,18,10890,1089,5,355,7,272,,,,,,,20184,5,13,7,8,,,,,,
6045,6,45,584,19,11120,1112,5,368,7,280,,,,,,,19095,5,12,7,8,,,,,,
6046,6,46,602,19,11350,1135,5,380,7,288,,,,,,,17983,5,13,7,8,,,,,,
6047,6,47,621,19,11580,1158,5,393,7,296,,,,,,,16848,5,13,7,9,,,,,,
6048,6,48,641,19,11810,1181,5,406,7,305,,,,,,,15690,5,13,7,8,,,,,,
6049,6,49,660,20,12040,1204,5,419,7,313,,,,,,,14509,5,14,7,9,,,,,,
6050,6,50,681,21,12270,1227,5,433,7,322,,,,,,,13305,5,13,7,8,,,,,,
6051,6,51,700,21,12500,1250,5,446,7,330,,,,,,,12078,5,14,7,9,,,,,,
6052,6,52,721,21,12730,1273,5,460,7,339,,,,,,,10828,5,14,7,9,,,,,,
6053,6,53,742,21,12960,1296,5,474,7,348,,,,,,,9555,5,14,7,9,,,,,,
6054,6,54,763,21,13190,1319,5,488,7,357,,,,,,,8259,5,15,7,9,,,,,,
6055,6,55,785,22,13420,1342,5,503,7,366,,,,,,,6940,5,14,7,9,,,,,,
6056,6,56,806,22,13650,1365,5,517,7,375,,,,,,,5598,5,15,7,9,,,,,,
6057,6,57,828,22,13880,1388,5,532,7,384,,,,,,,4233,5,15,7,9,,,,,,
6058,6,58,850,22,14110,1411,5,547,7,393,,,,,,,2845,5,15,7,9,,,,,,
6059,6,59,872,22,14340,1434,5,562,7,402,,,,,,,1434,5,16,7,10,,,,,,
6060,6,60,895,,,,5,578,7,412,,,,,,,0,,,,,,,,,,
7000,7,0,0,7,700000,0,,,,,,,,,,,58512,,,,,,,,,,
7001,7,1,7,8,1000,100,4,4,7,4,,,,,,,58512,4,5,7,5,,,,,,
7002,7,2,16,8,1220,122,4,9,7,9,,,,,,,58412,4,5,7,4,,,,,,
7003,7,3,24,9,1440,144,4,14,7,13,,,,,,,58290,4,4,7,5,,,,,,
7004,7,4,32,9,1660,166,4,18,7,18,,,,,,,58146,4,6,7,4,,,,,,
7005,7,5,41,9,1880,188,4,24,7,22,,,,,,,57980,4,5,7,5,,,,,,
7006,7,6,50,10,2100,210,4,29,7,27,,,,,,,57792,4,6,7,5,,,,,,
7007,7,7,60,10,2320,232,4,35,7,32,,,,,,,57582,4,5,7,5,,,,,,
7008,7,8,68,10,2540,254,4,40,7,37,,,,,,,57350,4,6,7,5,,,,,,
7009,7,9,78,10,2760,276,4,46,7,42,,,,,,,57096,4,7,7,5,,,,,,
7010,7,10,89,10,2980,298,4,53,7,47,,,,,,,56820,4,6,7,5,,,,,,
7011,7,11,99,11,3200,320,4,59,7,52,,,,,,,56522,4,7,7,6,,,,,,
7012,7,12,111,11,3420,342,4,66,7,58,,,,,,,56202,4,6,7,5,,,,,,
7013,7,13,121,11,3640,364,4,72,7,63,,,,,,,55860,4,8,7,5,,,,,,
7014,7,14,132,12,3860,386,4,80,7,68,,,,,,,55496,4,7,7,6,,,,,,
7015,7,15,144,13,4080,408,4,87,7,74,,,,,,,55110,4,7,7,5,,,,,,
7016,7,16,155,13,4300,430,4,94,7,79,,,,,,,54702,4,8,7,6,,,,,,
7017,7,17,167,13,4520,452,4,102,7,85,,,,,,,54272,4,8,7,6,,,,,,
7018,7,18,180,13,4740,474,4,110,7,91,,,,,,,53820,4,8,7,6,,,,,,
7019,7,19,193,13,4960,496,4,118,7,97,,,,,,,53346,4,9,7,6,,,,,,
7020,7,20,206,14,5180,518,4,127,7,103,,,,,,,52850,4,8,7,6,,,,,,
7021,7,21,219,14,5400,540,4,135,7,109,,,,,,,52332,4,9,7,6,,,,,,
7022,7,22,233,14,5620,562,4,144,7,115,,,,,,,51792,4,9,7,6,,,,,,
7023,7,23,246,14,5840,584,4,153,7,121,,,,,,,51230,4,9,7,6,,,,,,
7024,7,24,260,14,6060,606,4,162,7,127,,,,,,,50646,4,10,7,7,,,,,,
7025,7,25,275,15,6280,628,4,172,7,134,,,,,,,50040,4,9,7,6,,,,,,
7026,7,26,289,15,6500,650,4,181,7,140,,,,,,,49412,4,10,7,7,,,,,,
7027,7,27,304,15,6720,672,4,191,7,147,,,,,,,48762,4,10,7,7,,,,,,
7028,7,28,320,15,6940,694,4,201,7,154,,,,,,,48090,4,10,7,6,,,,,,
7029,7,29,334,16,7160,716,4,211,7,160,,,,,,,47396,4,11,7,7,,,,,,
7030,7,30,351,16,7380,738,4,222,7,167,,,,,,,46680,4,11,7,7,,,,,,
7031,7,31,367,16,7600,760,4,233,7,174,,,,,,,45942,4,11,7,7,,,,,,
7032,7,32,383,16,7820,782,4,244,7,181,,,,,,,45182,4,11,7,7,,,,,,
7033,7,33,400,16,8040,804,4,255,7,188,,,,,,,44400,4,11,7,7,,,,,,
7034,7,34,416,17,8260,826,4,266,7,195,,,,,,,43596,4,12,7,7,,,,,,
7035,7,35,434,17,8480,848,4,278,7,202,,,,,,,42770,4,11,7,8,,,,,,
7036,7,36,451,17,8700,870,4,289,7,210,,,,,,,41922,4,12,7,7,,,,,,
7037,7,37,468,18,8920,892,4,301,7,217,,,,,,,41052,4,13,7,8,,,,,,
7038,7,38,487,18,9140,914,4,314,7,225,,,,,,,40160,4,12,7,7,,,,,,
7039,7,39,505,19,9360,936,4,326,7,232,,,,,,,39246,4,13,7,8,,,,,,
7040,7,40,524,19,9580,958,4,339,7,240,,,,,,,38310,4,13,7,8,,,,,,
7041,7,41,543,19,9800,980,4,352,7,248,,,,,,,37352,4,13,7,8,,,,,,
7042,7,42,562,19,10020,1002,4,365,7,256,,,,,,,36372,4,13,7,8,,,,,,
7043,7,43,581,20,10240,1024,4,378,7,264,,,,,,,35370,4,14,7,8,,,,,,
7044,7,44,601,20,10460,1046,4,392,7,272,,,,,,,34346,4,13,7,8,,,,,,
7045,7,45,621,20,10680,1068,4,405,7,280,,,,,,,33300,4,14,7,8,,,,,,
7046,7,46,641,20,10900,1090,4,419,7,288,,,,,,,32232,4,14,7,8,,,,,,
7047,7,47,661,20,11120,1112,4,433,7,296,,,,,,,31142,4,15,7,9,,,,,,
7048,7,48,683,21,11340,1134,4,448,7,305,,,,,,,30030,4,14,7,8,,,,,,
7049,7,49,703,22,11560,1156,4,462,7,313,,,,,,,28896,4,15,7,9,,,,,,
7050,7,50,725,22,11780,1178,4,477,7,322,,,,,,,27740,4,15,7,8,,,,,,
7051,7,51,746,22,12000,1200,4,492,7,330,,,,,,,26562,4,15,7,9,,,,,,
7052,7,52,768,22,12220,1222,4,507,7,339,,,,,,,25362,4,16,7,9,,,,,,
7053,7,53,791,23,12440,1244,4,523,7,348,,,,,,,24140,4,15,7,9,,,,,,
7054,7,54,813,23,12660,1266,4,538,7,357,,,,,,,22896,4,16,7,9,,,,,,
7055,7,55,836,23,12880,1288,4,554,7,366,,,,,,,21630,4,16,7,9,,,,,,
7056,7,56,859,23,13100,1310,4,570,7,375,,,,,,,20342,4,17,7,9,,,,,,
7057,7,57,883,24,13320,1332,4,587,7,384,,,,,,,19032,4,16,7,9,,,,,,
7058,7,58,906,24,13540,1354,4,603,7,393,,,,,,,17700,4,17,7,9,,,,,,
7059,7,59,930,24,13760,1376,4,620,7,402,,,,,,,16346,4,17,7,10,,,,,,
7060,7,60,954,24,13980,1398,4,637,7,412,,,,,,,14970,4,17,7,9,,,,,,
7061,7,61,978,25,14200,1420,4,654,7,421,,,,,,,13572,4,17,7,10,,,,,,
7062,7,62,1003,26,14420,1442,4,671,7,431,,,,,,,12152,4,18,7,10,,,,,,
7063,7,63,1029,26,14640,1464,4,689,7,441,,,,,,,10710,4,18,7,9,,,,,,
7064,7,64,1054,26,14860,1486,4,707,7,450,,,,,,,9246,4,18,7,10,,,,,,
7065,7,65,1079,26,15080,1508,4,725,7,460,,,,,,,7760,4,18,7,10,,,,,,
7066,7,66,1105,26,15300,1530,4,743,7,470,,,,,,,6252,4,18,7,10,,,,,,
7067,7,67,1131,27,15520,1552,4,761,7,480,,,,,,,4722,4,19,7,10,,,,,,
7068,7,68,1157,27,15740,1574,4,780,7,490,,,,,,,3170,4,19,7,10,,,,,,
7069,7,69,1184,27,15960,1596,4,799,7,500,,,,,,,1596,4,19,7,11,,,,,,
7070,7,70,1211,,,,4,818,7,511,,,,,,,0,,,,,,,,,,
8000,8,0,0,8,800000,0,,,,,,,,,,,69520,,,,,,,,,,
8001,8,1,8,8,1000,100,5,4,6,5,,,,,,,69520,5,4,6,4,,,,,,
8002,8,2,15,8,1200,120,5,8,6,9,,,,,,,69420,5,4,6,5,,,,,,
8003,8,3,23,8,1400,140,5,12,6,14,,,,,,,69300,5,5,6,5,,,,,,
8004,8,4,32,9,1600,160,5,17,6,19,,,,,,,69160,5,4,6,5,,,,,,
