id,level,quality,PAMin,PAMax,PARate,MAMin,MAMax,MARate,PFMin,PFMax,PFRate,MFMin,MFMax,MFRate,MaxHPMin,MaxHPMax,MaxHPRate,MaxMPMin,MaxMPMax,MaxMPRate,MaxSPMin,MaxSPMax,MaxSPRate,CritRateMin,CritRateMax,CritRateRate,CritDamageMin,CritDamageMax,CritDamageRate,CritDefMin,CritDefMax,CritDefRate
153,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,20,1,8,10,10,8,10,10,10,13,10,10,13,10,164,206,10,0,0,0,1,20,0,8,10,10,0,0,0,11,14,10
202,20,2,11,13,10,11,13,10,14,17,10,14,17,10,207,269,10,0,0,0,3,27,0,11,13,10,0,0,0,15,19,10
203,20,3,14,17,10,14,17,10,18,23,10,18,23,10,270,350,10,0,0,0,4,36,0,14,17,10,0,0,0,20,25,10
204,20,4,18,23,10,18,23,10,24,30,10,24,30,10,351,455,10,0,0,0,5,48,0,18,23,10,0,0,0,26,33,10
205,20,5,24,30,10,24,30,10,31,40,10,31,40,10,456,592,10,0,0,0,7,63,0,24,30,10,0,0,0,34,44,10
251,25,1,9,12,10,9,12,10,13,17,10,13,17,10,206,258,10,0,0,0,1,26,0,9,12,10,0,0,0,15,19,10
252,25,2,13,16,10,13,16,10,18,23,10,18,23,10,259,336,10,0,0,0,3,35,0,13,16,10,0,0,0,20,25,10
253,25,3,17,22,10,17,22,10,24,30,10,24,30,10,337,437,10,0,0,0,4,46,0,17,22,10,0,0,0,26,33,10
254,25,4,23,29,10,23,29,10,31,39,10,31,39,10,438,569,10,0,0,0,5,60,0,23,29,10,0,0,0,34,43,10
255,25,5,30,38,10,30,38,10,40,51,10,40,51,10,570,740,10,0,0,0,7,79,0,30,38,10,0,0,0,44,56,10
301,30,1,12,15,10,12,15,10,16,21,10,16,21,10,258,323,10,0,0,0,26,33,10,12,15,10,0,0,0,18,23,10
302,30,2,16,20,10,16,20,10,22,28,10,22,28,10,324,420,10,0,0,0,34,44,10,16,20,10,0,0,0,24,30,10
303,30,3,21,27,10,21,27,10,29,37,10,29,37,10,421,547,10,0,0,0,45,58,10,21,27,10,0,0,0,31,40,10
304,30,4,28,36,10,28,36,10,38,49,10,38,49,10,548,712,10,0,0,0,59,76,10,28,36,10,0,0,0,41,53,10
305,30,5,37,48,10,37,48,10,50,64,10,50,64,10,713,926,10,0,0,0,77,99,10,37,48,10,0,0,0,54,70,10
351,35,1,16,20,10,16,20,10,20,26,10,20,26,10,323,404,10,0,0,0,34,43,10,16,20,10,0,0,0,24,30,10
352,35,2,21,26,10,21,26,10,27,35,10,27,35,10,405,526,10,0,0,0,44,56,10,21,26,10,0,0,0,31,39,10
353,35,3,27,35,10,27,35,10,36,46,10,36,46,10,527,684,10,0,0,0,57,73,10,27,35,10,0,0,0,40,51,10
354,35,4,36,46,10,36,46,10,47,61,10,47,61,10,685,890,10,0,0,0,74,95,10,36,46,10,0,0,0,52,67,10
355,35,5,47,60,10,47,60,10,62,80,10,62,80,10,891,1158,10,0,0,0,96,124,10,47,60,10,0,0,0,68,88,10
401,40,1,20,25,10,20,25,10,26,33,10,26,33,10,404,506,10,0,0,0,42,53,10,20,25,10,0,0,0,29,37,10
402,40,2,26,33,10,26,33,10,34,44,10,34,44,10,507,658,10,0,0,0,54,70,10,26,33,10,0,0,0,38,49,10
403,40,3,34,44,10,34,44,10,45,58,10,45,58,10,659,856,10,0,0,0,71,91,10,34,44,10,0,0,0,50,64,10
404,40,4,45,58,10,45,58,10,59,76,10,59,76,10,857,1113,10,0,0,0,92,119,10,45,58,10,0,0,0,65,84,10
405,40,5,59,76,10,59,76,10,77,100,10,77,100,10,1114,1448,10,0,0,0,120,155,10,59,76,10,0,0,0,85,110,10
451,45,1,26,33,10,26,33,10,34,43,10,34,43,10,506,633,10,0,0,0,52,66,10,26,33,10,0,0,0,37,47,10
452,45,2,34,43,10,34,43,10,44,56,10,44,56,10,634,823,10,0,0,0,67,87,10,34,43,10,0,0,0,48,62,10
453,45,3,44,56,10,44,56,10,57,73,10,57,73,10,824,1071,10,0,0,0,88,114,10,44,56,10,0,0,0,63,81,10
454,45,4,57,73,10,57,73,10,74,96,10,74,96,10,1072,1393,10,0,0,0,115,149,10,57,73,10,0,0,0,82,106,10
455,45,5,74,96,10,74,96,10,97,125,10,97,125,10,1394,1811,10,0,0,0,150,194,10,74,96,10,0,0,0,107,138,10
501,50,1,32,40,10,32,40,10,42,53,10,42,53,10,633,792,10,0,0,0,67,84,10,32,40,10,0,0,0,48,60,10
502,50,2,41,53,10,41,53,10,54,70,10,54,70,10,793,1030,10,0,0,0,85,110,10,41,53,10,0,0,0,61,78,10
503,50,3,54,70,10,54,70,10,71,92,10,71,92,10,1031,1339,10,0,0,0,111,143,10,54,70,10,0,0,0,79,102,10
504,50,4,71,92,10,71,92,10,93,120,10,93,120,10,1340,1741,10,0,0,0,144,186,10,71,92,10,0,0,0,103,133,10
505,50,5,93,120,10,93,120,10,121,157,10,121,157,10,1742,2264,10,0,0,0,187,243,10,93,120,10,0,0,0,134,173,10
551,55,1,41,52,10,41,52,10,54,68,10,54,68,10,791,989,10,0,0,0,84,105,10,41,52,10,0,0,0,59,74,10
552,55,2,53,68,10,53,68,10,69,89,10,69,89,10,990,1286,10,0,0,0,106,137,10,53,68,10,0,0,0,75,97,10
553,55,3,69,89,10,69,89,10,90,116,10,90,116,10,1287,1673,10,0,0,0,138,179,10,69,89,10,0,0,0,98,127,10
554,55,4,90,116,10,90,116,10,117,151,10,117,151,10,1674,2176,10,0,0,0,180,233,10,90,116,10,0,0,0,128,166,10
555,55,5,117,151,10,117,151,10,152,197,10,152,197,10,2177,2830,10,0,0,0,234,304,10,117,151,10,0,0,0,167,217,10
601,60,1,52,65,10,52,65,10,68,86,10,68,86,10,990,1238,10,0,0,0,105,132,10,52,65,10,0,0,0,75,94,10
602,60,2,66,85,10,66,85,10,87,112,10,87,112,10,1239,1610,10,0,0,0,133,172,10,66,85,10,0,0,0,95,123,10
603,60,3,86,111,10,86,111,10,113,146,10,113,146,10,1611,2093,10,0,0,0,173,224,10,86,111,10,0,0,0,124,160,10
604,60,4,112,145,10,112,145,10,147,190,10,147,190,10,2094,2721,10,0,0,0,225,292,10,112,145,10,0,0,0,161,209,10
605,60,5,146,189,10,146,189,10,191,247,10,191,247,10,2722,3538,10,0,0,0,293,380,10,146,189,10,0,0,0,210,272,10
651,65,1,65,82,10,65,82,10,85,107,10,85,107,10,1237,1547,10,0,0,0,132,166,10,65,82,10,0,0,0,93,117,10
652,65,2,83,107,10,83,107,10,108,140,10,108,140,10,1548,2012,10,0,0,0,167,216,10,83,107,10,0,0,0,118,153,10
653,65,3,108,140,10,108,140,10,141,182,10,141,182,10,2013,2616,10,0,0,0,217,281,10,108,140,10,0,0,0,154,200,10
654,65,4,141,182,10,141,182,10,183,237,10,183,237,10,2617,3402,10,0,0,0,282,366,10,141,182,10,0,0,0,201,261,10
655,65,5,183,237,10,183,237,10,238,309,10,238,309,10,3403,4423,10,0,0,0,367,476,10,183,237,10,0,0,0,262,340,10
701,70,1,82,103,10,82,103,10,107,134,10,107,134,10,1548,1935,10,0,0,0,165,207,10,82,103,10,0,0,0,117,147,10
702,70,2,104,134,10,104,134,10,135,175,10,135,175,10,1936,2516,10,0,0,0,208,270,10,104,134,10,0,0,0,148,192,10
703,70,3,135,175,10,135,175,10,176,228,10,176,228,10,2517,3271,10,0,0,0,271,352,10,135,175,10,0,0,0,193,250,10
704,70,4,176,228,10,176,228,10,229,297,10,229,297,10,3272,4253,10,0,0,0,353,458,10,176,228,10,0,0,0,251,326,10
705,70,5,229,297,10,229,297,10,298,387,10,298,387,10,4254,5529,10,0,0,0,459,596,10,229,297,10,0,0,0,327,425,10
751,75,1,104,130,10,104,130,10,135,169,10,135,169,10,1935,2419,10,0,0,0,208,260,10,104,130,10,0,0,0,148,185,10
752,75,2,131,169,10,131,169,10,170,220,10,170,220,10,2420,3145,10,0,0,0,261,338,10,131,169,10,0,0,0,186,241,10
753,75,3,170,220,10,170,220,10,221,286,10,221,286,10,3146,4089,10,0,0,0,339,440,10,170,220,10,0,0,0,242,314,10
754,75,4,221,286,10,221,286,10,287,372,10,287,372,10,4090,5316,10,0,0,0,441,573,10,221,286,10,0,0,0,315,409,10
755,75,5,287,372,10,287,372,10,373,484,10,373,484,10,5317,6912,10,0,0,0,574,746,10,287,372,10,0,0,0,410,532,10
801,80,1,129,162,10,129,162,10,168,211,10,168,211,10,2419,3024,10,0,0,0,260,325,10,129,162,10,0,0,0,185,232,10
802,80,2,163,211,10,163,211,10,212,275,10,212,275,10,3025,3932,10,0,0,0,326,423,10,163,211,10,0,0,0,233,302,10
803,80,3,212,275,10,212,275,10,276,358,10,276,358,10,3933,5112,10,0,0,0,424,551,10,212,275,10,0,0,0,303,393,10
804,80,4,276,358,10,276,358,10,359,466,10,359,466,10,5113,6646,10,0,0,0,552,717,10,276,358,10,0,0,0,394,512,10
805,80,5,359,466,10,359,466,10,467,606,10,467,606,10,6647,8641,10,0,0,0,718,933,10,359,466,10,0,0,0,513,666,10
