itemId,res,levelRequire,equipType,equipPos,quality,equipHole,maxStar,effect,equipSet,materialExp,resID,staticAttrType1,staticAttrValMin1,staticAttrValMax1,staticAttrType2,staticAttrValMin2,staticAttrValMax2,staticAttrType3,staticAttrValMin3,staticAttrValMax3,randomRuleId1,randomRuleId2,randomRuleId3,randomRuleId4,randomRuleId5,refreshcoin,refreshstone
10011302,30,1,1,1,3,3,3,,,30,30,4,150,225,6,150,225,0,0,0,13,11,,,,300,3
10011303,31,1,1,1,3,3,3,,,30,31,4,150,225,6,150,225,0,0,0,13,11,,,,300,3
10011304,32,1,2,2,3,3,3,,1131,30,32,1,4500,6750,0,0,0,0,0,0,13,11,,,,100,1
10011305,33,1,2,3,3,3,3,,1131,30,33,5,105,157,0,0,0,0,0,0,13,11,,,,100,1
10011306,34,1,2,4,3,3,3,,1131,30,34,27,150,300,29,150,300,30,150,300,13,11,,,,100,1
10011307,35,1,2,5,3,3,3,,1131,30,35,7,105,157,0,0,0,0,0,0,13,11,,,,100,1
10011308,36,1,2,6,3,3,3,,1131,30,36,13,1,15,0,0,0,0,0,0,13,11,,,,100,1
10011309,37,1,3,7,3,3,3,,1132,30,37,2,450,675,0,0,0,0,0,0,13,11,,,,200,2
10011310,38,1,3,8,3,3,3,,1132,30,38,3,450,675,0,0,0,0,0,0,13,11,,,,200,2
10011311,39,1,3,7,3,3,3,,1133,30,39,11,1,3,0,0,0,0,0,0,13,11,,,,200,2
10011312,40,1,3,8,3,3,3,,1133,30,40,16,1,7,0,0,0,0,0,0,13,11,,,,200,2
10011313,41,1,3,7,3,3,3,,1134,30,41,9,7,15,0,0,0,0,0,0,13,11,,,,200,2
10011314,42,1,3,8,3,3,3,,1134,30,42,10,7,15,0,0,0,0,0,0,13,11,,,,200,2
10011401,43,1,1,1,4,4,4,,,40,43,4,200,300,6,200,300,0,0,0,14,12,,,,300,3
10011402,44,1,1,1,4,4,4,,,40,44,4,200,300,6,200,300,0,0,0,14,12,,,,300,3
10011403,45,1,1,1,4,4,4,,,40,45,4,200,300,6,200,300,0,0,0,14,12,,,,300,3
10011404,46,1,2,2,4,4,4,,1141,40,46,1,6000,9000,0,0,0,0,0,0,14,12,,,,100,1
10011405,47,1,2,3,4,4,4,,1141,40,47,5,140,210,0,0,0,0,0,0,14,12,,,,100,1
10011406,48,1,2,4,4,4,4,,1141,40,48,27,200,400,29,200,400,30,200,400,14,12,,,,100,1
10011407,49,1,2,5,4,4,4,,1141,40,49,7,140,210,0,0,0,0,0,0,14,12,,,,100,1
10011408,50,1,2,6,4,4,4,,1141,40,50,13,2,20,0,0,0,0,0,0,14,12,,,,100,1
10011409,51,1,3,7,4,4,4,,1142,40,51,2,600,900,0,0,0,0,0,0,14,12,,,,200,2
10011410,52,1,3,8,4,4,4,,1142,40,52,3,600,900,0,0,0,0,0,0,14,12,,,,200,2
10011411,53,1,3,7,4,4,4,,1143,40,53,11,2,4,0,0,0,0,0,0,14,12,,,,200,2
10011412,54,1,3,8,4,4,4,,1143,40,54,16,2,10,0,0,0,0,0,0,14,12,,,,200,2
10011413,55,1,3,7,4,4,4,,1144,40,55,9,10,20,0,0,0,0,0,0,14,12,,,,200,2
10011414,56,1,3,8,4,4,4,,1144,40,56,10,10,20,0,0,0,0,0,0,14,12,,,,200,2
10011501,57,1,1,1,5,5,5,,,50,57,4,280,420,6,280,420,0,0,0,15,13,,,,300,3
10011502,58,1,1,1,5,5,5,,,50,58,4,280,420,6,280,420,0,0,0,15,13,,,,300,3
10011503,59,1,1,1,5,5,5,,,50,59,4,280,420,6,280,420,0,0,0,15,13,,,,300,3
10011504,60,1,2,2,5,5,5,,1151,50,60,1,8400,12600,0,0,0,0,0,0,15,13,,,,100,1
10011505,61,1,2,3,5,5,5,,1151,50,61,5,196,294,0,0,0,0,0,0,15,13,,,,100,1
10011506,62,1,2,4,5,5,5,,1151,50,62,27,280,560,29,280,560,30,280,560,15,13,,,,100,1
10011507,63,1,2,5,5,5,5,,1151,50,63,7,196,294,0,0,0,0,0,0,15,13,,,,100,1
10011508,64,1,2,6,5,5,5,,1151,50,64,13,2,28,0,0,0,0,0,0,15,13,,,,100,1
10011509,65,1,3,7,5,5,5,,1152,50,65,2,840,1260,0,0,0,0,0,0,15,13,,,,200,2
10011510,66,1,3,8,5,5,5,,1152,50,66,3,840,1260,0,0,0,0,0,0,15,13,,,,200,2
10011511,67,1,3,7,5,5,5,,1153,50,67,11,2,5,0,0,0,0,0,0,15,13,,,,200,2
10011512,68,1,3,8,5,5,5,,1153,50,68,16,2,14,0,0,0,0,0,0,15,13,,,,200,2
10011513,69,1,3,7,5,5,5,,1154,50,69,9,14,28,0,0,0,0,0,0,15,13,,,,200,2
10011514,70,1,3,8,5,5,5,,1154,50,70,10,14,28,0,0,0,0,0,0,15,13,,,,200,2
10101101,71,10,1,1,1,1,1,,,30,71,4,120,180,6,120,180,0,0,0,,,,,,,
10101102,72,10,1,1,1,1,1,,,30,72,4,120,180,6,120,180,0,0,0,,,,,,,
10101103,73,10,1,1,1,1,1,,,30,73,4,120,180,6,120,180,0,0,0,,,,,,,
10101104,74,10,2,2,1,1,1,,10111,30,74,1,3600,5400,0,0,0,0,0,0,,,,,,,
10101105,75,10,2,3,1,1,1,,10111,30,75,5,84,126,0,0,0,0,0,0,,,,,,,
10101106,76,10,2,4,1,1,1,,10111,30,76,27,120,240,29,120,240,30,120,240,,,,,,,
10101107,77,10,2,5,1,1,1,,10111,30,77,7,84,126,0,0,0,0,0,0,,,,,,,
10101108,78,10,2,6,1,1,1,,10111,30,78,13,1,12,0,0,0,0,0,0,,,,,,,
10101109,79,10,3,7,1,1,1,,10112,30,79,2,360,540,0,0,0,0,0,0,,,,,,,
10101110,80,10,3,8,1,1,1,,10112,30,80,3,360,540,0,0,0,0,0,0,,,,,,,
10101111,81,10,3,7,1,1,1,,10113,30,81,11,1,2,0,0,0,0,0,0,,,,,,,
10101112,82,10,3,8,1,1,1,,10113,30,82,16,1,6,0,0,0,0,0,0,,,,,,,
10101113,83,10,3,7,1,1,1,,10114,30,83,9,6,12,0,0,0,0,0,0,,,,,,,
10101114,84,10,3,8,1,1,1,,10114,30,84,10,6,12,0,0,0,0,0,0,,,,,,,
10101201,85,10,1,1,2,2,2,,,60,85,4,144,216,6,144,216,0,0,0,102,101,,,,,
10101202,86,10,1,1,2,2,2,,,60,86,4,144,216,6,144,216,0,0,0,102,101,,,,,
10101203,87,10,1,1,2,2,2,,,60,87,4,144,216,6,144,216,0,0,0,102,101,,,,,
10101204,88,10,2,2,2,2,2,,10121,60,88,1,4320,6480,0,0,0,0,0,0,102,101,,,,,
10101205,89,10,2,3,2,2,2,,10121,60,89,5,100,151,0,0,0,0,0,0,102,101,,,,,
10101206,90,10,2,4,2,2,2,,10121,60,90,27,144,288,29,144,288,30,144,288,102,101,,,,,
10101207,91,10,2,5,2,2,2,,10121,60,91,7,100,151,0,0,0,0,0,0,102,101,,,,,
10101208,92,10,2,6,2,2,2,,10121,60,92,13,1,14,0,0,0,0,0,0,102,101,,,,,
10101209,93,10,3,7,2,2,2,,10122,60,93,2,432,648,0,0,0,0,0,0,102,101,,,,,
10101210,94,10,3,8,2,2,2,,10122,60,94,3,432,648,0,0,0,0,0,0,102,101,,,,,
10101211,95,10,3,7,2,2,2,,10123,60,95,11,1,2,0,0,0,0,0,0,102,101,,,,,
10101212,96,10,3,8,2,2,2,,10123,60,96,16,1,7,0,0,0,0,0,0,102,101,,,,,
10101213,97,10,3,7,2,2,2,,10124,60,97,9,7,14,0,0,0,0,0,0,102,101,,,,,
10101214,98,10,3,8,2,2,2,,10124,60,98,10,7,14,0,0,0,0,0,0,102,101,,,,,
10101301,99,10,1,1,3,3,3,,,90,99,4,180,270,6,180,270,0,0,0,103,101,,,,360,3
10101302,100,10,1,1,3,3,3,,,90,100,4,180,270,6,180,270,0,0,0,103,101,,,,360,3
10101303,101,10,1,1,3,3,3,,,90,101,4,180,270,6,180,270,0,0,0,103,101,,,,360,3
10101304,102,10,2,2,3,3,3,,10131,90,102,1,5400,8100,0,0,0,0,0,0,103,101,,,,120,1
10101305,103,10,2,3,3,3,3,,10131,90,103,5,126,188,0,0,0,0,0,0,103,101,,,,120,1
10101306,104,10,2,4,3,3,3,,10131,90,104,27,180,360,29,180,360,30,180,360,103,101,,,,120,1
10101307,105,10,2,5,3,3,3,,10131,90,105,7,126,188,0,0,0,0,0,0,103,101,,,,120,1
10101308,106,10,2,6,3,3,3,,10131,90,106,13,1,18,0,0,0,0,0,0,103,101,,,,120,1
10101309,107,10,3,7,3,3,3,,10132,90,107,2,540,810,0,0,0,0,0,0,103,101,,,,240,2
10101310,108,10,3,8,3,3,3,,10132,90,108,3,540,810,0,0,0,0,0,0,103,101,,,,240,2
10101311,109,10,3,7,3,3,3,,10133,90,109,11,1,3,0,0,0,0,0,0,103,101,,,,240,2
10101312,110,10,3,8,3,3,3,,10133,90,110,16,1,8,0,0,0,0,0,0,103,101,,,,240,2
10101313,111,10,3,7,3,3,3,,10134,90,111,9,8,18,0,0,0,0,0,0,103,101,,,,240,2
10101314,112,10,3,8,3,3,3,,10134,90,112,10,8,18,0,0,0,0,0,0,103,101,,,,240,2
10101401,113,10,1,1,4,4,4,,,130,113,4,240,360,6,240,360,0,0,0,104,102,,,,360,3
10101402,114,10,1,1,4,4,4,,,130,114,4,240,360,6,240,360,0,0,0,104,102,,,,360,3
10101403,115,10,1,1,4,4,4,,,130,115,4,240,360,6,240,360,0,0,0,104,102,,,,360,3
10101404,116,10,2,2,4,4,4,,10141,130,116,1,7200,10800,0,0,0,0,0,0,104,102,,,,120,1
10101405,117,10,2,3,4,4,4,,10141,130,117,5,168,252,0,0,0,0,0,0,104,102,,,,120,1
10101406,118,10,2,4,4,4,4,,10141,130,118,27,240,480,29,240,480,30,240,480,104,102,,,,120,1
10101407,119,10,2,5,4,4,4,,10141,130,119,7,168,252,0,0,0,0,0,0,104,102,,,,120,1
10101408,120,10,2,6,4,4,4,,10141,130,120,13,2,24,0,0,0,0,0,0,104,102,,,,120,1
10101409,121,10,3,7,4,4,4,,10142,130,121,2,720,1080,0,0,0,0,0,0,104,102,,,,240,2
10101410,122,10,3,8,4,4,4,,10142,130,122,3,720,1080,0,0,0,0,0,0,104,102,,,,240,2
10101411,123,10,3,7,4,4,4,,10143,130,123,11,2,4,0,0,0,0,0,0,104,102,,,,240,2
10101412,124,10,3,8,4,4,4,,10143,130,124,16,2,12,0,0,0,0,0,0,104,102,,,,240,2
10101413,125,10,3,7,4,4,4,,10144,130,125,9,12,24,0,0,0,0,0,0,104,102,,,,240,2
10101414,126,10,3,8,4,4,4,,10144,130,126,10,12,24,0,0,0,0,0,0,104,102,,,,240,2
10101501,127,10,1,1,5,5,5,,,160,127,4,336,504,6,336,504,0,0,0,105,105,,,,360,3
10101502,128,10,1,1,5,5,5,,,160,128,4,336,504,6,336,504,0,0,0,105,103,,,,360,3
10101503,129,10,1,1,5,5,5,,,160,129,4,336,504,6,336,504,0,0,0,105,103,,,,360,3
10101504,130,10,2,2,5,5,5,,10151,160,130,1,10080,15120,0,0,0,0,0,0,105,103,,,,120,1
10101505,131,10,2,3,5,5,5,,10151,160,131,5,235,352,0,0,0,0,0,0,105,103,,,,120,1
10101506,132,10,2,4,5,5,5,,10151,160,132,27,336,672,29,336,672,30,336,672,105,103,,,,120,1
10101507,133,10,2,5,5,5,5,,10151,160,133,7,235,352,0,0,0,0,0,0,105,103,,,,120,1
10101508,134,10,2,6,5,5,5,,10151,160,134,13,2,33,0,0,0,0,0,0,105,103,,,,120,1
10101509,135,10,3,7,5,5,5,,10152,160,135,2,1008,1512,0,0,0,0,0,0,105,103,,,,240,2
10101510,136,10,3,8,5,5,5,,10152,160,136,3,1008,1512,0,0,0,0,0,0,105,103,,,,240,2
10101511,137,10,3,7,5,5,5,,10153,160,137,11,2,6,0,0,0,0,0,0,105,103,,,,240,2
10101512,138,10,3,8,5,5,5,,10153,160,138,16,2,16,0,0,0,0,0,0,105,103,,,,240,2
10101513,139,10,3,7,5,5,5,,10154,160,139,9,16,33,0,0,0,0,0,0,105,103,,,,240,2
10101514,140,10,3,8,5,5,5,,10154,160,140,10,16,33,0,0,0,0,0,0,105,103,,,,240,2
10151101,141,15,1,1,1,1,1,,,40,141,4,144,216,6,144,216,0,0,0,,,,,,,
10151102,142,15,1,1,1,1,1,,,40,142,4,144,216,6,144,216,0,0,0,,,,,,,
10151103,143,15,1,1,1,1,1,,,40,143,4,144,216,6,144,216,0,0,0,,,,,,,
10151104,144,15,2,2,1,1,1,,15111,40,144,1,4320,6480,0,0,0,0,0,0,,,,,,,
10151105,145,15,2,3,1,1,1,,15111,40,145,5,100,151,0,0,0,0,0,0,,,,,,,
10151106,146,15,2,4,1,1,1,,15111,40,146,27,144,288,29,144,288,30,144,288,,,,,,,
10151107,147,15,2,5,1,1,1,,15111,40,147,7,100,151,0,0,0,0,0,0,,,,,,,
10151108,148,15,2,6,1,1,1,,15111,40,148,13,1,14,0,0,0,0,0,0,,,,,,,
10151109,149,15,3,7,1,1,1,,15112,40,149,2,432,648,0,0,0,0,0,0,,,,,,,
10151110,150,15,3,8,1,1,1,,15112,40,150,3,432,648,0,0,0,0,0,0,,,,,,,
10151111,151,15,3,7,1,1,1,,15113,40,151,11,1,2,0,0,0,0,0,0,,,,,,,
10151112,152,15,3,8,1,1,1,,15113,40,152,16,1,7,0,0,0,0,0,0,,,,,,,
10151113,153,15,3,7,1,1,1,,15114,40,153,9,7,14,0,0,0,0,0,0,,,,,,,
10151114,154,15,3,8,1,1,1,,15114,40,154,10,7,14,0,0,0,0,0,0,,,,,,,
10151201,155,15,1,1,2,2,2,,,80,155,4,172,259,6,172,259,0,0,0,152,151,,,,,
10151202,156,15,1,1,2,2,2,,,80,156,4,172,259,6,172,259,0,0,0,152,151,,,,,
10151203,157,15,1,1,2,2,2,,,80,157,4,172,259,6,172,259,0,0,0,152,151,,,,,
10151204,158,15,2,2,2,2,2,,15121,80,158,1,5184,7776,0,0,0,0,0,0,152,151,,,,,
10151205,159,15,2,3,2,2,2,,15121,80,159,5,120,181,0,0,0,0,0,0,152,151,,,,,
10151206,160,15,2,4,2,2,2,,15121,80,160,27,172,345,29,172,345,30,172,345,152,151,,,,,
10151207,161,15,2,5,2,2,2,,15121,80,161,7,120,181,0,0,0,0,0,0,152,151,,,,,
10151208,162,15,2,6,2,2,2,,15121,80,162,13,1,16,0,0,0,0,0,0,152,151,,,,,
10151209,163,15,3,7,2,2,2,,15122,80,163,2,518,777,0,0,0,0,0,0,152,151,,,,,
10151210,164,15,3,8,2,2,2,,15122,80,164,3,518,777,0,0,0,0,0,0,152,151,,,,,
10151211,165,15,3,7,2,2,2,,15123,80,165,11,1,2,0,0,0,0,0,0,152,151,,,,,
10151212,166,15,3,8,2,2,2,,15123,80,166,16,1,8,0,0,0,0,0,0,152,151,,,,,
10151213,167,15,3,7,2,2,2,,15124,80,167,9,8,16,0,0,0,0,0,0,152,151,,,,,
10151214,168,15,3,8,2,2,2,,15124,80,168,10,8,16,0,0,0,0,0,0,152,151,,,,,
10151301,169,15,1,1,3,3,3,,,120,169,4,216,324,6,216,324,0,0,0,153,151,,,,432,4
10151302,170,15,1,1,3,3,3,,,120,170,4,216,324,6,216,324,0,0,0,153,151,,,,432,4
10151303,171,15,1,1,3,3,3,,,120,171,4,216,324,6,216,324,0,0,0,153,151,,,,432,4
10151304,172,15,2,2,3,3,3,,15131,120,172,1,6480,9720,0,0,0,0,0,0,153,151,,,,144,1
10151305,173,15,2,3,3,3,3,,15131,120,173,5,151,225,0,0,0,0,0,0,153,151,,,,144,1
10151306,174,15,2,4,3,3,3,,15131,120,174,27,216,432,29,216,432,30,216,432,153,151,,,,144,1
10151307,175,15,2,5,3,3,3,,15131,120,175,7,151,225,0,0,0,0,0,0,153,151,,,,144,1
10151308,176,15,2,6,3,3,3,,15131,120,176,13,1,21,0,0,0,0,0,0,153,151,,,,144,1
10151309,177,15,3,7,3,3,3,,15132,120,177,2,648,972,0,0,0,0,0,0,153,151,,,,288,2
10151310,178,15,3,8,3,3,3,,15132,120,178,3,648,972,0,0,0,0,0,0,153,151,,,,288,2
10151311,179,15,3,7,3,3,3,,15133,120,179,11,1,3,0,0,0,0,0,0,153,151,,,,288,2
10151312,180,15,3,8,3,3,3,,15133,120,180,16,1,9,0,0,0,0,0,0,153,151,,,,288,2
10151313,181,15,3,7,3,3,3,,15134,120,181,9,9,21,0,0,0,0,0,0,153,151,,,,288,2
10151314,182,15,3,8,3,3,3,,15134,120,182,10,9,21,0,0,0,0,0,0,153,151,,,,288,2
10151401,183,15,1,1,4,4,4,,,150,183,4,288,432,6,288,432,0,0,0,154,152,,,,432,4
10151402,184,15,1,1,4,4,4,,,150,184,4,288,432,6,288,432,0,0,0,154,152,,,,432,4
10151403,185,15,1,1,4,4,4,,,150,185,4,288,432,6,288,432,0,0,0,154,152,,,,432,4
10151404,186,15,2,2,4,4,4,,15141,150,186,1,8640,12960,0,0,0,0,0,0,154,152,,,,144,1
10151405,187,15,2,3,4,4,4,,15141,150,187,5,201,302,0,0,0,0,0,0,154,152,,,,144,1
10151406,188,15,2,4,4,4,4,,15141,150,188,27,288,576,29,288,576,30,288,576,154,152,,,,144,1
10151407,189,15,2,5,4,4,4,,15141,150,189,7,201,302,0,0,0,0,0,0,154,152,,,,144,1
10151408,190,15,2,6,4,4,4,,15141,150,190,13,2,28,0,0,0,0,0,0,154,152,,,,144,1
10151409,191,15,3,7,4,4,4,,15142,150,191,2,864,1296,0,0,0,0,0,0,154,152,,,,288,2
10151410,192,15,3,8,4,4,4,,15142,150,192,3,864,1296,0,0,0,0,0,0,154,152,,,,288,2
10151411,193,15,3,7,4,4,4,,15143,150,193,11,2,4,0,0,0,0,0,0,154,152,,,,288,2
10151412,194,15,3,8,4,4,4,,15143,150,194,16,2,14,0,0,0,0,0,0,154,152,,,,288,2
10151413,195,15,3,7,4,4,4,,15144,150,195,9,14,28,0,0,0,0,0,0,154,152,,,,288,2
10151414,196,15,3,8,4,4,4,,15144,150,196,10,14,28,0,0,0,0,0,0,154,152,,,,288,2
10151501,197,15,1,1,5,5,5,,,190,197,4,403,604,6,403,604,0,0,0,155,153,,,,432,4
10151502,198,15,1,1,5,5,5,,,190,198,4,403,604,6,403,604,0,0,0,155,153,,,,432,4
10151503,199,15,1,1,5,5,5,,,190,199,4,403,604,6,403,604,0,0,0,155,153,,,,432,4
10151504,200,15,2,2,5,5,5,,15151,190,200,1,12096,18144,0,0,0,0,0,0,155,153,,,,144,1
10151505,201,15,2,3,5,5,5,,15151,190,201,5,282,422,0,0,0,0,0,0,155,153,,,,144,1
10151506,202,15,2,4,5,5,5,,15151,190,202,27,403,806,29,403,806,30,403,806,155,153,,,,144,1
10151507,203,15,2,5,5,5,5,,15151,190,203,7,282,422,0,0,0,0,0,0,155,153,,,,144,1
10151508,204,15,2,6,5,5,5,,15151,190,204,13,2,39,0,0,0,0,0,0,155,153,,,,144,1
10151509,205,15,3,7,5,5,5,,15152,190,205,2,1209,1814,0,0,0,0,0,0,155,153,,,,288,2
10151510,206,15,3,8,5,5,5,,15152,190,206,3,1209,1814,0,0,0,0,0,0,155,153,,,,288,2
10151511,207,15,3,7,5,5,5,,15153,190,207,11,2,7,0,0,0,0,0,0,155,153,,,,288,2
10151512,208,15,3,8,5,5,5,,15153,190,208,16,2,19,0,0,0,0,0,0,155,153,,,,288,2
10151513,209,15,3,7,5,5,5,,15154,190,209,9,19,39,0,0,0,0,0,0,155,153,,,,288,2
10151514,210,15,3,8,5,5,5,,15154,190,210,10,19,39,0,0,0,0,0,0,155,153,,,,288,2
10201101,211,20,1,1,1,1,1,,,40,211,4,172,259,6,172,259,0,0,0,,,,,,,
10201102,212,20,1,1,1,1,1,,,40,212,4,172,259,6,172,259,0,0,0,,,,,,,
10201103,213,20,1,1,1,1,1,,,40,213,4,172,259,6,172,259,0,0,0,,,,,,,
10201104,214,20,2,2,1,1,1,,20111,40,214,1,5184,7776,0,0,0,0,0,0,,,,,,,
10201105,215,20,2,3,1,1,1,,20111,40,215,5,120,181,0,0,0,0,0,0,,,,,,,
10201106,216,20,2,4,1,1,1,,20111,40,216,27,172,345,29,172,345,30,172,345,,,,,,,
10201107,217,20,2,5,1,1,1,,20111,40,217,7,120,181,0,0,0,0,0,0,,,,,,,
10201108,218,20,2,6,1,1,1,,20111,40,218,13,1,16,0,0,0,0,0,0,,,,,,,
10201109,219,20,3,7,1,1,1,,20112,40,219,2,518,777,0,0,0,0,0,0,,,,,,,
10201110,220,20,3,8,1,1,1,,20112,40,220,3,518,777,0,0,0,0,0,0,,,,,,,
10201111,221,20,3,7,1,1,1,,20113,40,221,11,1,2,0,0,0,0,0,0,,,,,,,
10201112,222,20,3,8,1,1,1,,20113,40,222,16,1,8,0,0,0,0,0,0,,,,,,,
10201113,223,20,3,7,1,1,1,,20114,40,223,9,8,16,0,0,0,0,0,0,,,,,,,
10201114,224,20,3,8,1,1,1,,20114,40,224,10,8,16,0,0,0,0,0,0,,,,,,,
10201201,225,20,1,1,2,2,2,,,90,225,4,206,310,6,206,310,0,0,0,202,201,,,,,
10201202,226,20,1,1,2,2,2,,,90,226,4,206,310,6,206,310,0,0,0,202,201,,,,,
10201203,227,20,1,1,2,2,2,,,90,227,4,206,310,6,206,310,0,0,0,202,201,,,,,
10201204,228,20,2,2,2,2,2,,20121,90,228,1,6220,9331,0,0,0,0,0,0,202,201,,,,,
10201205,229,20,2,3,2,2,2,,20121,90,229,5,144,217,0,0,0,0,0,0,202,201,,,,,
10201206,230,20,2,4,2,2,2,,20121,90,230,27,206,414,29,206,414,30,206,414,202,201,,,,,
10201207,231,20,2,5,2,2,2,,20121,90,231,7,144,217,0,0,0,0,0,0,202,201,,,,,
10201208,232,20,2,6,2,2,2,,20121,90,232,13,1,19,0,0,0,0,0,0,202,201,,,,,
10201209,233,20,3,7,2,2,2,,20122,90,233,2,621,932,0,0,0,0,0,0,202,201,,,,,
10201210,234,20,3,8,2,2,2,,20122,90,234,3,621,932,0,0,0,0,0,0,202,201,,,,,
10201211,235,20,3,7,2,2,2,,20123,90,235,11,1,2,0,0,0,0,0,0,202,201,,,,,
10201212,236,20,3,8,2,2,2,,20123,90,236,16,1,9,0,0,0,0,0,0,202,201,,,,,
10201213,237,20,3,7,2,2,2,,20124,90,237,9,9,19,0,0,0,0,0,0,202,201,,,,,
10201214,238,20,3,8,2,2,2,,20124,90,238,10,9,19,0,0,0,0,0,0,202,201,,,,,
10201301,239,20,1,1,3,3,3,,,130,239,4,259,388,6,259,388,0,0,0,203,201,,,,518,5
10201302,240,20,1,1,3,3,3,,,130,240,4,259,388,6,259,388,0,0,0,203,201,,,,518,5
10201303,241,20,1,1,3,3,3,,,130,241,4,259,388,6,259,388,0,0,0,203,201,,,,518,5
10201304,242,20,2,2,3,3,3,,20131,130,242,1,7776,11664,0,0,0,0,0,0,203,201,,,,172,1
10201305,243,20,2,3,3,3,3,,20131,130,243,5,181,270,0,0,0,0,0,0,203,201,,,,172,1
10201306,244,20,2,4,3,3,3,,20131,130,244,27,259,518,29,259,518,30,259,518,203,201,,,,172,1
10201307,245,20,2,5,3,3,3,,20131,130,245,7,181,270,0,0,0,0,0,0,203,201,,,,172,1
10201308,246,20,2,6,3,3,3,,20131,130,246,13,1,25,0,0,0,0,0,0,203,201,,,,172,1
10201309,247,20,3,7,3,3,3,,20132,130,247,2,777,1166,0,0,0,0,0,0,203,201,,,,345,3
10201310,248,20,3,8,3,3,3,,20132,130,248,3,777,1166,0,0,0,0,0,0,203,201,,,,345,3
10201311,249,20,3,7,3,3,3,,20133,130,249,11,1,3,0,0,0,0,0,0,203,201,,,,345,3
10201312,250,20,3,8,3,3,3,,20133,130,250,16,1,10,0,0,0,0,0,0,203,201,,,,345,3
10201313,251,20,3,7,3,3,3,,20134,130,251,9,10,25,0,0,0,0,0,0,203,201,,,,345,3
10201314,252,20,3,8,3,3,3,,20134,130,252,10,10,25,0,0,0,0,0,0,203,201,,,,345,3
10201401,253,20,1,1,4,4,4,,,180,253,4,345,518,6,345,518,0,0,0,204,202,,,,518,5
10201402,254,20,1,1,4,4,4,,,180,254,4,345,518,6,345,518,0,0,0,204,202,,,,518,5
10201403,255,20,1,1,4,4,4,,,180,255,4,345,518,6,345,518,0,0,0,204,202,,,,518,5
10201404,256,20,2,2,4,4,4,,20141,180,256,1,10368,15552,0,0,0,0,0,0,204,202,,,,172,1
