id,servant,star,cost,count,costcoin,power,attr,value
10002,10,2,10,60,10000,192,4,192
10003,10,3,10,100,20000,240,4,240
10004,10,4,10,150,40000,304,4,304
10005,10,5,10,200,80000,384,4,384
10006,10,6,10,250,160000,480,4,480
10007,10,7,10,300,320000,592,4,592
10008,10,8,10,350,640000,720,4,720
10009,10,9,10,400,1280000,864,4,864
10010,10,10,10,,,1024,4,1024
11000,11,0,11,100,0,0,5,0
11001,11,1,11,30,5000,160,5,160
11002,11,2,11,60,10000,192,5,192
11003,11,3,11,100,20000,240,5,240
11004,11,4,11,150,40000,304,5,304
11005,11,5,11,200,80000,384,5,384
11006,11,6,11,250,160000,480,5,480
11007,11,7,11,300,320000,592,5,592
11008,11,8,11,350,640000,720,5,720
11009,11,9,11,400,1280000,864,5,864
11010,11,10,11,,,1032,5,1032
13000,13,0,13,100,0,0,4,0
13001,13,1,13,30,5000,160,4,160
13002,13,2,13,60,10000,192,4,192
13003,13,3,13,100,20000,240,4,240
13004,13,4,13,150,40000,304,4,304
13005,13,5,13,200,80000,384,4,384
13006,13,6,13,250,160000,480,4,480
13007,13,7,13,300,320000,592,4,592
13008,13,8,13,350,640000,720,4,720
13009,13,9,13,400,1280000,864,4,864
13010,13,10,13,,,1024,4,1024
14000,14,0,14,100,0,0,4,0
14001,14,1,14,30,5000,160,4,160
14002,14,2,14,60,10000,192,4,192
14003,14,3,14,100,20000,240,4,240
14004,14,4,14,150,40000,304,4,304
14005,14,5,14,200,80000,384,4,384
14006,14,6,14,250,160000,480,4,480
14007,14,7,14,300,320000,592,4,592
14008,14,8,14,350,640000,720,4,720
14009,14,9,14,400,1280000,864,4,864
14010,14,10,14,,,1024,4,1024
15000,15,0,14,100,0,0,4,0
15001,15,1,14,30,5000,160,4,160
15002,15,2,14,60,10000,192,4,192
15003,15,3,14,100,20000,240,4,240
15004,15,4,14,150,40000,304,4,304
15005,15,5,14,200,80000,384,4,384
15006,15,6,14,250,160000,480,4,480
15007,15,7,14,300,320000,592,4,592
15008,15,8,14,350,640000,720,4,720
15009,15,9,14,400,1280000,864,4,864
15010,15,10,14,,,1024,4,1024
17000,17,0,17,100,0,0,1,0
17001,17,1,17,30,5000,241,1,4470
17002,17,2,17,60,10000,289,1,5364
17003,17,3,17,100,20000,362,1,6705
17004,17,4,17,150,40000,458,1,8493
17005,17,5,17,200,80000,579,1,10728
17006,17,6,17,250,160000,724,1,13410
17007,17,7,17,300,320000,893,1,16539
17008,17,8,17,350,640000,1086,1,20115
17009,17,9,17,400,1280000,1303,1,24138
17010,17,10,17,,,1545,1,28615
18000,18,0,18,100,0,0,4,0
18001,18,1,18,30,5000,112,4,112
18002,18,2,18,60,10000,134,4,134
18003,18,3,18,100,20000,168,4,168
18004,18,4,18,150,40000,212,4,212
18005,18,5,18,200,80000,268,4,268
18006,18,6,18,250,160000,336,4,336
18007,18,7,18,300,320000,414,4,414
18008,18,8,18,350,640000,504,4,504
18009,18,9,18,400,1280000,604,4,604
18010,18,10,18,,,716,4,716
19000,19,0,19,100,0,0,4,0
19001,19,1,19,30,5000,112,4,112
19002,19,2,19,60,10000,134,4,134
19003,19,3,19,100,20000,168,4,168
19004,19,4,19,150,40000,212,4,212
19005,19,5,19,200,80000,268,4,268
19006,19,6,19,250,160000,336,4,336
19007,19,7,19,300,320000,414,4,414
19008,19,8,19,350,640000,504,4,504
19009,19,9,19,400,1280000,604,4,604
19010,19,10,19,,,716,4,716
20000,20,0,20,100,0,0,7,0
20001,20,1,20,30,5000,76,7,99
20002,20,2,20,60,10000,90,7,118
20003,20,3,20,100,20000,113,7,148
20004,20,4,20,150,40000,144,7,188
20005,20,5,20,200,80000,182,7,237
20006,20,6,20,250,160000,228,7,297
20007,20,7,20,300,320000,281,7,366
20008,20,8,20,350,640000,342,7,445
20009,20,9,20,400,1280000,411,7,534
20010,20,10,20,,,489,7,636
21000,21,0,21,100,0,0,1,0
21001,21,1,21,30,5000,80,1,1490
21002,21,2,21,60,10000,96,1,1788
21003,21,3,21,100,20000,120,1,2235
21004,21,4,21,150,40000,152,1,2831
21005,21,5,21,200,80000,193,1,3576
21006,21,6,21,250,160000,241,1,4470
21007,21,7,21,300,320000,297,1,5513
21008,21,8,21,350,640000,362,1,6705
21009,21,9,21,400,1280000,434,1,8046
21010,21,10,21,,,515,1,9538
22000,22,0,22,100,0,0,7,0
22001,22,1,22,30,5000,106,7,138
22002,22,2,22,60,10000,127,7,166
22003,22,3,22,100,20000,159,7,207
22004,22,4,22,150,40000,202,7,263
22005,22,5,22,200,80000,255,7,332
22006,22,6,22,250,160000,319,7,415
22007,22,7,22,300,320000,394,7,512
22008,22,8,22,350,640000,479,7,623
22009,22,9,22,400,1280000,575,7,748
22010,22,10,22,,,685,7,890
24000,24,0,24,100,0,0,5,0
24001,24,1,24,30,5000,112,5,112
24002,24,2,24,60,10000,134,5,134
24003,24,3,24,100,20000,168,5,168
24004,24,4,24,150,40000,212,5,212
24005,24,5,24,200,80000,268,5,268
24006,24,6,24,250,160000,336,5,336
24007,24,7,24,300,320000,414,5,414
24008,24,8,24,350,640000,504,5,504
24009,24,9,24,400,1280000,604,5,604
24010,24,10,24,,,722,5,722
26000,26,0,26,100,0,0,6,0
26001,26,1,26,30,5000,106,6,138
26002,26,2,26,60,10000,127,6,166
26003,26,3,26,100,20000,159,6,207
26004,26,4,26,150,40000,202,6,263
26005,26,5,26,200,80000,255,6,332
26006,26,6,26,250,160000,319,6,415
26007,26,7,26,300,320000,394,6,512
26008,26,8,26,350,640000,479,6,623
26009,26,9,26,400,1280000,575,6,748
26010,26,10,26,,,685,6,890
27000,27,0,27,100,0,0,4,0
27001,27,1,27,30,5000,80,4,80
27002,27,2,27,60,10000,96,4,96
27003,27,3,27,100,20000,120,4,120
27004,27,4,27,150,40000,152,4,152
27005,27,5,27,200,80000,192,4,192
27006,27,6,27,250,160000,240,4,240
27007,27,7,27,300,320000,296,4,296
27008,27,8,27,350,640000,360,4,360
27009,27,9,27,400,1280000,432,4,432
27010,27,10,27,,,512,4,512
28000,28,0,28,100,0,0,5,0
28001,28,1,28,30,5000,80,5,80
28002,28,2,28,60,10000,96,5,96
28003,28,3,28,100,20000,120,5,120
28004,28,4,28,150,40000,152,5,152
28005,28,5,28,200,80000,192,5,192
28006,28,6,28,250,160000,240,5,240
28007,28,7,28,300,320000,296,5,296
28008,28,8,28,350,640000,360,5,360
28009,28,9,28,400,1280000,432,5,432
28010,28,10,28,,,516,5,516
29000,29,0,29,100,0,0,1,0
29001,29,1,29,30,5000,80,1,1490
29002,29,2,29,60,10000,96,1,1788
29003,29,3,29,100,20000,120,1,2235
29004,29,4,29,150,40000,152,1,2831
29005,29,5,29,200,80000,193,1,3576
29006,29,6,29,250,160000,241,1,4470
29007,29,7,29,300,320000,297,1,5513
29008,29,8,29,350,640000,362,1,6705
29009,29,9,29,400,1280000,434,1,8046
29010,29,10,29,,,515,1,9538
30000,30,0,30,100,0,0,7,0
30001,30,1,30,30,5000,106,7,138
30002,30,2,30,60,10000,127,7,166
30003,30,3,30,100,20000,159,7,207
30004,30,4,30,150,40000,202,7,263
30005,30,5,30,200,80000,255,7,332
30006,30,6,30,250,160000,319,7,415
30007,30,7,30,300,320000,394,7,512
30008,30,8,30,350,640000,479,7,623
30009,30,9,30,400,1280000,575,7,748
30010,30,10,30,,,685,7,890
31000,31,0,31,100,0,0,5,0
31001,31,1,31,30,5000,112,5,112
31002,31,2,31,60,10000,134,5,134
31003,31,3,31,100,20000,168,5,168
31004,31,4,31,150,40000,212,5,212
31005,31,5,31,200,80000,268,5,268
31006,31,6,31,250,160000,336,5,336
31007,31,7,31,300,320000,414,5,414
31008,31,8,31,350,640000,504,5,504
31009,31,9,31,400,1280000,604,5,604
31010,31,10,31,,,722,5,722
32000,32,0,32,100,0,0,1,0
32001,32,1,32,30,5000,80,1,1490
32002,32,2,32,60,10000,96,1,1788
32003,32,3,32,100,20000,120,1,2235
32004,32,4,32,150,40000,152,1,2831
32005,32,5,32,200,80000,193,1,3576
32006,32,6,32,250,160000,241,1,4470
32007,32,7,32,300,320000,297,1,5513
32008,32,8,32,350,640000,362,1,6705
32009,32,9,32,400,1280000,434,1,8046
32010,32,10,32,,,515,1,9538
33000,33,0,33,100,0,0,1,0
33001,33,1,33,30,5000,80,1,1490
33002,33,2,33,60,10000,96,1,1788
33003,33,3,33,100,20000,120,1,2235
33004,33,4,33,150,40000,152,1,2831
33005,33,5,33,200,80000,193,1,3576
33006,33,6,33,250,160000,241,1,4470
33007,33,7,33,300,320000,297,1,5513
33008,33,8,33,350,640000,362,1,6705
33009,33,9,33,400,1280000,434,1,8046
33010,33,10,33,,,515,1,9538
36000,36,0,36,100,0,0,1,0
36001,36,1,36,30,5000,112,1,2086
36002,36,2,36,60,10000,135,1,2503
36003,36,3,36,100,20000,168,1,3129
36004,36,4,36,150,40000,214,1,3963
36005,36,5,36,200,80000,270,1,5006
36006,36,6,36,250,160000,337,1,6258
36007,36,7,36,300,320000,416,1,7718
36008,36,8,36,350,640000,506,1,9387
36009,36,9,36,400,1280000,608,1,11264
36010,36,10,36,,,721,1,13354
39000,39,0,39,100,0,0,1,0
39001,39,1,39,30,5000,80,1,1490
39002,39,2,39,60,10000,96,1,1788
39003,39,3,39,100,20000,120,1,2235
39004,39,4,39,150,40000,152,1,2831
39005,39,5,39,200,80000,193,1,3576
39006,39,6,39,250,160000,241,1,4470
39007,39,7,39,300,320000,297,1,5513
39008,39,8,39,350,640000,362,1,6705
39009,39,9,39,400,1280000,434,1,8046
39010,39,10,39,,,515,1,9538
40000,40,0,40,100,0,0,5,0
40001,40,1,40,30,5000,112,5,112
40002,40,2,40,60,10000,134,5,134
40003,40,3,40,100,20000,168,5,168
40004,40,4,40,150,40000,212,5,212
40005,40,5,40,200,80000,268,5,268
40006,40,6,40,250,160000,336,5,336
40007,40,7,40,300,320000,414,5,414
40008,40,8,40,350,640000,504,5,504
40009,40,9,40,400,1280000,604,5,604
40010,40,10,40,,,722,5,722
41000,41,0,41,100,0,0,5,0
41001,41,1,41,30,5000,112,5,112
41002,41,2,41,60,10000,134,5,134
41003,41,3,41,100,20000,168,5,168
41004,41,4,41,150,40000,212,5,212
41005,41,5,41,200,80000,268,5,268
41006,41,6,41,250,160000,336,5,336
41007,41,7,41,300,320000,414,5,414
41008,41,8,41,350,640000,504,5,504
41009,41,9,41,400,1280000,604,5,604
41010,41,10,41,,,722,5,722
42000,42,0,42,100,0,0,1,0
42001,42,1,42,30,5000,160,1,2980
42002,42,2,42,60,10000,193,1,3576
42003,42,3,42,100,20000,241,1,4470
42004,42,4,42,150,40000,305,1,5662
42005,42,5,42,200,80000,386,1,7152
42006,42,6,42,250,160000,482,1,8940
42007,42,7,42,300,320000,595,1,11026
42008,42,8,42,350,640000,724,1,13410
42009,42,9,42,400,1280000,868,1,16092
42010,42,10,42,,,1030,1,19077
45000,45,0,45,100,0,0,7,0
45001,45,1,45,30,5000,152,7,198
45002,45,2,45,60,10000,182,7,237
45003,45,3,45,100,20000,228,7,297
45004,45,4,45,150,40000,289,7,376
45005,45,5,45,200,80000,365,7,475
45006,45,6,45,250,160000,457,7,594
45007,45,7,45,300,320000,563,7,732
45008,45,8,45,350,640000,686,7,891
45009,45,9,45,400,1280000,823,7,1069
45010,45,10,45,,,979,7,1272
46000,46,0,46,100,0,0,1,0
46001,46,1,46,30,5000,160,1,2980
46002,46,2,46,60,10000,193,1,3576
46003,46,3,46,100,20000,241,1,4470
46004,46,4,46,150,40000,305,1,5662
46005,46,5,46,200,80000,386,1,7152
46006,46,6,46,250,160000,482,1,8940
46007,46,7,46,300,320000,595,1,11026
46008,46,8,46,350,640000,724,1,13410
46009,46,9,46,400,1280000,868,1,16092
46010,46,10,46,,,1030,1,19077
47000,47,0,47,100,0,0,5,0
47001,47,1,47,30,5000,80,5,80
47002,47,2,47,60,10000,96,5,96
47003,47,3,47,100,20000,120,5,120
47004,47,4,47,150,40000,152,5,152
47005,47,5,47,200,80000,192,5,192
47006,47,6,47,250,160000,240,5,240
47007,47,7,47,300,320000,296,5,296
47008,47,8,47,350,640000,360,5,360
47009,47,9,47,400,1280000,432,5,432
47010,47,10,47,,,516,5,516
48000,48,0,48,100,0,0,5,0
48001,48,1,48,30,5000,112,5,112
48002,48,2,48,60,10000,134,5,134
48003,48,3,48,100,20000,168,5,168
48004,48,4,48,150,40000,212,5,212
48005,48,5,48,200,80000,268,5,268
48006,48,6,48,250,160000,336,5,336
48007,48,7,48,300,320000,414,5,414
48008,48,8,48,350,640000,504,5,504
48009,48,9,48,400,1280000,604,5,604
48010,48,10,48,,,722,5,722
49000,49,0,49,100,0,0,1,0
49001,49,1,49,30,5000,160,1,2980
49002,49,2,49,60,10000,193,1,3576
49003,49,3,49,100,20000,241,1,4470
49004,49,4,49,150,40000,305,1,5662
49005,49,5,49,200,80000,386,1,7152
49006,49,6,49,250,160000,482,1,8940
49007,49,7,49,300,320000,595,1,11026
49008,49,8,49,350,640000,724,1,13410
49009,49,9,49,400,1280000,868,1,16092
49010,49,10,49,,,1030,1,19077
50000,50,0,50,100,0,0,6,0
50001,50,1,50,30,5000,106,6,138
50002,50,2,50,60,10000,127,6,166
50003,50,3,50,100,20000,159,6,207
50004,50,4,50,150,40000,202,6,263
50005,50,5,50,200,80000,255,6,332
50006,50,6,50,250,160000,319,6,415
50007,50,7,50,300,320000,394,6,512
50008,50,8,50,350,640000,479,6,623
50009,50,9,50,400,1280000,575,6,748
50010,50,10,50,,,685,6,890
53000,53,0,53,100,0,0,6,0
53001,53,1,53,30,5000,152,6,198
53002,53,2,53,60,10000,182,6,237
53003,53,3,53,100,20000,228,6,297
53004,53,4,53,150,40000,289,6,376
53005,53,5,53,200,80000,365,6,475
53006,53,6,53,250,160000,457,6,594
53007,53,7,53,300,320000,563,6,732
53008,53,8,53,350,640000,686,6,891
53009,53,9,53,400,1280000,823,6,1069
53010,53,10,53,,,979,6,1272
56000,56,0,56,100,0,0,4,0
56001,56,1,56,30,5000,112,4,112
56002,56,2,56,60,10000,134,4,134
56003,56,3,56,100,20000,168,4,168
56004,56,4,56,150,40000,212,4,212
56005,56,5,56,200,80000,268,4,268
56006,56,6,56,250,160000,336,4,336
56007,56,7,56,300,320000,414,4,414
56008,56,8,56,350,640000,504,4,504
56009,56,9,56,400,1280000,604,4,604
56010,56,10,56,,,716,4,716
58000,58,0,58,100,0,0,7,0
58001,58,1,58,30,5000,106,7,138
58002,58,2,58,60,10000,127,7,166
58003,58,3,58,100,20000,159,7,207
58004,58,4,58,150,40000,202,7,263
58005,58,5,58,200,80000,255,7,332
58006,58,6,58,250,160000,319,7,415
58007,58,7,58,300,320000,394,7,512
58008,58,8,58,350,640000,479,7,623
58009,58,9,58,400,1280000,575,7,748
58010,58,10,58,,,685,7,890
60000,60,0,60,100,0,0,1,0
60001,60,1,60,30,5000,160,1,2980
60002,60,2,60,60,10000,193,1,3576
60003,60,3,60,100,20000,241,1,4470
60004,60,4,60,150,40000,305,1,5662
60005,60,5,60,200,80000,386,1,7152
60006,60,6,60,250,160000,482,1,8940
60007,60,7,60,300,320000,595,1,11026
60008,60,8,60,350,640000,724,1,13410
60009,60,9,60,400,1280000,868,1,16092
60010,60,10,60,,,1030,1,19077
61000,61,0,61,100,0,0,5,0
61001,61,1,61,30,5000,240,5,240
61002,61,2,61,60,10000,288,5,288
61003,61,3,61,100,20000,360,5,360
61004,61,4,61,150,40000,456,5,456
61005,61,5,61,200,80000,576,5,576
61006,61,6,61,250,160000,720,5,720
61007,61,7,61,300,320000,888,5,888
61008,61,8,61,350,640000,1080,5,1080
61009,61,9,61,400,1280000,1296,5,1296
61010,61,10,61,,,1549,5,1549
62000,62,0,62,100,0,0,5,0
62001,62,1,62,30,5000,240,5,240
62002,62,2,62,60,10000,288,5,288
62003,62,3,62,100,20000,360,5,360
62004,62,4,62,150,40000,456,5,456
62005,62,5,62,200,80000,576,5,576
62006,62,6,62,250,160000,720,5,720
62007,62,7,62,300,320000,888,5,888
62008,62,8,62,350,640000,1080,5,1080
62009,62,9,62,400,1280000,1296,5,1296
62010,62,10,62,,,1549,5,1549
63000,63,0,63,100,0,0,5,0
63001,63,1,63,30,5000,240,5,240
63002,63,2,63,60,10000,288,5,288
63003,63,3,63,100,20000,360,5,360
63004,63,4,63,150,40000,456,5,456
63005,63,5,63,200,80000,576,5,576
63006,63,6,63,250,160000,720,5,720
63007,63,7,63,300,320000,888,5,888
63008,63,8,63,350,640000,1080,5,1080
63009,63,9,63,400,1280000,1296,5,1296
63010,63,10,63,,,1549,5,1549
64000,64,0,63,100,0,0,5,0
64001,64,1,63,30,5000,240,5,240
64002,64,2,63,60,10000,288,5,288
64003,64,3,63,100,20000,360,5,360
64004,64,4,63,150,40000,456,5,456
64005,64,5,63,200,80000,576,5,576
64006,64,6,63,250,160000,720,5,720
64007,64,7,63,300,320000,888,5,888
64008,64,8,63,350,640000,1080,5,1080
64009,64,9,63,400,1280000,1296,5,1296
64010,64,10,63,,,1549,5,1549
66000,66,0,63,100,0,0,4,0
66001,66,1,63,30,5000,240,4,240
66002,66,2,63,60,10000,288,4,288
66003,66,3,63,100,20000,360,4,360
66004,66,4,63,150,40000,456,4,456
66005,66,5,63,200,80000,576,4,576
66006,66,6,63,250,160000,720,4,720
66007,66,7,63,300,320000,888,4,888
66008,66,8,63,350,640000,1080,4,1080
66009,66,9,63,400,1280000,1296,4,1296
66010,66,10,63,,,1536,4,1536
74000,74,0,63,100,0,0,4,0
74001,74,1,63,30,5000,240,4,240
74002,74,2,63,60,10000,288,4,288
74003,74,3,63,100,20000,360,4,360
74004,74,4,63,150,40000,456,4,456
74005,74,5,63,200,80000,576,4,576
74006,74,6,63,250,160000,720,4,720
74007,74,7,63,300,320000,888,4,888
74008,74,8,63,350,640000,1080,4,1080
74009,74,9,63,400,1280000,1296,4,1296
74010,74,10,63,,,1536,4,1536
