id,monsterid,name,sect,quality,skillid,in_effectid,out_effectid,PicOffset,ResOffset,PicRotate,rate,outType,param1,param2,maxstar,maxfloor,count,lucky,desc,lifelight,Res,sex,awakenstar1,effect1,awakenstar2,effect2,awakenstar3,effect3,des1,des2,des3,handbook_bigxy,handbook_bigscale,handbook_bigrotate,handbook_smallxy,handbook_smallscale,handbook_smallrotate,story1,story1opencondition,story2,story2opencondition,story3,story3opencondition
49,10049,小丑北斗,5,4,1004923,12,13,"0,0","185,50",0,1500,0,2,0,10,5,80,1017,傀儡师的亲卫队之一|代表暴虐|行事诡秘|出手狠辣|,3,monster0049,1,3,1;30;150,6,2;1000,7,3;99,增加150点中毒抗性,出现概率增加10%,令目标中毒，每3秒造成普通攻击50%的伤害，持续10秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>你跑啊！<row><color=207,178,101>有种就跑啊！<row><color=207,178,101>那样伤口流血就更多了…<row><color=207,178,101>对！<row><color=207,178,101>愤怒！<row><color=207,178,101>再愤怒一点！<row><color=207,178,101>我和罗汉那个软绵绵的家伙可不一样。<row><color=207,178,101>你的愤怒，会让我更强大！","3,49,9;佣兵小丑北斗等级达到9级","18<row><color=207,178,101>不，那不是真的！<row><color=207,178,101>你们应该被愤怒驱策，<row><color=207,178,101>终日活在对鲜血的渴望中！<row><color=207,178,101>愤怒会让你们精疲力竭，毫无获胜的希望！<row><color=207,178,101>而不是这样，战胜了它！<row><color=207,178,101>罗汉！罗汉！<row><color=207,178,101>快来帮我！","3,49,15;佣兵小丑北斗等级达到15级",,
53,10053,唐明,3,4,1005323,12,13,"0,0","200,50",0,800,0,2,0,10,5,80,1006,督宗弟子|星罗班众弟子的师傅|面冷心热|是一位严师|,3,monster0053,1,2,1;29;150,5,2;700,7,3;100,增加150点减速抗性,出现概率增加7%,减少目标移动速度50%，持续5秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>我们做错了事，<row><color=207,178,101>可以在后悔中吸取教训<row><color=207,178,101>但是，错了就是错了，<row><color=207,178,101>必须要为错误付出代价<row><color=207,178,101>这里是战场，<row><color=207,178,101>一步失误便可能全盘皆输<row><color=207,178,101>弟子犯的错，<row><color=207,178,101>让我这个做师傅来弥补吧……<row><color=207,178,101>孩子们，<row><color=207,178,101>后面就靠你们自己走了。","3,53,9;佣兵唐明等级达到9级","18<row><color=207,178,101>我会夷平元初锣楼，<row><color=207,178,101>将它归于尘土。<row><color=207,178,101>没有猫能阻碍我的使命。<row><color=207,178,101>京剧猫的时代必将过去，<row><color=207,178,101>混沌才是未来。<row><color=207,178,101>你们妄想阻止黯大人，<row><color=207,178,101>那我就埋葬你们。<row><color=207,178,101>这是必然的结局。","5,53,5;佣兵唐明层级达到5级",,
60,10060,铁面,3,4,1006023,12,13,"0,0","200,50",0,1200,0,2,0,10,5,80,1019,督宗宗主|铁面无私|身负督查天下之职|经常微服私访|,3,monster0060,1,2,1;27;150,5,2;800,7,3;101,增加150点眩晕抗性,出现概率增加8%,减少目标20%普通攻击和技能攻击，持续8秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>没错，<row><color=207,178,101>是小黑的踪迹，它来过这里。<row><color=207,178,101>追魂、夺命，<row><color=207,178,101>你们两个在这里建立营地。<row><color=207,178,101>我要你们两个守住这里。<row><color=207,178,101>派弟子告诉无情，<row><color=207,178,101>我们需要更多身经百战的弟子。<row><color=207,178,101>我继续向西，追踪小黑。","3,60,9;佣兵铁面等级达到9级","18<row><color=207,178,101>黯大人已经苏醒<row><color=207,178,101>京剧猫们，<row><color=207,178,101>你们将受到无情的审判<row><color=207,178,101>你们注定逃不脱<row><color=207,178,101>不久之后，<row><color=207,178,101>黯大人就会统治整个猫土大陆。
","2,50305,0;通关十二宗宫督宗宗主",,
61,10061,银婆婆,9,4,1006123,12,13,"0,0","200,50",0,1400,2,0,0,10,5,80,1004,唱宗宗主|星罗班金婆婆的妹妹|手中木杖|蕴含神奇的力量|,3,monster0061,0,2,1;27;150,5,2;900,7,3;102,增加150点眩晕抗性,出现概率增加9%,灼烧目标，每3秒造成普通攻击50%的伤害，持续10秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>见到你们前来，<row><color=207,178,101>老身甚为欣慰。<row><color=207,178,101>十年之前的娃娃，现在都长大了。<row><color=207,178,101>老身和董王爷，<row><color=207,178,101>当年的安排没有白费。<row><color=207,178,101>真是太好了。","3,61,9;佣兵银婆婆等级达到9级","18<row><color=207,178,101>我职责所在无法离开宗门，<row><color=207,178,101>但是姐姐你可以。<row><color=207,178,101>带上这些孩子，找个地方躲起来。<row><color=207,178,101>不要让黯找到你们。<row><color=207,178,101>你们就是京剧猫的种子！<row><color=207,178,101>猫土只要还有立志成为京剧猫的弟子，<row><color=207,178,101>就还有希望。","2,50905,0;通关十二宗宫唱宗宗主",,
62,10062,墨兰,7,4,1006223,12,13,"0,0","195,50",0,1400,1,2,400;1,10,5,80,1018,身宗宗主|小青的母亲|流云水袖以柔克刚|,3,monster0062,0,2,1;27;150,5,2;900,7,3;103,增加150点眩晕抗性,出现概率增加9%,令目标中毒，每3秒造成普通攻击50%的伤害，持续10秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>妾身是这身宗宗主，<row><color=207,178,101>也是小青的母亲。<row><color=207,178,101>身宗世代守护这里的水脉。<row><color=207,178,101>直到最近，<row><color=207,178,101>突然有大量混沌降入溪流，<row><color=207,178,101>污染了这里。<row><color=207,178,101>妾身吸入混沌想要净化水源。<row><color=207,178,101>谁知道这些东西<row><color=207,178,101>竟然让妾身迷失了本性……","3,62,9;佣兵墨兰等级达到9级","18<row><color=207,178,101>我注视水面，<row><color=207,178,101>却看不见我的倒影……<row><color=207,178,101>你们竟敢扰乱这水流？<row><color=207,178,101>我决不允许！<row><color=207,178,101>水流，应我召唤！<row><color=207,178,101>看那湍流之水的力量！<row><color=207,178,101>深渊中的洪水会淹没你们！","2,50705,0;通关十二宗宫身宗宗主",,
63,10063,无情,4,4,1006323,12,13,"0,0","200,50",0,1200,2,0,100,10,5,80,1019,判宗宗主|断狱无情|手中铁签|判人生死|,3,monster0063,1,2,1;27;150,5,2;800,7,3;104,增加150点眩晕抗性,出现概率增加8%,减少目标移动速度50%，持续5秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>铁面带着两宗弟子去了那么久<row><color=207,178,101>也不知是否找到小黑的行踪<row><color=207,178,101>这小黑明明是个不世出的天才<row><color=207,178,101>却因为野心，堕入混沌<row><color=207,178,101>还弄出这么大的乱子<row><color=207,178,101>真是猫土，和我京剧猫的灾难<row><color=207,178,101>嗯？找到小黑了？<row><color=207,178,101>好，我马上派出弟子接应。","3,63,9;佣兵无情等级达到9级","18<row><color=207,178,101>这是怎么回事？<row><color=207,178,101>我没有料到会有人来。<row><color=207,178,101>正如你们看到的，<row><color=207,178,101>我现在有别的事情要忙。<row><color=207,178,101>我正在重新制定猫土的律法。<row><color=207,178,101>不过没关系，作为一个主人，<row><color=207,178,101>我会用自己的方式热情的招待你们…… ","2,50405,0;通关十二宗宫判宗宗主",,
64,10064,董王爷,8,4,1006423,12,13,"0,0","200,40",0,1000,0,2,0,10,5,80,1004,步宗宗主|为人豪爽|喜欢开玩笑|看似身材臃肿|却速度奇快|,3,monster0064,1,2,1;27;150,5,2;800,7,3;105,增加150点眩晕抗性,出现概率增加8%,造成目标晕眩0.5秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>哦？<row><color=207,178,101>元初锣楼就在咚锵镇？<row><color=207,178,101>怪不得，那边会有能隔绝混沌的结界。<row><color=207,178,101>当年，猫土大战，<row><color=207,178,101>猫土到处都是魔物，<row><color=207,178,101>我们步宗和唱宗只能竭力自保。<row><color=207,178,101>为了以防万一，保存京剧猫的火种。<row><color=207,178,101>我们让金婆婆带着最小的四个京剧猫<row><color=207,178,101>去咚锵镇隐藏起来。","3,64,9;佣兵董王爷等级达到9级","18<row><color=207,178,101>督宗和判宗突然断了音讯？<row><color=207,178,101>他们两宗负责追捕小黑，<row><color=207,178,101>出事的话这事小不了……<row><color=207,178,101>来啊，<row><color=207,178,101>通知其余各宗宗主让他们小心戒备。<row><color=207,178,101>从今日起封闭宗门，召回在外的弟子。<row><color=207,178,101>步宗宗内弟子，没我手令不得出门！","2,50805,0;通关十二宗宫步宗宗主",,
66,10066,关公,8,4,1006623,12,13,"0,0","200,40",0,1000,2,0,100,10,5,80,,步宗宗主|为人豪爽|喜欢开玩笑|看似身材臃肿|却速度奇快|,3,monster0066,1,2,1;27;150,5,2;800,7,3;105,增加150点眩晕抗性,出现概率增加8%,造成目标晕眩0.5秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>哦？<row><color=207,178,101>元初锣楼就在咚锵镇？<row><color=207,178,101>怪不得，那边会有能隔绝混沌的结界。<row><color=207,178,101>当年，猫土大战，<row><color=207,178,101>猫土到处都是魔物，<row><color=207,178,101>我们步宗和唱宗只能竭力自保。<row><color=207,178,101>为了以防万一，保存京剧猫的火种。<row><color=207,178,101>我们让金婆婆带着最小的四个京剧猫<row><color=207,178,101>去咚锵镇隐藏起来。","3,64,9;佣兵董王爷等级达到9级","18<row><color=207,178,101>督宗和判宗突然断了音讯？<row><color=207,178,101>他们两宗负责追捕小黑，<row><color=207,178,101>出事的话这事小不了……<row><color=207,178,101>来啊，<row><color=207,178,101>通知其余各宗宗主让他们小心戒备。<row><color=207,178,101>从今日起封闭宗门，召回在外的弟子。<row><color=207,178,101>步宗宗内弟子，没我手令不得出门！","2,50805,0;通关十二宗宫步宗宗主",,
74,10074,打宗宗主,8,4,1007423,12,13,"0,0","200,40",0,1000,0,2,0,10,5,80,,步宗宗主|为人豪爽|喜欢开玩笑|看似身材臃肿|却速度奇快|,3,monster0074,1,2,1;27;150,5,2;800,7,3;105,增加150点眩晕抗性,出现概率增加8%,造成目标晕眩0.5秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>哦？<row><color=207,178,101>元初锣楼就在咚锵镇？<row><color=207,178,101>怪不得，那边会有能隔绝混沌的结界。<row><color=207,178,101>当年，猫土大战，<row><color=207,178,101>猫土到处都是魔物，<row><color=207,178,101>我们步宗和唱宗只能竭力自保。<row><color=207,178,101>为了以防万一，保存京剧猫的火种。<row><color=207,178,101>我们让金婆婆带着最小的四个京剧猫<row><color=207,178,101>去咚锵镇隐藏起来。","3,64,9;佣兵董王爷等级达到9级","18<row><color=207,178,101>督宗和判宗突然断了音讯？<row><color=207,178,101>他们两宗负责追捕小黑，<row><color=207,178,101>出事的话这事小不了……<row><color=207,178,101>来啊，<row><color=207,178,101>通知其余各宗宗主让他们小心戒备。<row><color=207,178,101>从今日起封闭宗门，召回在外的弟子。<row><color=207,178,101>步宗宗内弟子，没我手令不得出门！","2,50805,0;通关十二宗宫步宗宗主",,
5,10005,魔化猫,12,3,1000523,12,13,"0,0","205,50",0,1400,0,2,0,10,5,80,1002,被混沌侵蚀的猫土居民|力大无穷但没有理智|,2,monster0005,1,3,1;27;100,6,2;1000,,,增加100点眩晕抗性,出现概率增加10%,,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>茄子三文，豆角两文二，<row><color=207,178,101>再加上特价的八钱蒜头，<row><color=207,178,101>今天又省下了一文钱！<row><color=207,178,101>哈哈哈！<row><color=207,178,101>唔，晚上来点鱼丸么？<row><color=207,178,101>烤鱼好像也不错啊。","3,5,6;佣兵魔化猫等级达到6级","18<row><color=207,178,101>讨厌的家伙，<row><color=207,178,101>我会让你们吃苦头的。<row><color=207,178,101>跟我作对的人都不会有好下场！<row><color=207,178,101>让我们来做个了断吧！","1,10312,0;通关章节关卡第三章 第12关",,
18,10018,铁胆,12,3,1001823,12,13,"0,0","195,50",0,1600,0,2,0,10,5,80,1002,性格暴躁的京剧猫|虽然赤手空拳|但势大力沉|不好对付|,2,monster0018,1,3,1;27;100,6,2;1100,,,增加100点眩晕抗性,出现概率增加11%,,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>那是一个阳光灿烂的日子……<row><color=207,178,101>那时我正专心练功，<row><color=207,178,101>远处的铜锤不知道在喊着什么。<row><color=207,178,101>突然之间，黯出现了！<row><color=207,178,101>我对自己说，<row><color=207,178,101>""我要一拳砸扁那家伙的的脸！""<row><color=207,178,101>不幸的是，<row><color=207,178,101>随着黯一起出现的，<row><color=207,178,101>还有无数的魔物。<row><color=207,178,101>""你们这些该死的魔物！""<row><color=207,178,101>我说，<row><color=207,178,101>""我也要把你们砸扁！""","3,18,6;佣兵铁胆等级达到6级","18<row><color=207,178,101>更多的混沌，<row><color=207,178,101>更多的力量！<row><color=207,178,101>我从来都没有如此强大过！<row><color=207,178,101>铜锤那家伙还想和我比肩？<row><color=207,178,101>有了这样的力量，<row><color=207,178,101>他永远都别想追上我！","5,18,3;佣兵铁胆层级达到3级",,
19,10019,追魂,3,3,1001923,12,13,"0,0","185,50",0,1200,0,2,0,10,5,80,1010,督宗天下巡捕之一|猫土第一快刀|一手快刀神鬼莫测|天下无双|,2,monster0019,0,3,1;30;100,6,2;1000,,,增加100点中毒抗性,出现概率增加10%,,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>北边的哨探有消息么？<row><color=207,178,101>你的人全都在营地，居然没人注意？<row><color=207,178,101>派你的人去查看下，夺命。<row><color=207,178,101>南边好像出了点状况，我去查探一下。<row><color=207,178,101>再见，夺命。<row><color=207,178,101>我会尽快回来支援你。","3,19,6;佣兵追魂等级达到6级","18<row><color=207,178,101>京剧猫，立刻结束这无谓的冒险！<row><color=207,178,101>趁你们还活着，马上离开这里！<row><color=207,178,101>不要继续啦，撤退！<row><color=207,178,101>趁还有时间，你们应该立刻撤退！<row><color=207,178,101>逃走吧!否则就太迟啦！","1,10709,0;通关章节关卡第七章 第9关",,
22,10022,万劫鞭,4,3,1002223,12,13,"0,0","195,40",0,1500,0,2,0,10,5,80,1013,判宗邢堂弟子|主提刑司狱|手中软鞭招式狠辣|变化无常|,2,monster0022,0,3,1;30;100,6,2;1000,,,增加100点中毒抗性,出现概率增加10%,,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>铁面宗主派人回来传话，<row><color=207,178,101>发现了小黑的踪迹，<row><color=207,178,101>无情宗主集结了我们这些留在宗门的好手，<row><color=207,178,101>然而，没想到的是……<row><color=207,178,101>这是一个圈套！<row><color=207,178,101>混沌潜藏在传话的弟子身上，<row><color=207,178,101>趁机控制了我们所有猫……","3,22,6;佣兵万劫鞭等级达到6级","18<row><color=207,178,101>告诉我，<row><color=207,178,101>告诉我所有的事情。<row><color=207,178,101>在我面前没有秘密可言。<row><color=207,178,101>我要把你的秘密都挖出来。<row><color=207,178,101>不说?<row><color=207,178,101>那就让痛苦来净化你吧。","2,50403,0;通关十二宗宫判宗界石",,
