id,idx,starlevel,needEquipId1,needEquipId2,needEquipId3,needEquipId4,needEquipId5,needEquipId6,attrType1,attrValue1,attrType2,attrValue2,attrType3,attrValue3,attrType4,attrValue4,attrType5,attrValue5,power,PA,MA,PF,MF,MaxHP,BaseCrit,MaxSP,BaseToughness,SPRecover
607,6,7,131,132,141,142,142,152,4,9,5,9,6,5,7,5,1,255,1122,63,63,35,35,11162,187,268,3,8
608,6,8,131,132,141,141,153,154,,,,,,,,,,,1350,72,72,40,40,12774,232,410,3,8
700,7,0,124,124,125,126,131,141,4,9,5,9,6,5,7,5,1,255,0,0,0,0,0,0,0,0,0,0
701,7,1,121,121,122,122,142,142,4,9,5,9,6,5,7,5,1,255,148,9,9,5,5,1427,12,0,10,13
702,7,2,123,123,131,132,133,151,4,9,5,9,6,5,7,5,1,255,253,18,18,10,10,2052,24,68,10,13
703,7,3,125,126,131,132,142,152,4,9,5,9,6,5,7,5,1,255,479,27,27,15,15,4405,69,108,21,13
704,7,4,121,122,123,124,141,153,4,9,5,9,6,5,7,5,1,255,693,36,36,20,20,5585,114,216,21,26
705,7,5,125,126,131,131,142,154,4,9,5,9,6,5,7,5,1,255,871,45,45,25,25,7630,120,280,26,26
706,7,6,123,124,141,141,155,155,4,9,5,9,6,5,7,5,1,255,1075,54,54,30,30,8810,144,368,56,39
707,7,7,132,132,142,142,156,156,4,9,5,9,6,5,7,5,1,255,1516,63,63,35,35,10299,144,378,121,181
708,7,8,133,133,141,142,151,152,,,,,,,,,,,1798,72,72,40,40,13270,144,486,181,181
800,8,0,124,124,125,126,131,141,4,9,5,9,6,5,7,5,1,255,0,0,0,0,0,0,0,0,0,0
801,8,1,121,121,122,122,142,142,4,9,5,9,6,5,7,5,1,255,148,9,9,5,5,1427,12,0,10,13
802,8,2,123,123,131,132,133,151,4,9,5,9,6,5,7,5,1,255,253,18,18,10,10,2052,24,68,10,13
803,8,3,125,126,131,132,142,152,4,9,5,9,6,5,7,5,1,255,479,27,27,15,15,4405,69,108,21,13
804,8,4,121,122,133,133,141,153,4,9,5,9,6,5,7,5,1,255,693,36,36,20,20,5585,114,216,21,26
805,8,5,125,126,142,142,142,154,4,9,5,9,6,5,7,5,1,255,918,45,45,25,25,8370,120,270,43,26
806,8,6,123,124,141,141,155,155,4,9,5,9,6,5,7,5,1,255,1092,54,54,30,30,8810,120,426,73,39
807,8,7,132,132,142,154,156,156,4,9,5,9,6,5,7,5,1,255,1533,63,63,35,35,10299,120,436,138,181
808,8,8,133,133,141,153,151,152,,,,,,,,,,,1846,72,72,40,40,13270,120,564,228,181
900,9,0,123,124,125,126,131,141,4,9,5,9,6,5,7,5,1,255,0,0,0,0,0,0,0,0,0,0
901,9,1,121,121,122,122,142,141,4,9,5,9,6,5,7,5,1,255,149,9,9,5,5,1427,12,10,5,13
902,9,2,124,124,131,132,133,151,4,9,5,9,6,5,7,5,1,255,271,18,18,10,10,2669,24,44,5,13
903,9,3,125,125,131,131,141,152,4,9,5,9,6,5,7,5,1,255,493,27,27,15,15,5022,69,64,26,13
904,9,4,126,123,132,133,155,153,4,9,5,9,6,5,7,5,1,255,742,36,36,20,20,6634,126,118,26,39
905,9,5,131,133,141,142,156,154,4,9,5,9,6,5,7,5,1,255,1098,45,45,25,25,8802,126,202,67,110
906,9,6,131,132,141,142,151,155,4,9,5,9,6,5,7,5,1,255,1370,54,54,30,30,11402,138,290,138,110
907,9,7,141,142,151,152,153,156,4,9,5,9,6,5,7,5,1,255,1771,63,63,35,35,14002,183,344,168,181
908,9,8,141,142,154,155,156,151,,,,,,,,,,,2161,72,72,40,40,17838,249,486,198,181
1000,10,0,123,124,132,133,131,141,4,9,5,9,6,5,7,5,1,255,0,0,0,0,0,0,0,0,0,0
1001,10,1,121,122,131,132,142,141,4,9,5,9,6,5,7,5,1,255,171,9,9,5,5,1982,12,30,16,0
1002,10,2,123,123,131,142,141,151,4,9,5,9,6,5,7,5,1,255,339,18,18,10,10,3779,30,84,16,0
1003,10,3,125,126,133,141,151,152,4,9,5,9,6,5,7,5,1,255,557,27,27,15,15,6009,75,138,16,0
1004,10,4,121,122,132,142,155,153,4,9,5,9,6,5,7,5,1,255,840,36,36,20,20,8424,141,192,27,13
1005,10,5,131,133,141,152,156,154,4,9,5,9,6,5,7,5,1,255,1185,45,45,25,25,10222,147,300,57,84
1006,10,6,131,132,141,153,151,155,4,9,5,9,6,5,7,5,1,255,1500,54,54,30,30,12822,192,408,128,84
1007,10,7,141,142,151,152,153,156,4,9,5,9,6,5,7,5,1,255,1965,63,63,35,35,16410,237,482,158,155
1008,10,8,141,142,154,155,156,151,,,,,,,,,,,2355,72,72,40,40,20246,303,624,188,155
1100,11,0,123,124,132,133,131,141,4,9,5,9,6,5,7,5,1,255,0,0,0,0,0,0,0,0,0,0
1101,11,1,121,133,132,141,154,156,4,9,5,9,6,5,7,5,1,255,171,9,9,5,5,1982,12,30,16,0
1102,11,2,122,133,131,142,153,151,4,9,5,9,6,5,7,5,1,255,434,18,18,10,10,4767,12,104,87,0
1103,11,3,124,125,133,141,151,152,4,9,5,9,6,5,7,5,1,255,723,27,27,15,15,7738,63,192,98,0
1104,11,4,126,123,142,142,155,153,4,9,5,9,6,5,7,5,1,255,999,36,36,20,20,9968,129,246,114,13
1105,11,5,131,133,141,152,156,154,4,9,5,9,6,5,7,5,1,255,1331,45,45,25,25,11396,129,378,144,84
1106,11,6,131,132,142,153,151,155,4,9,5,9,6,5,7,5,1,255,1645,54,54,30,30,13996,174,486,215,84
1107,11,7,141,142,151,152,153,156,4,9,5,9,6,5,7,5,1,255,2094,63,63,35,35,16967,219,594,245,155
1108,11,8,141,142,154,155,156,151,,,,,,,,,,,2484,72,72,40,40,20803,285,736,275,155
1200,12,0,123,124,132,133,141,151,4,9,5,9,6,5,7,5,1,255,0,0,0,0,0,0,0,0,0,0
1201,12,1,121,125,132,131,142,156,4,9,5,9,6,5,7,5,1,255,225,9,9,5,5,2600,33,30,16,0
1202,12,2,122,133,131,142,153,151,4,9,5,9,6,5,7,5,1,255,454,18,18,10,10,4768,45,84,46,13
1203,12,3,124,132,141,153,151,152,4,9,5,9,6,5,7,5,1,255,743,27,27,15,15,7739,96,172,57,13
1204,12,4,132,131,142,154,155,153,4,9,5,9,6,5,7,5,1,255,1076,36,36,20,20,10957,162,300,62,13
1205,12,5,131,133,141,152,156,154,4,9,5,9,6,5,7,5,1,255,1486,45,45,25,25,12940,174,462,122,84
1206,12,6,132,141,142,153,151,155,4,9,5,9,6,5,7,5,1,255,1800,54,54,30,30,15540,219,570,193,84
1207,12,7,141,142,151,152,153,156,4,9,5,9,6,5,7,5,1,255,2250,63,63,35,35,18758,252,678,223,155
1208,12,8,141,142,154,155,156,151,,,,,,,,,,,2641,72,72,40,40,22594,318,820,253,155
