id,guildlevel,quality,name,des,time,rate,award1,award2
3411,3,4,净化眼宗2,净化眼宗混沌2,14400,2000,1;1;3400,1;2;3
3512,3,5,净化眼宗3,净化眼宗混沌3,28800,2000,1;1;3500,1;2;4
4101,4,1,抵御象族1,抵御象族入侵1,1200,1000,1;1;4100,1;2;5
4102,4,1,抵御象族2,抵御象族入侵2,1200,1000,1;1;4100,1;2;1
4203,4,2,抵御象族3,抵御象族入侵3,3600,1000,1;1;4200,1;2;2
4304,4,3,净化判宗1,净化判宗混沌1,7200,2000,1;1;4300,1;2;3
4405,4,4,净化判宗2,净化判宗混沌2,14400,2000,1;1;4400,1;2;4
4506,4,5,净化判宗3,净化判宗混沌3,28800,2000,1;1;4500,1;2;5
4107,4,1,抵御马族1,抵御马族入侵1,1200,1000,1;1;4100,1;2;5
4108,4,1,抵御马族2,抵御马族入侵2,1200,1000,1;1;4100,1;2;1
4209,4,2,抵御马族3,抵御马族入侵3,3600,1000,1;1;4200,1;2;2
4310,4,3,净化身宗1,净化身宗混沌1,7200,2000,1;1;4300,1;2;3
4411,4,4,净化身宗2,净化身宗混沌2,14400,2000,1;1;4400,1;2;4
4512,4,5,净化身宗3,净化身宗混沌3,28800,2000,1;1;4500,1;2;5
5101,5,1,净化步宗1,净化步宗混沌1,1200,1000,1;1;5100,1;2;1
5202,5,2,净化步宗2,净化步宗混沌2,3600,1000,1;1;5200,1;2;2
5303,5,3,净化步宗3,净化步宗混沌3,7200,1000,1;1;5300,1;2;3
5404,5,4,净化步宗4,净化步宗混沌4,14400,2000,1;1;5400,1;2;4
5505,5,5,净化步宗5,净化步宗混沌5,28800,2000,1;1;5500,1;2;5
5106,5,1,抵御鼠族1,抵御鼠族入侵1,1200,1000,1;1;5100,1;2;1
5207,5,2,抵御鼠族2,抵御鼠族入侵2,3600,1000,1;1;5200,1;2;2
5308,5,3,抵御鼠族3,抵御鼠族入侵3,7200,1000,1;1;5300,1;2;3
5409,5,4,抵御鼠族4,抵御鼠族入侵4,14400,2000,1;1;5400,1;2;4
5510,5,5,抵御鼠族5,抵御鼠族入侵5,28800,2000,1;1;5500,1;2;5
6101,6,1,净化唱宗1,净化唱宗混沌1,1200,1000,1;1;6100,1;2;1
6202,6,2,净化唱宗2,净化唱宗混沌2,3600,1000,1;1;6200,1;2;2
6303,6,3,净化唱宗3,净化唱宗混沌3,7200,1000,1;1;6300,1;2;3
6404,6,4,净化唱宗4,净化唱宗混沌4,14400,2000,1;1;6400,1;2;4
6505,6,5,净化唱宗5,净化唱宗混沌5,28800,2000,1;1;6500,1;2;5
6106,6,1,抵御龟族1,抵御龟族入侵1,1200,1000,1;1;6100,1;2;1
6207,6,2,抵御龟族2,抵御龟族入侵2,3600,1000,1;1;6200,1;2;2
6308,6,3,抵御龟族3,抵御龟族入侵3,7200,1000,1;1;6300,1;2;3
6409,6,4,抵御龟族4,抵御龟族入侵4,14400,2000,1;1;6400,1;2;4
6510,6,5,抵御龟族5,抵御龟族入侵5,28800,2000,1;1;6500,1;2;5
7101,7,1,净化念宗1,净化念宗混沌1,1200,1000,1;1;7100,1;2;1
7202,7,2,净化念宗2,净化念宗混沌2,3600,1000,1;1;7200,1;2;2
7303,7,3,净化念宗3,净化念宗混沌3,7200,1000,1;1;7300,1;2;3
7404,7,4,净化念宗4,净化念宗混沌4,14400,2000,1;1;7400,1;2;4
7505,7,5,净化念宗5,净化念宗混沌5,28800,2000,1;1;7500,1;2;5
7106,7,1,抵御鹿族1,抵御鹿族入侵1,1200,1000,1;1;7100,1;2;1
7207,7,2,抵御鹿族2,抵御鹿族入侵2,3600,1000,1;1;7200,1;2;2
7308,7,3,抵御鹿族3,抵御鹿族入侵3,7200,1000,1;1;7300,1;2;3
7409,7,4,抵御鹿族4,抵御鹿族入侵4,14400,2000,1;1;7400,1;2;4
7510,7,5,抵御鹿族5,抵御鹿族入侵5,28800,2000,1;1;7500,1;2;5
8101,8,1,净化做宗1,净化做宗混沌1,1200,1000,1;1;8100,1;2;1
8202,8,2,净化做宗2,净化做宗混沌2,3600,1000,1;1;8200,1;2;2
8303,8,3,净化做宗3,净化做宗混沌3,7200,1000,1;1;8300,1;2;3
8404,8,4,净化做宗4,净化做宗混沌4,14400,2000,1;1;8400,1;2;4
8505,8,5,净化做宗5,净化做宗混沌5,28800,2000,1;1;8500,1;2;5
8106,8,1,抵御鸟族1,抵御鸟族入侵1,1200,1000,1;1;8100,1;2;1
8207,8,2,抵御鸟族2,抵御鸟族入侵2,3600,1000,1;1;8200,1;2;2
8308,8,3,抵御鸟族3,抵御鸟族入侵3,7200,1000,1;1;8300,1;2;3
8409,8,4,抵御鸟族4,抵御鸟族入侵4,14400,2000,1;1;8400,1;2;4
8510,8,5,抵御鸟族5,抵御鸟族入侵5,28800,2000,1;1;8500,1;2;5
9101,9,1,净化傀儡1,净化混沌傀儡1,1200,1000,1;1;9100,1;2;1
9202,9,2,净化傀儡2,净化混沌傀儡2,3600,1000,1;1;9200,1;2;2
9303,9,3,净化傀儡3,净化混沌傀儡3,7200,1000,1;1;9300,1;2;3
9404,9,4,净化傀儡4,净化混沌傀儡4,14400,2000,1;1;9400,1;2;4
9505,9,5,净化傀儡5,净化混沌傀儡5,28800,2000,1;1;9500,1;2;5
9106,9,1,抵御熊族1,抵御熊族入侵1,1200,1000,1;1;9100,1;2;1
9207,9,2,抵御熊族2,抵御熊族入侵2,3600,1000,1;1;9200,1;2;2
9308,9,3,抵御熊族3,抵御熊族入侵3,7200,1000,1;1;9300,1;2;3
9409,9,4,抵御熊族4,抵御熊族入侵4,14400,2000,1;1;9400,1;2;4
9510,9,5,抵御熊族5,抵御熊族入侵5,28800,2000,1;1;9500,1;2;5
10101,10,1,净化宗门1,净化宗门混沌1,1200,1000,1;1;10100,1;2;1
10202,10,2,净化宗门2,净化宗门混沌2,3600,1000,1;1;10200,1;2;2
10303,10,3,净化宗门3,净化宗门混沌3,7200,1000,1;1;10300,1;2;3
10404,10,4,净化宗门4,净化宗门混沌4,14400,2000,1;1;10400,1;2;4
10505,10,5,净化宗门5,净化宗门混沌5,28800,2000,1;1;10500,1;2;5
10106,10,1,抵御虫族1,抵御虫族入侵1,1200,1000,1;1;10100,1;2;1
10207,10,2,抵御虫族2,抵御虫族入侵2,3600,1000,1;1;10200,1;2;2
10308,10,3,抵御虫族3,抵御虫族入侵3,7200,1000,1;1;10300,1;2;3
10409,10,4,抵御虫族4,抵御虫族入侵4,14400,2000,1;1;10400,1;2;4
10510,10,5,抵御虫族5,抵御虫族入侵5,28800,2000,1;1;10500,1;2;5
