id,step,level,nextNeedExp,nextLevelCostCoin,nextLevelSoul,getExp,levelUpToStep,levelUpToLevel,acupoint,critRate,activeSkill,MaxHP,MaxMP,MaxSP,PA,MA,PF,MF,HPRecover,MPRecover,SPRecover,MaxHPAdd,MaxMPAdd,MaxSPAdd,PAAdd,MAAdd,PFAdd,MFAdd,HPRecoverAdd,MPRecoverAdd,SPRecoverAdd,power,positionX,positionY
3011,3,11,6630,200,100,100,3,12,13,50;30;20,,0,0,0,0,0,116,0,,,,38080,0,112,1273,1293,869,764,0,0,0,10020,790,291
3012,3,12,7055,210,105,105,3,13,,50;30;20,,0,0,0,0,0,0,118,,,,38080,0,112,1273,1293,869,882,0,0,0,10115,761,231
3013,3,13,7480,220,110,110,3,14,,50;30;20,,0,0,0,0,0,124,0,,,,38080,0,112,1273,1293,993,882,0,0,0,10214,710,181
3014,3,14,7905,230,115,115,3,15,,50;30;20,,0,0,0,0,0,0,125,,,,38080,0,112,1273,1293,993,1007,0,0,0,10314,755,129
3015,3,15,8330,240,120,120,3,16,14,50;30;20,,0,0,0,0,0,131,0,,,,38080,0,112,1273,1293,1124,1007,0,0,0,10419,824,121
3016,3,16,8755,250,125,125,3,17,,50;30;20,,0,0,0,0,0,0,133,,,,38080,0,112,1273,1293,1124,1140,0,0,0,10525,802,196
3017,3,17,9180,260,130,130,3,18,,50;30;20,,0,0,0,0,0,139,0,,,,38080,0,112,1273,1293,1263,1140,0,0,0,10636,850,249
3018,3,18,9605,270,135,135,3,19,,50;30;20,,0,0,0,0,0,0,140,,,,38080,0,112,1273,1293,1263,1280,0,0,0,10748,897,196
3019,3,19,10030,280,140,140,3,20,15,50;30;20,,0,0,0,0,0,147,0,,,,38080,0,112,1273,1293,1410,1280,0,0,0,10866,928,126
3020,3,20,10455,290,145,145,3,21,,50;30;20,,0,0,0,0,0,0,148,,,,38080,0,112,1273,1293,1410,1428,0,0,0,10984,996,87
3021,3,21,10880,300,150,150,3,22,,50;30;20,,0,0,0,0,0,155,0,,,,38080,0,112,1273,1293,1565,1428,0,0,0,11108,1075,100
3022,3,22,11305,310,155,155,3,23,,50;30;20,,0,0,0,0,0,0,156,,,,38080,0,112,1273,1293,1565,1584,0,0,0,11233,1098,168
3023,3,23,11730,320,160,160,3,24,16,50;30;20,,0,0,0,0,0,162,0,,,,38080,0,112,1273,1293,1727,1584,0,0,0,11363,1108,240
3024,3,24,0,0,165,165,4,0,,50;30;20,,0,0,0,0,0,0,163,,,,38080,0,112,1273,1293,1727,1747,0,0,0,11493,1160,287
4000,4,0,3145,120,60,60,4,1,,50;30;20,2,10426,0,82,383,383,213,213,,,,48506,0,194,1656,1676,1940,1960,0,0,0,17486,224,196
4001,4,1,3570,130,65,65,4,2,,50;30;20,,2218,0,0,0,0,0,0,,,,50724,0,194,1656,1676,1940,1960,0,0,0,17562,272,249
4002,4,2,3995,140,70,70,4,3,,50;30;20,,0,0,50,0,0,0,0,,,,50724,0,244,1656,1676,1940,1960,0,0,0,17787,319,196
4003,4,3,4420,150,75,75,4,4,17,50;30;20,,2439,0,0,0,0,0,0,,,,53163,0,244,1656,1676,1940,1960,0,0,0,17870,350,126
4004,4,4,4845,160,80,80,4,5,,50;30;20,,0,0,55,0,0,0,0,,,,53163,0,299,1656,1676,1940,1960,0,0,0,18117,418,87
4005,4,5,5270,170,85,85,4,6,,50;30;20,,2661,0,0,0,0,0,0,,,,55824,0,299,1656,1676,1940,1960,0,0,0,18208,497,100
4006,4,6,5695,180,90,90,4,7,,50;30;20,,0,0,60,0,0,0,0,,,,55824,0,359,1656,1676,1940,1960,0,0,0,18478,520,168
4007,4,7,6120,190,95,95,4,8,,50;30;20,,2883,0,0,0,0,0,0,,,,58707,0,359,1656,1676,1940,1960,0,0,0,18576,530,240
4008,4,8,6545,200,100,100,4,9,18,50;30;20,,0,0,65,0,0,0,0,,,,58707,0,424,1656,1676,1940,1960,0,0,0,18868,582,287
4009,4,9,6970,210,105,105,4,10,,50;30;20,,3105,0,0,0,0,0,0,,,,61812,0,424,1656,1676,1940,1960,0,0,0,18974,652,302
4010,4,10,7395,220,110,110,4,11,,50;30;20,,0,0,70,0,0,0,0,,,,61812,0,494,1656,1676,1940,1960,0,0,0,19289,723,315
4011,4,11,7820,230,115,115,4,12,,50;30;20,,3326,0,0,0,0,0,0,,,,65138,0,494,1656,1676,1940,1960,0,0,0,19402,790,291
4012,4,12,8245,240,120,120,4,13,,50;30;20,,0,0,75,0,0,0,0,,,,65138,0,569,1656,1676,1940,1960,0,0,0,19739,761,231
4013,4,13,8670,250,125,125,4,14,19,50;30;20,,3548,0,0,0,0,0,0,,,,68686,0,569,1656,1676,1940,1960,0,0,0,19860,710,181
4014,4,14,9095,260,130,130,4,15,,50;30;20,,0,0,79,0,0,0,0,,,,68686,0,648,1656,1676,1940,1960,0,0,0,20215,755,129
4015,4,15,9520,270,135,135,4,16,,50;30;20,,3770,0,0,0,0,0,0,,,,72456,0,648,1656,1676,1940,1960,0,0,0,20344,824,121
4016,4,16,9945,280,140,140,4,17,,50;30;20,,0,0,84,0,0,0,0,,,,72456,0,732,1656,1676,1940,1960,0,0,0,20722,802,196
4017,4,17,10370,290,145,145,4,18,,50;30;20,,3992,0,0,0,0,0,0,,,,76448,0,732,1656,1676,1940,1960,0,0,0,20857,850,249
4018,4,18,10795,300,150,150,4,19,20,50;30;20,,0,0,89,0,0,0,0,,,,76448,0,821,1656,1676,1940,1960,0,0,0,21258,897,196
4019,4,19,11220,310,155,155,4,20,,50;30;20,,4213,0,0,0,0,0,0,,,,80661,0,821,1656,1676,1940,1960,0,0,0,21401,928,126
4020,4,20,11645,320,160,160,4,21,,50;30;20,,0,0,94,0,0,0,0,,,,80661,0,915,1656,1676,1940,1960,0,0,0,21824,996,87
4021,4,21,12070,330,165,165,4,22,,50;30;20,,4435,0,0,0,0,0,0,,,,85096,0,915,1656,1676,1940,1960,0,0,0,21975,1075,100
4022,4,22,12495,340,170,170,4,23,,50;30;20,,0,0,99,0,0,0,0,,,,85096,0,1014,1656,1676,1940,1960,0,0,0,22420,1098,168
4023,4,23,12920,350,175,175,4,24,21,50;30;20,,4657,0,0,0,0,0,0,,,,89753,0,1014,1656,1676,1940,1960,0,0,0,22579,1108,240
4024,4,24,13345,360,180,180,4,25,,50;30;20,,0,0,103,0,0,0,0,,,,89753,0,1117,1656,1676,1940,1960,0,0,0,23042,1160,287
4025,4,25,13770,370,185,185,4,26,,50;30;20,,4879,0,0,0,0,0,0,,,,94632,0,1117,1656,1676,1940,1960,0,0,0,23208,1230,302
4026,4,26,14195,380,190,190,4,27,,50;30;20,,0,0,108,0,0,0,0,,,,94632,0,1225,1656,1676,1940,1960,0,0,0,23694,1301,315
4027,4,27,14620,390,195,195,4,28,,50;30;20,,5100,0,0,0,0,0,0,,,,99732,0,1225,1656,1676,1940,1960,0,0,0,23867,1368,291
4028,4,28,15045,400,200,200,4,29,22,50;30;20,,0,0,113,0,0,0,0,,,,99732,0,1338,1656,1676,1940,1960,0,0,0,24376,1339,231
4029,4,29,15470,410,205,205,4,30,,50;30;20,,5322,0,0,0,0,0,0,,,,105054,0,1338,1656,1676,1940,1960,0,0,0,24557,1288,181
4030,4,30,15895,420,210,210,4,31,,50;30;20,,0,0,118,0,0,0,0,,,,105054,0,1456,1656,1676,1940,1960,0,0,0,25088,1333,129
4031,4,31,16320,430,215,215,4,32,,50;30;20,,5544,0,0,0,0,0,0,,,,110598,0,1456,1656,1676,1940,1960,0,0,0,25276,1402,121
4032,4,32,0,0,220,220,5,0,,50;30;20,,0,0,123,0,0,0,0,,,,110598,0,1579,1656,1676,1940,1960,0,0,0,25830,1380,196
5000,5,0,4675,150,75,75,5,1,,50;30;20,,13033,0,103,479,479,267,267,,,,123631,0,1682,2135,2155,2207,2227,0,0,0,32715,224,196
5001,5,1,5100,160,80,80,5,2,,50;30;20,,0,0,0,126,0,0,0,,,,123631,0,1682,2261,2155,2207,2227,0,0,0,32841,272,249
5002,5,2,5525,170,85,85,5,3,,50;30;20,,0,0,0,0,130,0,0,,,,123631,0,1682,2261,2285,2207,2227,0,0,0,32971,319,196
5003,5,3,5950,180,90,90,5,4,,50;30;20,,0,0,0,138,0,0,0,,,,123631,0,1682,2399,2285,2207,2227,0,0,0,33109,350,126
5004,5,4,6375,190,95,95,5,5,23,50;30;20,,0,0,0,0,142,0,0,,,,123631,0,1682,2399,2427,2207,2227,0,0,0,33251,418,87
5005,5,5,6800,200,100,100,5,6,,50;30;20,,0,0,0,151,0,0,0,,,,123631,0,1682,2550,2427,2207,2227,0,0,0,33402,497,100
5006,5,6,7225,210,105,105,5,7,,50;30;20,,0,0,0,0,155,0,0,,,,123631,0,1682,2550,2582,2207,2227,0,0,0,33557,520,168
5007,5,7,7650,220,110,110,5,8,,50;30;20,,0,0,0,163,0,0,0,,,,123631,0,1682,2713,2582,2207,2227,0,0,0,33720,530,240
5008,5,8,8075,230,115,115,5,9,,50;30;20,,0,0,0,0,167,0,0,,,,123631,0,1682,2713,2749,2207,2227,0,0,0,33887,582,287
5009,5,9,8500,240,120,120,5,10,,50;30;20,,0,0,0,176,0,0,0,,,,123631,0,1682,2889,2749,2207,2227,0,0,0,34063,652,302
5010,5,10,8925,250,125,125,5,11,24,50;30;20,,0,0,0,0,180,0,0,,,,123631,0,1682,2889,2929,2207,2227,0,0,0,34243,723,315
5011,5,11,9350,260,130,130,5,12,,50;30;20,,0,0,0,188,0,0,0,,,,123631,0,1682,3077,2929,2207,2227,0,0,0,34431,790,291
5012,5,12,9775,270,135,135,5,13,,50;30;20,,0,0,0,0,192,0,0,,,,123631,0,1682,3077,3121,2207,2227,0,0,0,34623,761,231
5013,5,13,10200,280,140,140,5,14,,50;30;20,,0,0,0,201,0,0,0,,,,123631,0,1682,3278,3121,2207,2227,0,0,0,34824,710,181
5014,5,14,10625,290,145,145,5,15,,50;30;20,,0,0,0,0,204,0,0,,,,123631,0,1682,3278,3325,2207,2227,0,0,0,35028,755,129
5015,5,15,11050,300,150,150,5,16,,50;30;20,,0,0,0,214,0,0,0,,,,123631,0,1682,3492,3325,2207,2227,0,0,0,35242,824,121
5016,5,16,11475,310,155,155,5,17,25,50;30;20,,0,0,0,0,217,0,0,,,,123631,0,1682,3492,3542,2207,2227,0,0,0,35459,802,196
5017,5,17,11900,320,160,160,5,18,,50;30;20,,0,0,0,226,0,0,0,,,,123631,0,1682,3718,3542,2207,2227,0,0,0,35685,850,249
5018,5,18,12325,330,165,165,5,19,,50;30;20,,0,0,0,0,229,0,0,,,,123631,0,1682,3718,3771,2207,2227,0,0,0,35914,897,196
5019,5,19,12750,340,170,170,5,20,,50;30;20,,0,0,0,239,0,0,0,,,,123631,0,1682,3957,3771,2207,2227,0,0,0,36153,928,126
5020,5,20,13175,350,175,175,5,21,,50;30;20,,0,0,0,0,241,0,0,,,,123631,0,1682,3957,4012,2207,2227,0,0,0,36394,996,87
5021,5,21,13600,360,180,180,5,22,,50;30;20,,0,0,0,251,0,0,0,,,,123631,0,1682,4208,4012,2207,2227,0,0,0,36645,1075,100
5022,5,22,14025,370,185,185,5,23,26,50;30;20,,0,0,0,0,254,0,0,,,,123631,0,1682,4208,4266,2207,2227,0,0,0,36899,1098,168
5023,5,23,14450,380,190,190,5,24,,50;30;20,,0,0,0,264,0,0,0,,,,123631,0,1682,4472,4266,2207,2227,0,0,0,37163,1108,240
5024,5,24,14875,390,195,195,5,25,,50;30;20,,0,0,0,0,266,0,0,,,,123631,0,1682,4472,4532,2207,2227,0,0,0,37429,1160,287
5025,5,25,15300,400,200,200,5,26,,50;30;20,,0,0,0,276,0,0,0,,,,123631,0,1682,4748,4532,2207,2227,0,0,0,37705,1230,302
5026,5,26,15725,410,205,205,5,27,,50;30;20,,0,0,0,0,279,0,0,,,,123631,0,1682,4748,4811,2207,2227,0,0,0,37984,1301,315
5027,5,27,16150,420,210,210,5,28,,50;30;20,,0,0,0,289,0,0,0,,,,123631,0,1682,5037,4811,2207,2227,0,0,0,38273,1368,291
5028,5,28,16575,430,215,215,5,29,27,50;30;20,,0,0,0,0,291,0,0,,,,123631,0,1682,5037,5102,2207,2227,0,0,0,38564,1339,231
5029,5,29,17000,440,220,220,5,30,,50;30;20,,0,0,0,302,0,0,0,,,,123631,0,1682,5339,5102,2207,2227,0,0,0,38866,1288,181
5030,5,30,17425,450,225,225,5,31,,50;30;20,,0,0,0,0,303,0,0,,,,123631,0,1682,5339,5405,2207,2227,0,0,0,39169,1333,129
5031,5,31,17850,460,230,230,5,32,,50;30;20,,0,0,0,314,0,0,0,,,,123631,0,1682,5653,5405,2207,2227,0,0,0,39483,1402,121
5032,5,32,18275,470,235,235,5,33,,50;30;20,,0,0,0,0,316,0,0,,,,123631,0,1682,5653,5721,2207,2227,0,0,0,39799,1380,196
5033,5,33,18700,480,240,240,5,34,,50;30;20,,0,0,0,327,0,0,0,,,,123631,0,1682,5980,5721,2207,2227,0,0,0,40126,1428,249
5034,5,34,19125,490,245,245,5,35,28,50;30;20,,0,0,0,0,328,0,0,,,,123631,0,1682,5980,6049,2207,2227,0,0,0,40454,1475,196
5035,5,35,19550,500,250,250,5,36,,50;30;20,,0,0,0,339,0,0,0,,,,123631,0,1682,6319,6049,2207,2227,0,0,0,40793,1506,126
5036,5,36,19975,510,255,255,5,37,,50;30;20,,0,0,0,0,340,0,0,,,,123631,0,1682,6319,6389,2207,2227,0,0,0,41133,1574,87
5037,5,37,20400,520,260,260,5,38,,50;30;20,,0,0,0,352,0,0,0,,,,123631,0,1682,6671,6389,2207,2227,0,0,0,41485,1653,100
5038,5,38,20825,530,265,265,5,39,,50;30;20,,0,0,0,0,353,0,0,,,,123631,0,1682,6671,6742,2207,2227,0,0,0,41838,1676,168
5039,5,39,21250,540,270,270,5,40,,50;30;20,,0,0,0,364,0,0,0,,,,123631,0,1682,7035,6742,2207,2227,0,0,0,42202,1686,240
5040,5,40,21675,550,275,275,5,41,29,50;30;20,,0,0,0,0,365,0,0,,,,123631,0,1682,7035,7107,2207,2227,0,0,0,42567,1738,287
5041,5,41,22100,560,280,280,5,42,,50;30;20,,0,0,0,377,0,0,0,,,,123631,0,1682,7412,7107,2207,2227,0,0,0,42944,1808,302
5042,5,42,0,0,285,285,6,0,,50;30;20,,0,0,0,0,378,0,0,,,,123631,0,1682,7412,7485,2207,2227,0,0,0,43322,1879,315
6000,6,0,6545,180,90,90,6,1,,50;30;20,,15914,0,125,584,584,326,326,,,,139545,0,1807,7996,8069,2533,2553,0,0,0,51845,224,196
6001,6,1,6970,190,95,95,6,2,,50;30;20,,2218,0,0,0,0,0,0,,,,141763,0,1807,7996,8069,2533,2553,0,0,0,51920,272,249
6002,6,2,7395,200,100,100,6,3,,50;30;20,,0,0,0,0,0,0,0,,,,141763,0,1807,7996,8069,2533,2553,0,0,0,51920,319,196
6003,6,3,7820,210,105,105,6,4,,50;30;20,,2439,0,0,0,0,0,0,,,,144202,0,1807,7996,8069,2533,2553,0,0,0,52003,350,126
6004,6,4,8245,220,110,110,6,5,,50;30;20,,0,0,0,0,0,0,0,,,,144202,0,1807,7996,8069,2533,2553,0,0,0,52003,418,87
6005,6,5,8670,230,115,115,6,6,30,50;30;20,,2661,0,0,0,0,0,0,,,,146863,0,1807,7996,8069,2533,2553,0,0,0,52094,497,100
6006,6,6,9095,240,120,120,6,7,,50;30;20,,0,0,0,0,0,0,0,,,,146863,0,1807,7996,8069,2533,2553,0,0,0,52094,520,168
6007,6,7,9520,250,125,125,6,8,,50;30;20,,2883,0,0,0,0,0,0,,,,149746,0,1807,7996,8069,2533,2553,0,0,0,52192,530,240
6008,6,8,9945,260,130,130,6,9,,50;30;20,,0,0,0,0,0,0,0,,,,149746,0,1807,7996,8069,2533,2553,0,0,0,52192,582,287
6009,6,9,10370,270,135,135,6,10,,50;30;20,,3105,0,0,0,0,0,0,,,,152851,0,1807,7996,8069,2533,2553,0,0,0,52297,652,302
6010,6,10,10795,280,140,140,6,11,,50;30;20,,0,0,0,0,0,0,0,,,,152851,0,1807,7996,8069,2533,2553,0,0,0,52297,723,315
6011,6,11,11220,290,145,145,6,12,,50;30;20,,3326,0,0,0,0,0,0,,,,156177,0,1807,7996,8069,2533,2553,0,0,0,52410,790,291
6012,6,12,11645,300,150,150,6,13,31,50;30;20,,0,0,0,0,0,0,0,,,,156177,0,1807,7996,8069,2533,2553,0,0,0,52410,761,231
6013,6,13,12070,310,155,155,6,14,,50;30;20,,3548,0,0,0,0,0,0,,,,159725,0,1807,7996,8069,2533,2553,0,0,0,52531,710,181
6014,6,14,12495,320,160,160,6,15,,50;30;20,,0,0,0,0,0,0,0,,,,159725,0,1807,7996,8069,2533,2553,0,0,0,52531,755,129
6015,6,15,12920,330,165,165,6,16,,50;30;20,,3770,0,0,0,0,0,0,,,,163495,0,1807,7996,8069,2533,2553,0,0,0,52659,824,121
6016,6,16,13345,340,170,170,6,17,,50;30;20,,0,0,0,0,0,0,0,,,,163495,0,1807,7996,8069,2533,2553,0,0,0,52659,802,196
6017,6,17,13770,350,175,175,6,18,,50;30;20,,3992,0,0,0,0,0,0,,,,167487,0,1807,7996,8069,2533,2553,0,0,0,52795,850,249
6018,6,18,14195,360,180,180,6,19,,50;30;20,,0,0,0,0,0,0,0,,,,167487,0,1807,7996,8069,2533,2553,0,0,0,52795,897,196
6019,6,19,14620,370,185,185,6,20,32,50;30;20,,4213,0,0,0,0,0,0,,,,171700,0,1807,7996,8069,2533,2553,0,0,0,52938,928,126
6020,6,20,15045,380,190,190,6,21,,50;30;20,,0,0,0,0,0,0,0,,,,171700,0,1807,7996,8069,2533,2553,0,0,0,52938,996,87
6021,6,21,15470,390,195,195,6,22,,50;30;20,,4435,0,0,0,0,0,0,,,,176135,0,1807,7996,8069,2533,2553,0,0,0,53089,1075,100
6022,6,22,15895,400,200,200,6,23,,50;30;20,,0,0,0,0,0,0,0,,,,176135,0,1807,7996,8069,2533,2553,0,0,0,53089,1098,168
6023,6,23,16320,410,205,205,6,24,,50;30;20,,4657,0,0,0,0,0,0,,,,180792,0,1807,7996,8069,2533,2553,0,0,0,53247,1108,240
6024,6,24,16745,420,210,210,6,25,,50;30;20,,0,0,0,0,0,0,0,,,,180792,0,1807,7996,8069,2533,2553,0,0,0,53247,1160,287
6025,6,25,17170,430,215,215,6,26,,50;30;20,,4879,0,0,0,0,0,0,,,,185671,0,1807,7996,8069,2533,2553,0,0,0,53413,1230,302
6026,6,26,17595,440,220,220,6,27,33,50;30;20,,0,0,0,0,0,0,0,,,,185671,0,1807,7996,8069,2533,2553,0,0,0,53413,1301,315
6027,6,27,18020,450,225,225,6,28,,50;30;20,,5100,0,0,0,0,0,0,,,,190771,0,1807,7996,8069,2533,2553,0,0,0,53587,1368,291
6028,6,28,18445,460,230,230,6,29,,50;30;20,,0,0,0,0,0,0,0,,,,190771,0,1807,7996,8069,2533,2553,0,0,0,53587,1339,231
6029,6,29,18870,470,235,235,6,30,,50;30;20,,5322,0,0,0,0,0,0,,,,196093,0,1807,7996,8069,2533,2553,0,0,0,53767,1288,181
6030,6,30,19295,480,240,240,6,31,,50;30;20,,0,0,0,0,0,0,0,,,,196093,0,1807,7996,8069,2533,2553,0,0,0,53767,1333,129
6031,6,31,19720,490,245,245,6,32,,50;30;20,,5544,0,0,0,0,0,0,,,,201637,0,1807,7996,8069,2533,2553,0,0,0,53956,1402,121
6032,6,32,20145,500,250,250,6,33,,50;30;20,,0,0,0,0,0,0,0,,,,201637,0,1807,7996,8069,2533,2553,0,0,0,53956,1380,196
6033,6,33,20570,510,255,255,6,34,34,50;30;20,,5766,0,0,0,0,0,0,,,,207403,0,1807,7996,8069,2533,2553,0,0,0,54152,1428,249
6034,6,34,20995,520,260,260,6,35,,50;30;20,,0,0,0,0,0,0,0,,,,207403,0,1807,7996,8069,2533,2553,0,0,0,54152,1475,196
6035,6,35,21420,530,265,265,6,36,,50;30;20,,5987,0,0,0,0,0,0,,,,213390,0,1807,7996,8069,2533,2553,0,0,0,54356,1506,126
6036,6,36,21845,540,270,270,6,37,,50;30;20,,0,0,0,0,0,0,0,,,,213390,0,1807,7996,8069,2533,2553,0,0,0,54356,1574,87
6037,6,37,22270,550,275,275,6,38,,50;30;20,,6209,0,0,0,0,0,0,,,,219599,0,1807,7996,8069,2533,2553,0,0,0,54567,1653,100
6038,6,38,22695,560,280,280,6,39,,50;30;20,,0,0,0,0,0,0,0,,,,219599,0,1807,7996,8069,2533,2553,0,0,0,54567,1676,168
6039,6,39,23120,570,285,285,6,40,,50;30;20,,6431,0,0,0,0,0,0,,,,226030,0,1807,7996,8069,2533,2553,0,0,0,54785,1686,240
6040,6,40,23545,580,290,290,6,41,35,50;30;20,,0,0,0,0,0,0,0,,,,226030,0,1807,7996,8069,2533,2553,0,0,0,54785,1738,287
6041,6,41,23970,590,295,295,6,42,,50;30;20,,6653,0,0,0,0,0,0,,,,232683,0,1807,7996,8069,2533,2553,0,0,0,55012,1808,302
6042,6,42,24395,600,300,300,6,43,,50;30;20,,0,0,0,0,0,0,0,,,,232683,0,1807,7996,8069,2533,2553,0,0,0,55012,1879,315
6043,6,43,24820,610,305,305,6,44,,50;30;20,,6874,0,0,0,0,0,0,,,,239557,0,1807,7996,8069,2533,2553,0,0,0,55245,1946,291
6044,6,44,25245,620,310,310,6,45,,50;30;20,,0,0,0,0,0,0,0,,,,239557,0,1807,7996,8069,2533,2553,0,0,0,55245,1917,231
6045,6,45,25670,630,315,315,6,46,,50;30;20,,7096,0,0,0,0,0,0,,,,246653,0,1807,7996,8069,2533,2553,0,0,0,55487,1866,181
