itemId,bagTab,type,subtype,minitype,name,desc,icon,quality,beginTime,invalid,useful,useLimit1,useLimit2,useLimit3,useLimit4,useLimit5,amountLimit,useTime,power,cd,stackAmount,order,sale,price,content
10009,2,7,1,9,等级礼包9,--,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70001409,1,500,70001409
10010,2,7,1,10,等级礼包10,--,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70001410,1,500,70001410
10011,2,7,1,11,等级礼包11,--,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70001411,1,500,70001411
10012,2,7,1,12,等级礼包12,--,image/bag/01backpak_goods_02icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70001412,1,500,70001412
10013,2,7,1,13,等级礼包13,--,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70001413,1,500,70001413
10014,2,7,1,14,等级礼包14,--,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70001414,1,500,70001414
10015,2,7,1,15,等级礼包15,--,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70001415,1,500,70001415
11001,2,7,2,1,循环登录礼包1,登录第1天的礼包,image/bag/01backpak_goods_02icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002401,1,500,70002401
11002,2,7,2,2,循环登录礼包2,登录第2天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002402,1,500,70002402
11003,2,7,2,3,循环登录礼包3,登录第3天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002403,1,500,70002403
11004,2,7,2,4,循环登录礼包4,登录第4天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002404,1,500,70002404
11005,2,7,2,5,循环登录礼包5,登录第5天的礼包,image/bag/01backpak_goods_02icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002405,1,500,70002405
11006,2,7,2,6,循环登录礼包6,登录第6天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002406,1,500,70002406
11007,2,7,2,7,循环登录礼包7,登录第7天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002407,1,500,70002407
11008,2,7,2,8,循环登录礼包8,登录第8天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002408,1,500,70002408
11009,2,7,2,9,循环登录礼包9,登录第9天的礼包,image/bag/01backpak_goods_02icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002409,1,500,70002409
11010,2,7,2,10,循环登录礼包10,登录第10天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002410,1,500,70002410
11011,2,7,2,11,循环登录礼包11,登录第11天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002411,1,500,70002411
11012,2,7,2,12,循环登录礼包12,登录第12天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002412,1,500,70002412
11013,2,7,2,13,循环登录礼包13,登录第13天的礼包,image/bag/01backpak_goods_02icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002413,1,500,70002413
11014,2,7,2,14,循环登录礼包14,登录第14天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002414,1,500,70002414
11015,2,7,2,15,循环登录礼包15,登录第15天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002415,1,500,70002415
11016,2,7,2,16,循环登录礼包16,登录第16天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002416,1,500,70002416
11017,2,7,2,17,循环登录礼包17,登录第17天的礼包,image/bag/01backpak_goods_02icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002417,1,500,70002417
11018,2,7,2,18,循环登录礼包18,登录第18天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002418,1,500,70002418
11019,2,7,2,19,循环登录礼包19,登录第19天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002419,1,500,70002419
11020,2,7,2,20,循环登录礼包20,登录第20天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002420,1,500,70002420
11021,2,7,2,21,循环登录礼包21,登录第21天的礼包,image/bag/01backpak_goods_02icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002421,1,500,70002421
11022,2,7,2,22,循环登录礼包22,登录第22天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002422,1,500,70002422
11023,2,7,2,23,循环登录礼包23,登录第23天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002423,1,500,70002423
11024,2,7,2,24,循环登录礼包24,登录第24天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002424,1,500,70002424
11025,2,7,2,25,循环登录礼包25,登录第25天的礼包,image/bag/01backpak_goods_02icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002425,1,500,70002425
11026,2,7,2,26,循环登录礼包26,登录第26天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002426,1,500,70002426
11027,2,7,2,27,循环登录礼包27,登录第27天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002427,1,500,70002427
11028,2,7,2,28,循环登录礼包28,登录第28天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002428,1,500,70002428
11029,2,7,2,29,循环登录礼包29,登录第29天的礼包,image/bag/01backpak_goods_02icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002429,1,500,70002429
11030,2,7,2,30,循环登录礼包30,登录第30天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002430,1,500,70002430
11031,2,7,2,31,循环登录礼包31,登录第31天的礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70002431,1,500,70002431
12001,2,7,3,1,活跃度礼包1,活跃度礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70003401,1,500,70003401
12002,2,7,3,2,活跃度礼包2,活跃度礼包,image/bag/01backpak_goods_02icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70003402,1,500,70003402
12003,2,7,3,3,活跃度礼包3,活跃度礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70003403,1,500,70003403
12004,2,7,3,4,活跃度礼包4,活跃度礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70003404,1,500,70003404
12005,2,7,3,5,活跃度礼包5,活跃度礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70003405,1,500,70003405
12006,2,7,3,6,活跃度礼包6,活跃度礼包,image/bag/01backpak_goods_02icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70003406,1,500,70003406
12007,2,7,3,7,活跃度礼包7,活跃度礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70003407,1,500,70003407
12008,2,7,3,8,活跃度礼包8,活跃度礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70003408,1,500,70003408
12009,2,7,3,9,活跃度礼包9,活跃度礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70003409,1,500,70003409
12010,2,7,3,10,活跃度礼包10,活跃度礼包,image/bag/01backpak_goods_02icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70003410,1,500,70003410
12011,2,7,3,11,活跃度礼包11,活跃度礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70003411,1,500,70003411
12012,2,7,3,12,活跃度礼包12,活跃度礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70003412,1,500,70003412
12013,2,7,3,13,活跃度礼包13,活跃度礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70003413,1,500,70003413
12014,2,7,3,14,活跃度礼包14,活跃度礼包,image/bag/01backpak_goods_02icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70003414,1,500,70003414
12015,2,7,3,15,活跃度礼包15,活跃度礼包,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70003415,1,500,70003415
