id,servantid,floor,slot1,slot2,slot3,slot4,attr1,value1,attr2,value2,attr3,value3,attr4,value4,attr5,value5,power
19004,19,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
19005,19,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
20000,20,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
20001,20,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
20002,20,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
20003,20,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
20004,20,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
20005,20,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
21000,21,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
21001,21,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
21002,21,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
21003,21,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
21004,21,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
21005,21,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
22000,22,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
22001,22,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
22002,22,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
22003,22,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
22004,22,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
22005,22,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
24000,24,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
24001,24,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
24002,24,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
24003,24,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
24004,24,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
24005,24,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
26000,26,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
26001,26,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
26002,26,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
26003,26,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
26004,26,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
26005,26,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
27000,27,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
27001,27,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
27002,27,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
27003,27,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
27004,27,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
27005,27,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
28000,28,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
28001,28,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
28002,28,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
28003,28,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
28004,28,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
28005,28,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
29000,29,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
29001,29,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
29002,29,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
29003,29,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
29004,29,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
29005,29,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
30000,30,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
30001,30,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
30002,30,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
30003,30,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
30004,30,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
30005,30,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
31000,31,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
31001,31,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
31002,31,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
31003,31,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
31004,31,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
31005,31,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
32000,32,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
32001,32,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
32002,32,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
32003,32,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
32004,32,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
32005,32,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
36000,36,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
36001,36,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
36002,36,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
36003,36,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
36004,36,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
36005,36,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
39000,39,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
39001,39,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
39002,39,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
39003,39,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
39004,39,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
39005,39,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
40000,40,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
40001,40,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
40002,40,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
40003,40,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
40004,40,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
40005,40,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
42000,42,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
42001,42,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
42002,42,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
42003,42,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
42004,42,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
42005,42,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
45000,45,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
45001,45,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
45002,45,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
45003,45,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
45004,45,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
45005,45,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
46000,46,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
46001,46,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
46002,46,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
46003,46,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
46004,46,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
46005,46,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
47000,47,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
47001,47,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
47002,47,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
47003,47,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
47004,47,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
47005,47,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
48000,48,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
48001,48,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
48002,48,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
48003,48,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
48004,48,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
48005,48,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
49000,49,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
49001,49,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
49002,49,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
49003,49,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
49004,49,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
49005,49,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
50000,50,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
50001,50,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
50002,50,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
50003,50,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
50004,50,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
50005,50,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
53000,53,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
53001,53,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
53002,53,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
53003,53,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
53004,53,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
53005,53,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
56000,56,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
56001,56,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
56002,56,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
56003,56,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
56004,56,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
56005,56,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
58000,58,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
58001,58,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
58002,58,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
58003,58,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
58004,58,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
58005,58,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
62000,62,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
62001,62,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
62002,62,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
62003,62,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
62004,62,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
62005,62,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
33000,33,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
33001,33,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
33002,33,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
33003,33,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
33004,33,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
33005,33,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
41000,41,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
41001,41,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
41002,41,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
41003,41,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
41004,41,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
41005,41,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
63000,63,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
63001,63,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
63002,63,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
63003,63,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
63004,63,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
63005,63,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
