stageId,chapterId,name,desc,type,sceneID,sceneUI,sceneConfig,finShowList,point,capacity,stageStepCount,strengthCost,challengetimesLimit,startLimit1,startLimit2,startLimit3,startLimit4,startLimit5,bossShow,StarRequire1,StarRequire2,StarRequire3,awardGold,awardExp,awardOther,awardID,firstAwardID,awardCardID,awardShow,awardCardShow,monsterAward,firstAwardShow,threat,limittime1,limittime2,bgmusic,stageTarget
10303,103,第三章 第3关,数数多少个字凑十个吧,2,1007,#stagePrivew_1007.png,10303-3840,,200;200,2176,1,5,50,1;11,,,,,#monster0056_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,59,59,,1030301,1030302,,"(9,1001);(9,1002);(6,1)",,,"(9,1001,1)",0,0,300,102,6
10304,103,第三章 第4关,数数多少个字凑十个吧数数多少个字凑十个吧,1,1007,#stagePrivew_1007.png,10304-3840,10305,397;207,2296,3,0,50,1;12,,,,,#monster0005_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,17,17,,1030401,1030402,,"(11,1);(11,1001);(11,1002)",,,"(11,1002,10)",0,0,300,101,2
10305,103,第三章 第5关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1007,#stagePrivew_1007.png,10305-3840,10306;10307,455;309,2296,3,0,50,1;12,,,,,#monster0030_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,18,18,,1030501,1030502,,"(11,1);(11,1001);(11,1002)",,,"(11,1,10)",0,0,300,102,1
10306,103,第三章 第6关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,2,1007,#stagePrivew_1007.png,10306-3840,,612;234,2296,2,5,50,1;12,,,,,#monster0019_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,64,64,,1030601,1030602,,"(9,1001);(9,1002);(6,1)",,,"(9,1002,1)",0,0,300,101,2
10307,103,第三章 第7关,数数多少个字凑十个吧,1,1007,#stagePrivew_1007.png,10307-3840,10308,487;440,2439,3,0,50,1;13,,,,,#monster0031_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,19,19,,1030701,1030702,,"(11,1);(11,1001);(11,1002)",,,"(11,1001,10)",0,0,300,102,1
10308,103,第三章 第8关,数数多少个字凑十个吧数数多少个字凑十个吧,1,1007,#stagePrivew_1007.png,10308-3840,10309;10310,632;456,2439,30,0,50,1;13,,,,,#monster0025_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,19,19,,1030801,1030802,,"(11,1);(11,1001);(11,1002)",,,"(11,1002,10)",0,0,300,101,3
10309,103,第三章 第9关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,2,1007,#stagePrivew_1007.png,10309-3840,,784;442,2572,1,5,50,1;14,,,,,#monster0033_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,70,70,,1030901,1030902,,"(9,1001);(9,1002);(6,1)",,,"(9,1003,1)",0,0,300,102,6
10310,103,第三章 第10关,数数多少个字凑十个吧,1,1007,#stagePrivew_1007.png,10310-3840,10311,808;313,2572,3,0,50,1;14,,,,,#monster0040_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,20,20,,1031001,1031002,,"(11,1);(11,1001);(11,1002)",,,"(11,1001,10)",0,0,300,101,2
10311,103,第三章 第11关,数数多少个字凑十个吧数数多少个字凑十个吧,1,1007,#stagePrivew_1007.png,10311-3840,10312;10401,935;248,2771,3,0,50,1;15,,,,,#monster0047_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,21,21,,1031101,1031102,,"(11,1);(11,1001);(11,1002)",,,"(11,1002,10)",0,0,300,102,1
10312,103,第三章 第12关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,2,1007,#stagePrivew_1007.png,10312-3840,,756;157,2771,2,5,50,1;15,,,,,#monster0033_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,75,75,,1031201,1031202,,"(9,1001);(9,1002);(6,1)",,,"(9,1004,1)",0,0,300,101,2
10401,104,第四章 第1关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1001,#stagePrivew_1001.png,10401-3840,10402,212;422,2771,3,0,50,1;15,,,,,#monster0050_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,22,22,,1040101,1040102,,"(11,1);(11,1001);(11,1002)",,,"(11,1,10)",0,0,300,102,1
10402,104,第四章 第2关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1001,#stagePrivew_1001.png,10402-3840,10403;10404,297;317,3150,20,0,50,1;16,,,,,#monster0005_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,22,22,,1040201,1040202,,"(11,1);(11,1001);(11,1002)",,,"(11,1001,10)",0,0,300,101,3
10403,104,第四章 第3关,数数多少个字凑十个吧,2,1001,#stagePrivew_1001.png,10403-3840,,200;200,3150,1,5,50,1;16,,,,,#monster0050_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,80,80,,1040301,1040302,,"(9,1001);(9,1002);(6,1)",,,"(9,1005,1)",0,0,300,102,6
10404,104,第四章 第4关,数数多少个字凑十个吧数数多少个字凑十个吧,1,1001,#stagePrivew_1001.png,10404-3840,10405,397;207,3367,3,0,50,1;17,,,,,#monster0024_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,23,23,,1040401,1040402,,"(11,1);(11,1001);(11,1002)",,,"(11,1002,10)",0,0,300,101,2
10405,104,第四章 第5关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1001,#stagePrivew_1001.png,10405-3840,10406;10407,455;309,3367,3,0,50,1;17,,,,,#monster0028_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,24,24,,1040501,1040502,,"(11,1);(11,1001);(11,1002)",,,"(11,1,10)",0,0,300,102,1
10406,104,第四章 第6关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,2,1001,#stagePrivew_1001.png,10406-3840,,612;234,3367,2,5,50,1;17,,,,,#monster0046_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,85,85,,1040601,1040602,,"(9,1001);(9,1002);(6,1)",,,"(9,1006,1)",0,0,300,101,2
10407,104,第四章 第7关,数数多少个字凑十个吧,1,1001,#stagePrivew_1001.png,10407-3840,10408,487;440,3548,3,0,50,1;18,,,,,#monster0039_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,25,25,,1040701,1040702,,"(11,1);(11,1001);(11,1002)",,,"(11,1001,10)",0,0,300,102,1
10408,104,第四章 第8关,数数多少个字凑十个吧数数多少个字凑十个吧,1,1001,#stagePrivew_1001.png,10408-3840,10409;10410,632;456,3548,30,0,50,1;18,,,,,#monster0002_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,25,25,,1040801,1040802,,"(11,1);(11,1001);(11,1002)",,,"(11,1002,10)",0,0,300,101,3
10409,104,第四章 第9关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,2,1001,#stagePrivew_1001.png,10409-3840,,784;442,3548,1,5,50,1;19,,,,,#monster0008_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,91,91,,1040901,1040902,,"(9,1001);(9,1002);(6,1)",,,"(9,1007,1)",0,0,300,102,6
10410,104,第四章 第10关,数数多少个字凑十个吧,1,1001,#stagePrivew_1001.png,10410-3840,10411,808;313,3548,3,0,50,1;19,,,,,#monster0022_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,26,26,,1041001,1041002,,"(11,1);(11,1001);(11,1002)",,,"(11,1001,10)",0,0,300,101,2
10411,104,第四章 第11关,数数多少个字凑十个吧数数多少个字凑十个吧,1,1001,#stagePrivew_1001.png,10411-3840,10412;10501,935;248,3947,3,0,50,1;20,,,,,#monster0042_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,27,27,,1041101,1041102,,"(11,1);(11,1001);(11,1002)",,,"(11,1002,10)",0,0,300,102,1
10412,104,第四章 第12关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,2,1001,#stagePrivew_1001.png,10412-3840,,756;157,3947,2,5,50,1;20,,,,,#monster0008_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,96,96,,1041201,1041202,,"(9,1001);(9,1002);(6,1)",,,"(9,1008,1)",0,0,300,101,2
10501,105,第五章 第1关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1005,#stagePrivew_1005.png,10501-3840,10502,212;422,3947,3,0,50,1;20,,,,,#monster0020_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,28,28,,1050101,1050102,,"(11,1);(11,2001);(11,2002)",,,"(11,1,10)",0,0,300,102,1
10502,105,第五章 第2关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1005,#stagePrivew_1005.png,10502-3840,10503;10504,297;317,3947,20,0,50,1;21,,,,,#monster0070_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,28,28,,1050201,1050202,,"(11,1);(11,2001);(11,2002)",,,"(11,2001,10)",0,0,300,101,3
10503,105,第五章 第3关,数数多少个字凑十个吧,2,1005,#stagePrivew_1005.png,10503-3840,,200;200,3947,1,5,50,1;21,,,,,#monster0058_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,101,101,,1050301,1050302,,"(9,1001);(9,1002);(6,1)",,,"(9,1001,1)",0,0,300,102,6
10504,105,第五章 第4关,数数多少个字凑十个吧数数多少个字凑十个吧,1,1005,#stagePrivew_1005.png,10504-3840,10505,397;207,3947,3,0,50,1;22,,,,,#monster0005_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,29,29,,1050401,1050402,,"(11,1);(11,2001);(11,2002)",,,"(11,2002,10)",0,0,300,101,2
10505,105,第五章 第5关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1005,#stagePrivew_1005.png,10505-3840,10506;10507,455;309,3947,3,0,50,1;22,,,,,#monster0020_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,30,30,,1050501,1050502,,"(11,1);(11,2001);(11,2002)",,,"(11,1,10)",0,0,300,102,1
10506,105,第五章 第6关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,2,1005,#stagePrivew_1005.png,10506-3840,,612;234,3947,2,5,50,1;22,,,,,#monster0047_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,106,106,,1050601,1050602,,"(9,1001);(9,1002);(6,1)",,,"(9,1002,1)",0,0,300,101,2
10507,105,第五章 第7关,数数多少个字凑十个吧,1,1005,#stagePrivew_1005.png,10507-3840,10508,487;440,3947,3,0,50,1;23,,,,,#monster0036_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,31,31,,1050701,1050702,,"(11,1);(11,2001);(11,2002)",,,"(11,2001,10)",0,0,300,102,1
10508,105,第五章 第8关,数数多少个字凑十个吧数数多少个字凑十个吧,1,1005,#stagePrivew_1005.png,10508-3840,10509;10510,632;456,3947,30,0,50,1;23,,,,,#monster0069_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,31,31,,1050801,1050802,,"(11,1);(11,2001);(11,2002)",,,"(11,2002,10)",0,0,300,101,3
10509,105,第五章 第9关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,2,1005,#stagePrivew_1005.png,10509-3840,,784;442,3947,1,5,50,1;24,,,,,#monster0057_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,112,112,,1050901,1050902,,"(9,1001);(9,1002);(6,1)",,,"(9,1003,1)",0,0,300,102,6
10510,105,第五章 第10关,数数多少个字凑十个吧,1,1005,#stagePrivew_1005.png,10510-3840,10511,808;313,3947,3,0,50,1;24,,,,,#monster0019_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,32,32,,1051001,1051002,,"(11,1);(11,2001);(11,2002)",,,"(11,2001,10)",0,0,300,101,2
10511,105,第五章 第11关,数数多少个字凑十个吧数数多少个字凑十个吧,1,1005,#stagePrivew_1005.png,10511-3840,10512;10601,935;248,8125,3,0,50,1;25,,,,,#monster0009_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,33,33,,1051101,1051102,,"(11,1);(11,2001);(11,2002)",,,"(11,2002,10)",0,0,300,102,1
10512,105,第五章 第12关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,2,1005,#stagePrivew_1005.png,10512-3840,,756;157,8125,2,5,50,1;25,,,,,#monster0009_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,117,117,,1051201,1051202,,"(9,1001);(9,1002);(6,1)",,,"(9,1004,1)",0,0,300,101,2
10601,106,第六章 第1关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1002,#stagePrivew_1002.png,10601-3840,10602,212;422,8125,3,0,50,1;25,,,,,#monster0018_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,34,34,,1060101,1060102,,"(11,1);(11,2001);(11,2002)",,,"(11,1,10)",0,0,300,102,1
10602,106,第六章 第2关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1002,#stagePrivew_1002.png,10602-3840,10603;10604,297;317,8125,20,0,50,1;26,,,,,#monster0001_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,35,35,,1060201,1060202,,"(11,1);(11,2001);(11,2002)",,,"(11,2001,10)",0,0,300,101,3
10603,106,第六章 第3关,数数多少个字凑十个吧,2,1002,#stagePrivew_1002.png,10603-3840,,200;200,8125,1,5,50,1;26,,,,,#monster0005_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,126,126,,1060301,1060302,,"(9,1001);(9,1002);(6,1)",,,"(9,1005,1)",0,0,300,102,6
10604,106,第六章 第4关,数数多少个字凑十个吧数数多少个字凑十个吧,1,1002,#stagePrivew_1002.png,10604-3840,10605,397;207,8125,3,0,50,1;27,,,,,#monster0022_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,37,37,,1060401,1060402,,"(11,1);(11,2001);(11,2002)",,,"(11,2002,10)",0,0,300,101,2
10605,106,第六章 第5关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1002,#stagePrivew_1002.png,10605-3840,10606;10607,455;309,8125,3,0,50,1;27,,,,,#monster0028_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,38,38,,1060501,1060502,,"(11,1);(11,2001);(11,2002)",,,"(11,1,10)",0,0,300,102,1
10606,106,第六章 第6关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,2,1002,#stagePrivew_1002.png,10606-3840,,612;234,8125,2,5,50,1;27,,,,,#monster0032_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,136,136,,1060601,1060602,,"(9,1001);(9,1002);(6,1)",,,"(9,1006,1)",0,0,300,101,2
10607,106,第六章 第7关,数数多少个字凑十个吧,1,1002,#stagePrivew_1002.png,10607-3840,10608,487;440,10125,3,0,50,1;28,,,,,#monster0056_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,40,40,,1060701,1060702,,"(11,1);(11,2001);(11,2002)",,,"(11,2001,10)",0,0,300,102,1
10608,106,第六章 第8关,数数多少个字凑十个吧数数多少个字凑十个吧,1,1002,#stagePrivew_1002.png,10608-3840,10609;10610,632;456,10125,30,0,50,1;28,,,,,#monster0029_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,41,41,,1060801,1060802,,"(11,1);(11,2001);(11,2002)",,,"(11,2002,10)",0,0,300,101,3
10609,106,第六章 第9关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,2,1002,#stagePrivew_1002.png,10609-3840,,784;442,10125,1,5,50,1;29,,,,,#monster0032_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,147,147,,1060901,1060902,,"(9,1001);(9,1002);(6,1)",,,"(9,1007,1)",0,0,300,102,6
10610,106,第六章 第10关,数数多少个字凑十个吧,1,1002,#stagePrivew_1002.png,10610-3840,10611,808;313,10125,3,0,50,1;29,,,,,#monster0019_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,43,43,,1061001,1061002,,"(11,1);(11,2001);(11,2002)",,,"(11,2001,10)",0,0,300,101,2
10611,106,第六章 第11关,数数多少个字凑十个吧数数多少个字凑十个吧,1,1002,#stagePrivew_1002.png,10611-3840,10612;10701,935;248,12452,3,0,50,1;30,,,,,#monster0060_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,44,44,,1061101,1061102,,"(11,1);(11,2001);(11,2002)",,,"(11,2002,10)",0,0,300,102,1
10612,106,第六章 第12关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,2,1002,#stagePrivew_1002.png,10612-3840,,756;157,12452,2,5,50,1;30,,,,,#monster0060_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,157,157,,1061201,1061202,,"(9,1001);(9,1002);(6,1)",,,"(9,1008,1)",0,0,300,101,2
10701,107,第七章 第1关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1003,#stagePrivew_1003.png,10701-3840,10702,212;422,12452,3,0,50,1;30,,,,,#monster0039_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,46,46,,1070101,1070102,,"(11,1);(11,3001);(11,3002)",,,"(11,1,10)",0,0,300,102,1
10702,107,第七章 第2关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1003,#stagePrivew_1003.png,10702-3840,10703;10704,297;317,12452,20,0,50,1;31,,,,,#monster0040_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,47,47,,1070201,1070202,,"(11,1);(11,3001);(11,3002)",,,"(11,3001,10)",0,0,300,101,3
10703,107,第七章 第3关,数数多少个字凑十个吧,2,1003,#stagePrivew_1003.png,10703-3840,,200;200,12452,1,5,50,1;31,,,,,#monster0041_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,168,168,,1070301,1070302,,"(9,1001);(9,1002);(6,1)",,,"(9,1001,1)",0,0,300,102,6
10704,107,第七章 第4关,数数多少个字凑十个吧数数多少个字凑十个吧,1,1003,#stagePrivew_1003.png,10704-3840,10705,397;207,14317,3,0,50,1;32,,,,,#monster0040_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,49,49,,1070401,1070402,,"(11,1);(11,3001);(11,3002)",,,"(11,3002,10)",0,0,300,101,2
